regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.1),0.2791692710077871,0.49825850959467904,0.7202526186948428,0.4957521334534144,0.6680139603944262,0.5036824588408312
lasso regression (beta = 0.05),0.19244311847204912,0.40748780291499964,0.8067870936286186,0.47505302495380286,0.6424462126447723,0.5240121808368545
lasso regression (beta = 0.02),0.1343672890943076,0.33891341455590945,0.8649805982189989,0.49337476182414475,0.6469968486753027,0.5047159014614321
lasso regression (beta = 0.002),0.07943570542454434,0.258616053010273,0.9202305874432805,0.5328220730808197,0.6712469077961379,0.46319964582227807
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),0.936098917646874,0.9616777935705979,0.06388916743224456,0.9625268502560861,0.974956282564374,0.0373653910075998
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.005),0.09370342339112152,0.2816879548695578,0.9059105964419724,0.527435014878386,0.6666200619666756,0.46871930338418116
linear regression,0.044970829490756654,0.19362084243030872,0.954891429703417,0.5472549494241855,0.6840893052159182,0.4503797127055874
lasso regression (beta = 0.001),0.07219449159501087,0.24620326669237108,0.9274881223456163,0.535400070766263,0.6735418030788687,0.4605663086354531
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.01),0.11005600263085977,0.30605967168829556,0.8894558564366548,0.5126331775222714,0.6576101074758686,0.4842384955686009
lasso regression (beta = 0.2),0.4538785935686393,0.6531314225860941,0.5462457074743627,0.5905129081858587,0.7467431461055837,0.4102246744123656
