regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.001),0.05571346675039575,0.21561618372399222,0.9441886540784191,0.5485127057886444,0.6805808388029528,0.4500544012428772
lasso regression (beta = 0.02),0.09003111745970915,0.2748304817491124,0.909654840199704,0.5705164882152152,0.6897682382227278,0.4262162444802685
lasso regression (beta = 0.005),0.06893151454393634,0.24009293255566014,0.9308916689370912,0.5655836527222571,0.6875516466791888,0.43195389450651583
lasso regression (beta = 0.2),0.18508601276299425,0.39832913877144394,0.8139238644404886,0.5065048461458519,0.6602186924120754,0.492919573984837
lasso regression (beta = 0.1),0.13952556620815493,0.34387378405515173,0.859723176435128,0.5343249585040521,0.6718351596335752,0.4634525902317842
lasso regression (beta = 0.05),0.11229790491173086,0.30756827630189293,0.8871951140697136,0.5537828374791745,0.6806182568269368,0.44305673227358444
lasso regression (beta = 1.0),0.5237610318003351,0.7063615136744013,0.4762805593942204,0.6163736703751355,0.7654477278364729,0.3850644191997462
lasso regression (beta = 2.0),0.9233499784853741,0.9552104838700088,0.07695504338452153,0.9456116797893793,0.9663640550303232,0.05470098503003965
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.01),0.07831977626664015,0.2561130406240675,0.921449219275998,0.5709468756565883,0.6898792965896176,0.426239507943235
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),0.31212504427846893,0.5285267791273379,0.6871491145753301,0.5119809771265956,0.6782719712044714,0.4892095565684536
lasso regression (beta = 0.002),0.05983653608763105,0.2235054579239999,0.9400454281609916,0.5539493552799402,0.6830376779000052,0.44424913343025024
linear regression,0.051347009282502465,0.20732212124807575,0.9485689079709483,0.5539729877403248,0.6848368579231381,0.4451205745647303
