regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.5),0.9874435980313484,0.9874500561561153,0.012640706564419135,1.0083621718014224,0.9978332212712478,-0.00838524782278614
lasso regression (beta = 0.001),0.06420215997185512,0.22865169549140632,0.9353069680654272,0.672293489611017,0.7475323761089095,0.3218917138425499
lasso regression (beta = 0.01),0.10940620773087784,0.2996456777150635,0.8898373274998391,0.6037749783221878,0.707996948983272,0.3924645276286899
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.005),0.08799335856574667,0.2681816965652445,0.9113753075220522,0.6275121557022537,0.7212855166074377,0.36816721875424996
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
linear regression,0.05630091175373626,0.21446280280484956,0.9432673645598312,0.7306922095918041,0.7824928529137548,0.26243229601589724
lasso regression (beta = 0.2),0.5005495359121328,0.687386686358248,0.4981058018084191,0.6471025356985999,0.7758248943978672,0.35210292365391876
lasso regression (beta = 0.02),0.1427363877790524,0.343341264751076,0.8562141598483546,0.577823895046842,0.6945647773683866,0.41901584039366657
lasso regression (beta = 0.002),0.07118614310048603,0.2407844516019702,0.9282763582873874,0.6501986461001302,0.7346892956917744,0.34440966187554717
lasso regression (beta = 0.05),0.21841932856936644,0.4298989157041356,0.7800640272412629,0.5478291339263281,0.6815424176221635,0.4505147326766436
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.1),0.3185736724703542,0.5312615660735978,0.6796580356933586,0.5584246841149932,0.6993602207476114,0.44064980642887663
