regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),0.9561575074658911,0.9718289715392661,0.043975243752165216,0.9840143920430975,0.9857682013065263,0.015953020078169743
lasso regression (beta = 0.01),0.11671094796828803,0.3116908265259449,0.882537296703801,0.4594609541658121,0.620567472416957,0.536459717142751
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.001),0.07436507862893219,0.2482576248040151,0.925229625266552,0.4886100852567467,0.6425609953520993,0.507138775548799
lasso regression (beta = 0.1),0.27478226116208077,0.4883244539661148,0.7239559346498761,0.47378141322710504,0.6440184626718313,0.5245119324838037
lasso regression (beta = 0.02),0.14259844771924562,0.34452172653185265,0.856429054744287,0.4484179123507602,0.613588337858222,0.5482892683781283
linear regression,0.04447177905938915,0.1921449617519688,0.9552723133371576,0.5056661313406712,0.6577780142588787,0.49093388934408966
lasso regression (beta = 0.05),0.1978279005939008,0.407606042846471,0.800858345826355,0.44532332950368864,0.6152399813629025,0.5521634988028338
lasso regression (beta = 0.005),0.09925146697779856,0.2873398959290073,0.9001565284871627,0.4748129071545312,0.6308711444250898,0.5207051231693146
lasso regression (beta = 0.002),0.08326736892004367,0.26290084175305384,0.916275603698049,0.4846555771375486,0.6388077968060357,0.5110338005725832
lasso regression (beta = 0.2),0.43364234088262954,0.6335800624883585,0.5654044146488146,0.5829772581430172,0.7348267959683621,0.4160090033477374
