regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.2),0.4436363503138587,0.6443408332556454,0.5558783593129277,0.5958119813036629,0.7470663761012197,0.40471452049606194
lasso regression (beta = 0.005),0.09347780402819605,0.28105885082389576,0.9060126801088442,0.5284639432151804,0.6682175588099797,0.46696042895325346
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.1),0.2715826456464256,0.4907168344855126,0.7275155423141527,0.49124449547280913,0.6616704565110464,0.5087679280963546
lasso regression (beta = 0.001),0.07117505729242171,0.24426356077117944,0.9284148825507224,0.5517679832485664,0.6827229128344213,0.4427746658622539
lasso regression (beta = 0.01),0.10969615590427254,0.3052653515086058,0.8897109319907444,0.5099393290681361,0.6563216628241433,0.48596249375167033
linear regression,0.038934262317802434,0.17992892529819535,0.9609229274823928,0.5301039110209159,0.6734034692158399,0.46740620289331725
lasso regression (beta = 0.02),0.1333150624265954,0.3375192338887893,0.8659585376929716,0.4851131544226944,0.6411132836214557,0.5115922528845762
lasso regression (beta = 0.05),0.18919854286864216,0.4043114175470725,0.8098470715398772,0.46694727066418373,0.6352447407308568,0.5317046255657936
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.002),0.07921435383589254,0.25805996935972936,0.9203312430462356,0.5439100990537601,0.6779865766156925,0.45078811917333744
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),0.9271058057869064,0.9568048705953258,0.07266848580888956,0.9549125585162976,0.9707716106522642,0.044752730832689644
