regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.017668864247653807,0.12438220860138374,0.9821783098093063,0.6768038262963927,0.8033311872910351,0.31711774277498744
lasso regression (beta = 0.002),correct,0.021391095373196223,0.13609813861562847,0.9784040582483107,0.6665320871673958,0.7967881616965496,0.3256389741842821
lasso regression (beta = 0.001),correct,0.01939527638758486,0.1297474359254214,0.9804273418696239,0.667725986027635,0.7977470537988869,0.32535425229840026
lasso regression (beta = 0.005),correct,0.025925127797643582,0.1496690295873799,0.9738026335760143,0.6598365363162482,0.7917516720379931,0.3308712171571013
lasso regression (beta = 0.01),correct,0.031293333237897625,0.1643588027393932,0.9683559638529088,0.6514635258663001,0.7851318428479729,0.339375910072563
lasso regression (beta = 0.02),correct,0.03921930095825405,0.18402879586993326,0.9603111643266645,0.6492328269688807,0.7820493372719728,0.34124850824356223
lasso regression (beta = 0.05),correct,0.05714511579745022,0.2229495916892809,0.9421397786516144,0.6554756321715451,0.7839229976163611,0.33456182258761924
lasso regression (beta = 0.1),correct,0.0844341499718263,0.27342353195195207,0.9144138898635473,0.6792776964001632,0.7980509770666606,0.311310315015907
lasso regression (beta = 0.5),correct,0.3457316123727887,0.575384395664359,0.6485588359556956,0.7421678617431253,0.8453635059227997,0.25280756931541765
lasso regression (beta = 0.2),correct,0.14353414439055845,0.36205038869909584,0.8543074261985938,0.7020405027300569,0.8144566812440759,0.2909579824413964
lasso regression (beta = 2.0),correct,0.9976339875179733,0.9964548049912914,0.0023332103440146168,1.035490187230608,1.0148668305273656,-0.034998155164318714
lasso regression (beta = 1.0),correct,0.7071913410216075,0.8349394619318721,0.2817238631260461,0.9062186272120786,0.9458841082420373,0.08939176394357587
lasso regression (beta = 10.0),correct,0.9976339875179733,0.9964548049912914,0.0023332103440146168,1.035490187230608,1.0148668305273656,-0.034998155164318714
lasso regression (beta = 5.0),correct,0.9976339875179733,0.9964548049912914,0.0023332103440146168,1.035490187230608,1.0148668305273656,-0.034998155164318714
random forest regression,correct,0.0024483215650751107,0.0212189001843341,0.997519446431698,0.8585786955495041,0.9125671123694461,0.13665685842628603
