scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
Cosine,nan,nan,nan,0.0,2.220446049250313e-16
Manhattan,0.1227854890211271,0.07202496723635857,0.04843091533913487,0.015076276314157422,0.4322196656411613
