dim,metric_stress,nonmetric_stress
1,0.558572108833226,0.556304856440045
2,0.336577161566124,0.302273909256422
3,0.244846056248385,0.223378268746912
4,0.188072293133918,0.173333402273325
5,0.151600659715284,0.140682076443135
6,0.12711283994036,0.118810599792253
7,0.110164330646766,0.103807360878645
8,0.097528581823617,0.0931549594366832
9,0.0870912856737203,0.0835464041740675
10,0.0784450282032026,0.0756450040544931
