aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
max,1,300,Manhattan,0.41067331791776107,0.2558193052013705,0.17482907616481527,0.16865257404958245,0.4692827684944417
max,1,300,Euclidean,0.47366840165724444,0.22063105559975726,0.1505620799994983,0.2243617547285287,0.45317524436048673
max,1,300,Cosine,0.31206939312381554,0.21003496321063658,0.1430937701987587,0.09738730612466673,0.4505805424398517
min,2,150,Manhattan,0.4179919604361446,0.2642399359130453,0.18057804756674972,0.1747172789892516,0.4721442164949725
min,2,150,Euclidean,0.48075008191726637,0.2269033022996342,0.15481400589883315,0.23112064126345844,0.4553369831735924
min,2,150,Cosine,0.31757488319333693,0.21681803453975598,0.14777232031290893,0.10085380643526165,0.4525377410447242
mean,2,150,Manhattan,0.40937334417410454,0.25548038722166905,0.17466829864412284,0.16758653492028996,0.46915524275720977
mean,2,150,Euclidean,0.47139118597224317,0.2206318106726584,0.15067470115687687,0.2222096502123181,0.4532589528553249
mean,2,150,Cosine,0.31059124949261746,0.2101688269490388,0.14316535144285528,0.09646692426138537,0.45070902402948165
max,2,150,Manhattan,0.40032422428043385,0.24668863791904874,0.1685962988628321,0.16025948454573136,0.46676736483253256
max,2,150,Euclidean,0.46323715472862614,0.21361901417594795,0.14563442715589212,0.21458866152107325,0.45120900017855514
max,2,150,Cosine,0.30437629169604835,0.20248184325141722,0.13780534788490592,0.09264492694663795,0.44744949317896465
median,2,150,Manhattan,0.40937334417410454,0.25548038722166905,0.17466829864412284,0.16758653492028996,0.46915524275720977
median,2,150,Euclidean,0.47139118597224317,0.2206318106726584,0.15067470115687687,0.2222096502123181,0.4532589528553249
median,2,150,Cosine,0.31059124949261746,0.2101688269490388,0.14316535144285528,0.09646692426138537,0.45070902402948165
min,3,100,Manhattan,0.42248233265162816,0.26957989592288256,0.18422166562185424,0.17849132140276114,0.47435166536925244
min,3,100,Euclidean,0.48554756015617745,0.23117715811155218,0.15779178565324944,0.23575643317361694,0.45634833974536526
min,3,100,Cosine,0.32141281026355395,0.2215079760329043,0.15102497204465598,0.10330619460151547,0.4534951351542883
mean,3,100,Manhattan,0.4081026596906941,0.2549010345733345,0.17428219545991766,0.1665477808466186,0.46950947645836894
mean,3,100,Euclidean,0.4690248061043385,0.22073632854815978,0.1506995159881637,0.21998426874121235,0.4538801151935785
mean,3,100,Cosine,0.3090755044551029,0.21017959424669946,0.1431395821949805,0.09552766745417651,0.4509210791547793
max,3,100,Manhattan,0.38953596793351153,0.23702912378662197,0.1620332902896695,0.15173827031389786,0.46105496762745923
max,3,100,Euclidean,0.45281928625988366,0.20659010619770396,0.140787899722262,0.20504530600891047,0.4495860663859078
max,3,100,Cosine,0.2967765283113845,0.19486972073620093,0.13261618489620033,0.08807630775655817,0.4459792320525916
median,3,100,Manhattan,0.4094005842408629,0.2555776099280376,0.17467732392733057,0.16760883837675988,0.4682794754194688
median,3,100,Euclidean,0.4716419147170458,0.21996628550601832,0.15013641020127086,0.22244609571796115,0.45306454191605583
median,3,100,Cosine,0.3106199873629963,0.209480954837601,0.14263946790289264,0.09648477654938814,0.4505366913851333
min,4,75,Manhattan,0.4253404541043893,0.27309213479908134,0.18650358886503432,0.18091450189772829,0.4748280827221387
min,4,75,Euclidean,0.48910053655682995,0.23444968108533934,0.1599373141429699,0.239219334860179,0.45783569384360867
min,4,75,Cosine,0.32450501550486793,0.22556196383614052,0.1537889624833706,0.10530350508781483,0.45507234027224375
mean,4,75,Manhattan,0.40730760324285237,0.2549801224369509,0.17433616159226978,0.16589948365943696,0.46875567552490516
mean,4,75,Euclidean,0.46748004554975264,0.22118487328370676,0.15101542787877645,0.21853759298719888,0.4545530317762667
mean,4,75,Cosine,0.30816664521149995,0.21043737306177307,0.1433323743457472,0.09496668122091068,0.4512064532779829
max,4,75,Manhattan,0.3802784859905591,0.2286788975678163,0.1561628200925089,0.14461172690727186,0.45784400976860884
max,4,75,Euclidean,0.4439153775054716,0.19978422272623628,0.13599195636779343,0.19706086238582554,0.44873609547601023
max,4,75,Cosine,0.29006290214344427,0.187773603586312,0.1277200277999966,0.08413648719987743,0.44576846521558
median,4,75,Manhattan,0.40838431048402835,0.2552203137618837,0.1745112554410266,0.16677774504951537,0.46826443475985324
median,4,75,Euclidean,0.4695703279614172,0.22004927088168294,0.15025094019182533,0.22049629290179296,0.4533237339766264
median,4,75,Cosine,0.30936168857990687,0.20974951003076797,0.1428885706323486,0.09570465436101139,0.45065237425543925
min,5,60,Manhattan,0.4269886681037432,0.2756392265847779,0.18843169112573646,0.18231932268900863,0.4748102845189919
min,5,60,Euclidean,0.4910010862604362,0.23614599461669783,0.16101962255370966,0.24108206670892862,0.4600395525198896
min,5,60,Cosine,0.32580408029726604,0.22808368241063193,0.15565102924646873,0.10614829873834741,0.45567884190847074
mean,5,60,Manhattan,0.4062747491416962,0.25454911961127913,0.17407890472668347,0.1650591717901484,0.469295364288552
mean,5,60,Euclidean,0.4657697647829321,0.22156025736430007,0.15125882021238096,0.21694147378594808,0.45425090581215277
mean,5,60,Cosine,0.3071975212754065,0.21106535483029687,0.14376377064350238,0.0943703170777539,0.4505181340575193
max,5,60,Manhattan,0.37131716437861273,0.22049109985632928,0.15051082878886837,0.13787643656217374,0.45672824918865107
max,5,60,Euclidean,0.4351744841787068,0.19302317144633857,0.13159782239685347,0.18937683168020358,0.44794070272811437
max,5,60,Cosine,0.2839150472409672,0.18119035486151078,0.12328771716553849,0.080607754049841,0.4455671629622192
median,5,60,Manhattan,0.4080846988536912,0.25542986186642286,0.1745839577187899,0.16653312143850807,0.46870510633718676
median,5,60,Euclidean,0.4695282844762597,0.219718687252956,0.14992262088556918,0.2204568099232196,0.45337207260656864
median,5,60,Cosine,0.30917422989540944,0.20923497569553298,0.14247339941658865,0.09558870443141954,0.4509854800395948
min,6,50,Manhattan,0.4279616633791982,0.27640469353623937,0.18908789858418557,0.18315118532229036,0.47446328917522806
min,6,50,Euclidean,0.4921400910095652,0.23699591822502594,0.16176979399184147,0.2422018691789033,0.461565546062234
min,6,50,Cosine,0.32695969842946065,0.22940406183853668,0.1566006737514829,0.10690264439708408,0.4563419674543602
mean,6,50,Manhattan,0.40471738449801387,0.25326655110500695,0.1731206704723777,0.16379616131491326,0.4694479825838309
mean,6,50,Euclidean,0.46326611060387235,0.22122208489678313,0.15108128262334528,0.2146154892340394,0.4549697894500241
mean,6,50,Cosine,0.305482631408127,0.210469526873853,0.14337341425902922,0.09331963809203381,0.45084390818951525
max,6,50,Manhattan,0.3610744021589951,0.21237811653853267,0.14506468241353962,0.1303747238944759,0.4538312457653393
max,6,50,Euclidean,0.42523241499405856,0.18652643409905661,0.12714356018087244,0.18082260676167916,0.44707278026845887
max,6,50,Cosine,0.2766244032646266,0.1743494293018797,0.11843928089873246,0.07652106048151086,0.4440274388744092
median,6,50,Manhattan,0.40664605742159,0.25415434919799634,0.173798306249825,0.1653610160165232,0.46804419941562925
median,6,50,Euclidean,0.46768989659066174,0.2194745039410719,0.1498329057263015,0.21873383937298396,0.453587123580635
median,6,50,Cosine,0.3081603640773817,0.208995411529898,0.1423808210075571,0.09496280998830442,0.4495760759418588
min,7,43,Manhattan,0.4291021784048352,0.2758946311563103,0.18866899903226605,0.18412867951177514,0.4746697001972606
min,7,43,Euclidean,0.4932757680510835,0.23702255043554846,0.16173543499467513,0.2433209833463863,0.46191064778001967
min,7,43,Cosine,0.32716331813133454,0.22952157730566108,0.1564727819286971,0.10703583673070494,0.45684568263531644
mean,7,43,Manhattan,0.40403423979212966,0.2535126413077515,0.17340317778241207,0.16324366692440417,0.46872087210653557
