n_dims,scoring,pearson,spearman,kendall,r2
1,Manhattan,0.10319847160760003,0.07465686258668697,0.05030254776779625,0.010649924542144529
1,Cosine,0.07365239579272641,0.05412711075795512,0.04421079934767966,0.005424675406008328
1,Euclidean,0.10319847160760004,0.07465686139381458,0.050301449642647454,0.01064992454214475
2,Manhattan,0.1256404583849677,0.06991980799177973,0.046802866647187066,0.015785524783184735
2,Cosine,0.07700780608469372,0.05135945537351711,0.034277692110269965,0.005930202197977796
2,Euclidean,0.12976460968953155,0.0674021025640374,0.045115940140698176,0.01683885392787632
3,Manhattan,0.14786196839013588,0.060789902354032525,0.04096020293833256,0.021863161696205613
3,Cosine,0.1081228974791746,0.06012379958475121,0.04025015037391117,0.011690560959292107
3,Euclidean,0.1614798414603959,0.06360351007459668,0.042729202876656956,0.026075739198074377
4,Manhattan,0.15520495251113262,0.06114919269454061,0.040473473357882414,0.024088577283982948
4,Cosine,0.10404897088649953,0.05527899239333299,0.03645747713330552,0.010826188342539678
4,Euclidean,0.1771398078736061,0.07444773703859278,0.04949000843328594,0.03137851153349813
5,Manhattan,0.2037819279913214,0.08819440709995538,0.05931086249302945,0.04152707417586021
5,Cosine,0.13013894555195601,0.06840697030985939,0.04592293591547131,0.016936145149374915
5,Euclidean,0.21260075679365725,0.08374121252035996,0.05675356915946795,0.04519908178923582
6,Manhattan,0.2082706892224922,0.07571003343631229,0.05052873386694661,0.04337667998921213
6,Cosine,0.1496184164468039,0.07782151745402684,0.05250142022535926,0.02238567054004903
6,Euclidean,0.22495301049099867,0.07979560710198194,0.05322824191367051,0.05060385692896352
7,Manhattan,0.20758940064764286,0.0681716027196845,0.04564998560172868,0.04309335926124769
7,Cosine,0.14032462259472384,0.05618804491346907,0.03769529726241109,0.019690999706351575
7,Euclidean,0.22512507083690278,0.05982937114168272,0.03994445359734973,0.05068129751932038
8,Manhattan,0.22080024252587901,0.06322302435191883,0.042611266024957566,0.04875274709948707
8,Cosine,0.1466280928020761,0.05124086213824494,0.03432159320968311,0.021499797598774295
8,Euclidean,0.24429253026669923,0.0666285590217977,0.044822261919265645,0.0596788403441062
9,Manhattan,0.21647220050568575,0.043112102062996226,0.02899906209170181,0.046860213591773836
9,Cosine,0.15515153546313384,0.04534673350185425,0.0304573420895995,0.024071998956567864
9,Euclidean,0.2514790099649583,0.051096497697686434,0.034122864072814084,0.06324169245295552
10,Manhattan,0.21180787619961747,0.030747812222454964,0.020668351292193323,0.044862576420192535
10,Cosine,0.14426947155294936,0.028733648083433337,0.018901809226677203,0.020813680422167247
10,Euclidean,0.24197345799772665,0.032235282487031336,0.02152616455614731,0.05855115437537761
