dims,hull_category_type,intruder_category_type,data_source,violations
1,VC,VC,MDS,10.0
1,VC,VC,normal,101.10999999999999
1,VC,VC,shuffled_mean,100.45
1,VC,VC,shuffled_median,101.37999999999998
1,VC,VC,uniform,100.24999999999999
1,VC,VV,MDS,14.0
1,VC,VV,normal,120.68000000000002
1,VC,VV,shuffled_mean,119.05
1,VC,VV,shuffled_median,118.86000000000001
1,VC,VV,uniform,120.46000000000001
1,VC,all,MDS,24.0
1,VC,all,normal,221.79
1,VC,all,shuffled_mean,219.50000000000003
1,VC,all,shuffled_median,220.23999999999995
1,VC,all,uniform,220.71000000000004
1,VV,VC,MDS,82.0
1,VV,VC,normal,119.78000000000002
1,VV,VC,shuffled_mean,121.42
1,VV,VC,shuffled_median,120.90000000000002
1,VV,VC,uniform,120.26000000000003
1,VV,VV,MDS,37.0
1,VV,VV,normal,98.84
1,VV,VV,shuffled_mean,100.69
1,VV,VV,shuffled_median,99.73000000000003
1,VV,VV,uniform,99.72999999999999
1,VV,all,MDS,119.0
1,VV,all,normal,218.62000000000006
1,VV,all,shuffled_mean,222.11
1,VV,all,shuffled_median,220.6299999999999
1,VV,all,uniform,219.99000000000004
1,all,VC,MDS,92.0
1,all,VC,normal,220.89000000000004
1,all,VC,shuffled_mean,221.86999999999998
1,all,VC,shuffled_median,222.27999999999994
1,all,VC,uniform,220.51
1,all,VV,MDS,51.0
1,all,VV,normal,219.52000000000004
1,all,VV,shuffled_mean,219.74000000000007
1,all,VV,shuffled_median,218.58999999999997
1,all,VV,uniform,220.19000000000003
1,all,all,MDS,143.0
1,all,all,normal,440.4099999999999
1,all,all,shuffled_mean,441.61
1,all,all,shuffled_median,440.87
1,all,all,uniform,440.6999999999999
2,VC,VC,MDS,0.0
2,VC,VC,normal,37.56
2,VC,VC,shuffled_mean,27.269999999999992
2,VC,VC,shuffled_median,33.10999999999999
2,VC,VC,uniform,32.61000000000001
2,VC,VV,MDS,0.0
2,VC,VV,normal,41.67
2,VC,VV,shuffled_mean,33.85
2,VC,VV,shuffled_median,38.00999999999999
2,VC,VV,uniform,37.7
2,VC,all,MDS,0.0
2,VC,all,normal,79.22999999999998
2,VC,all,shuffled_mean,61.12
2,VC,all,shuffled_median,71.12
2,VC,all,uniform,70.31
2,VV,VC,MDS,8.0
2,VV,VC,normal,46.760000000000005
2,VV,VC,shuffled_mean,32.68
2,VV,VC,shuffled_median,41.13
2,VV,VC,uniform,40.5
2,VV,VV,MDS,4.0
2,VV,VV,normal,37.28999999999999
2,VV,VV,shuffled_mean,28.72
2,VV,VV,shuffled_median,33.6
2,VV,VV,uniform,32.89
2,VV,all,MDS,12.0
2,VV,all,normal,84.05000000000004
2,VV,all,shuffled_mean,61.40000000000001
2,VV,all,shuffled_median,74.72999999999999
2,VV,all,uniform,73.38999999999997
2,all,VC,MDS,8.0
2,all,VC,normal,84.31999999999998
2,all,VC,shuffled_mean,59.95000000000001
2,all,VC,shuffled_median,74.24
2,all,VC,uniform,73.10999999999999
2,all,VV,MDS,4.0
2,all,VV,normal,78.96000000000001
2,all,VV,shuffled_mean,62.57000000000001
2,all,VV,shuffled_median,71.61
2,all,VV,uniform,70.58999999999999
2,all,all,MDS,12.0
2,all,all,normal,163.28000000000006
2,all,all,shuffled_mean,122.52
2,all,all,shuffled_median,145.85
2,all,all,uniform,143.69999999999996
3,VC,VC,MDS,0.0
3,VC,VC,normal,7.95
3,VC,VC,shuffled_mean,1.5700000000000005
3,VC,VC,shuffled_median,4.5200000000000005
3,VC,VC,uniform,5.000000000000001
3,VC,VV,MDS,0.0
3,VC,VV,normal,9.430000000000001
3,VC,VV,shuffled_mean,1.660000000000001
3,VC,VV,shuffled_median,5.430000000000001
3,VC,VV,uniform,5.7700000000000005
3,VC,all,MDS,0.0
3,VC,all,normal,17.38
3,VC,all,shuffled_mean,3.229999999999999
3,VC,all,shuffled_median,9.950000000000005
