dims,category_type,data_source,size
3,VC,MDS,0.08593637144930409
3,VC,normal,0.4236037845418636
3,VC,shuffled_mean,0.4062516834033191
3,VC,shuffled_median,0.3921978165729885
3,VC,uniform,0.44274510305657505
3,VV,MDS,0.3961669400617449
3,VV,normal,0.4195052920990162
3,VV,shuffled_mean,0.4088784816125347
3,VV,shuffled_median,0.3800192115724636
3,VV,uniform,0.43948344833082736
3,all,MDS,0.24105165575552448
3,all,normal,0.42155453832043993
3,all,shuffled_mean,0.4075650825079269
3,all,shuffled_median,0.38610851407272606
3,all,uniform,0.44111427569370126
7,VC,MDS,0.1097626676423486
7,VC,normal,0.2713649963358541
7,VC,shuffled_mean,0.26367466066194034
7,VC,shuffled_median,0.25718458423722096
7,VC,uniform,0.2851038720924791
7,VV,MDS,0.23224501247657234
7,VV,normal,0.2758655667672964
7,VV,shuffled_mean,0.2673674248414921
7,VV,shuffled_median,0.2582169934801244
7,VV,uniform,0.2805271040595763
7,all,MDS,0.17100384005946048
7,all,normal,0.2736152815515753
7,all,shuffled_mean,0.26552104275171623
7,all,shuffled_median,0.25770078885867265
7,all,uniform,0.28281548807602763
4,VC,MDS,0.08987613752814928
4,VC,normal,0.36582977052889504
4,VC,shuffled_mean,0.40697585037051653
4,VC,shuffled_median,0.3386974697996769
4,VC,uniform,0.39480863687001116
4,VV,MDS,0.3421800531464499
4,VV,normal,0.35043837290868096
4,VV,shuffled_mean,0.4027559076214182
4,VV,shuffled_median,0.34758872585616324
4,VV,uniform,0.38237602690940903
4,all,MDS,0.21602809533729958
4,all,normal,0.35813407171878797
4,all,shuffled_mean,0.4048658789959674
4,all,shuffled_median,0.34314309782792
4,all,uniform,0.38859233188971015
5,VC,MDS,0.10069882474451165
5,VC,normal,0.32003798726616506
5,VC,shuffled_mean,0.2989297623741216
5,VC,shuffled_median,0.3739743709335433
5,VC,uniform,0.341469877336809
5,VV,MDS,0.18453045116108194
5,VV,normal,0.3266159636999933
5,VV,shuffled_mean,0.29884408389133577
5,VV,shuffled_median,0.3760336691512938
5,VV,uniform,0.33966793176756144
5,all,MDS,0.1426146379527968
5,all,normal,0.3233269754830792
5,all,shuffled_mean,0.2988869231327287
5,all,shuffled_median,0.37500402004241856
5,all,uniform,0.3405689045521852
10,VC,MDS,0.10926913074961014
10,VC,normal,0.23172997696643866
10,VC,shuffled_mean,0.24369419681731927
10,VC,shuffled_median,0.23212195733274843
10,VC,uniform,0.24308873516050014
10,VV,MDS,0.18938355524689424
10,VV,normal,0.22889269108795954
10,VV,shuffled_mean,0.2374142182141928
10,VV,shuffled_median,0.23458228526035071
10,VV,uniform,0.23388031442668156
10,all,MDS,0.1493263429982522
10,all,normal,0.2303113340271991
10,all,shuffled_mean,0.240554207515756
10,all,shuffled_median,0.2333521212965496
10,all,uniform,0.23848452479359084
1,VC,MDS,0.11325815342676661
1,VC,normal,0.7265086968059157
1,VC,shuffled_mean,0.7562877557686193
1,VC,shuffled_median,0.7278258732270779
1,VC,uniform,0.7603216123353111
1,VV,MDS,0.4483706126862114
1,VV,normal,0.7182307948836819
1,VV,shuffled_mean,0.7615794783997835
1,VV,shuffled_median,0.7330327012641669
1,VV,uniform,0.7561013429083051
1,all,MDS,0.28081438305648904
1,all,normal,0.7223697458447987
1,all,shuffled_mean,0.7589336170842014
1,all,shuffled_median,0.7304292872456224
1,all,uniform,0.7582114776218082
9,VC,MDS,0.08196869137171801
9,VC,normal,0.23867074736912144
9,VC,shuffled_mean,0.24117053507593567
9,VC,shuffled_median,0.2407560725316146
9,VC,uniform,0.2540363152686556
9,VV,MDS,0.18728099701443848
9,VV,normal,0.24058642715089718
9,VV,shuffled_mean,0.2388859021015711
9,VV,shuffled_median,0.2325231174655148
9,VV,uniform,0.2544798075452845
9,all,MDS,0.1346248441930782
9,all,normal,0.23962858726000927
9,all,shuffled_mean,0.24002821858875342
9,all,shuffled_median,0.23663959499856466
9,all,uniform,0.25425806140697005
2,VC,MDS,0.09398076388075338
2,VC,normal,0.5147445644789519
2,VC,shuffled_mean,0.5233156856602041
2,VC,shuffled_median,0.5629326374303443
2,VC,uniform,0.53228658472976
2,VV,MDS,0.35641118925697346
2,VV,normal,0.5122199642929696
2,VV,shuffled_mean,0.5128147542243731
2,VV,shuffled_median,0.5885459160801908
2,VV,uniform,0.5292118414231303
2,all,MDS,0.22519597656886337
2,all,normal,0.5134822643859607
2,all,shuffled_mean,0.5180652199422887
2,all,shuffled_median,0.5757392767552676
2,all,uniform,0.5307492130764451
8,VC,MDS,0.07367701321991779
8,VC,normal,0.25997345913786196
8,VC,shuffled_mean,0.30482110356515063
8,VC,shuffled_median,0.2351217455001888
8,VC,uniform,0.2701173833845948
8,VV,MDS,0.19454091609443366
8,VV,normal,0.25218326061544544
8,VV,shuffled_mean,0.30393269092013564
8,VV,shuffled_median,0.232023680736256
8,VV,uniform,0.26965461033763555
8,all,MDS,0.13410896465717573
8,all,normal,0.25607835987665367
8,all,shuffled_mean,0.30437689724264316
8,all,shuffled_median,0.23357271311822236
8,all,uniform,0.2698859968611152
6,VC,MDS,0.07631102974110315
6,VC,normal,0.2891008810027625
6,VC,shuffled_mean,0.32537131754443505
6,VC,shuffled_median,0.3604290523700133
6,VC,uniform,0.31044090308374667
6,VV,MDS,0.19416294826116243
6,VV,normal,0.3014861834229313
6,VV,shuffled_mean,0.337254714890464
6,VV,shuffled_median,0.3538206414973094
6,VV,uniform,0.31389952367747653
6,all,MDS,0.1352369890011328
6,all,normal,0.29529353221284693
6,all,shuffled_mean,0.33131301621744946
6,all,shuffled_median,0.35712484693366137
6,all,uniform,0.3121702133806116
