dims,LinReg_kappa,LinReg_spearman,SVC_kappa,SVC_spearman
1,0.5444444444444445,0.3386216658011901,0.5444444444444445,0.3386216658011901
2,0.7999999999999999,0.5936625699614674,0.8222222222222223,0.5804457478016883
3,0.9222222222222224,0.7629231471807606,0.9333333333333335,0.7389280093336174
4,0.9555555555555556,0.7898860932330404,0.9555555555555556,0.7648692026509599
5,0.9555555555555556,0.8242270822118144,0.9777777777777779,0.7932967061440381
6,1.0,0.8739544210054476,1.0,0.8452262466921271
7,1.0,0.8425108230464415,1.0,0.8131563548137469
8,0.9666666666666667,0.8384413876311103,0.9888888888888889,0.8041566033980693
9,0.9555555555555556,0.8228650592099934,0.9777777777777779,0.791645992839182
10,0.9444444444444443,0.8031783364897072,1.0,0.7618626703446024
