dims,FORM_kappa,FORM_spearman,LINES_kappa,LINES_spearman,ORIENTATION_kappa,ORIENTATION_spearman,artificial_kappa,artificial_spearman,visSim_kappa,visSim_spearman
1,0.6666666666666667,0.43433784650516605,0.5,0.2655355460201926,0.5,0.3159916048782116,0.6333333333333333,0.5716561687022521,0.30000000000000004,0.1539814595830982
2,0.8166666666666667,0.6662668806938108,0.6833333333333333,0.35925746111364926,0.9666666666666667,0.7404987075153837,0.6333333333333333,0.5755057051918295,0.3666666666666667,0.2916023890854922
3,0.9333333333333333,0.7593912174397704,0.9333333333333333,0.7595900647574281,0.9333333333333333,0.7233767486034811,0.7833333333333333,0.7747192185274627,0.4,0.28294093198394293
4,0.9000000000000001,0.7566260753281516,1.0,0.8330198772514656,0.9666666666666668,0.7393502876542536,0.8166666666666667,0.7987788215873218,0.3666666666666667,0.27812901137197116
5,1.0,0.8404135671043033,0.9333333333333333,0.7883166606764336,0.9833333333333334,0.7888709283639533,0.75,0.769907297915491,0.4666666666666667,0.42633616622070314
6,1.0,0.872630066695152,1.0,0.8566793720273855,1.0,0.848870769073603,0.8,0.7862678279961952,0.7833333333333333,0.7160137870614067
7,1.0,0.8342114256451381,1.0,0.8038253670572633,1.0,0.8472829427353676,0.8333333333333334,0.8016659739545049,0.7,0.7044651775926742
8,1.0,0.8419336030891342,0.9333333333333333,0.7861129414894379,1.0,0.832190685033871,0.8333333333333334,0.7978164374649275,0.5666666666666667,0.6101515335980265
9,1.0,0.8665970007186616,0.8666666666666667,0.7363098530830575,1.0,0.8168250684607518,0.7333333333333334,0.724675244162956,0.7,0.6755936539208433
10,0.9833333333333334,0.7976577381151875,0.95,0.760245169368529,1.0,0.7997969612935638,0.8,0.7853054438738007,0.6,0.624587295433942
