dims,attentive_kappa,attentive_spearman,pre-attentive_kappa,pre-attentive_spearman
1,0.5333333333333333,0.31314253959433186,0.5777777777777778,0.3641007920080483
2,0.8000000000000002,0.5785588589422989,0.8444444444444446,0.5987898406062636
3,0.9222222222222224,0.7736223024914329,0.9444444444444445,0.7212830513756868
4,0.9333333333333335,0.7947763267574327,0.9777777777777779,0.7578878333984812
5,0.9666666666666668,0.8306381402241364,0.9777777777777779,0.7810959638723235
6,1.0,0.8902750764101142,1.0,0.828511728787313
7,1.0,0.8687320552005188,1.0,0.7881477684246606
8,0.9888888888888889,0.859266462906363,0.9666666666666667,0.780891690168599
9,0.9444444444444445,0.8225710845605262,0.9666666666666668,0.7905835302811212
10,0.9666666666666667,0.8140131518014265,0.9888888888888889,0.7577867607167604
