dims,MDS_kappa,MDS_spearman
1,0.513888888888889,0.33862166580119
2,0.7140201395856346,0.5932376726078586
3,0.8590470565335563,0.7612653669706391
4,0.8735923260554334,0.7821892731529035
5,0.9196912407592596,0.8162170096645567
6,0.9599494369347429,0.8658284102950417
7,0.944399670484954,0.8290309523532797
8,0.9245363731667823,0.820183181841777
9,0.911284834553607,0.8122103912836222
10,0.8955919790447782,0.7808867251270163
