SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
2,22,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,1198,gleich
2,22,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,1200,länglich
2,22,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,2339,länglich
2,22,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,1196,gleich
2,22,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,1700,länglich
2,22,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,1260,gleich
2,22,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,1069,länglich
2,22,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,1348,gleich
2,22,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,1297,gleich
2,22,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,784,länglich
2,22,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,914,gleich
2,22,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1739,länglich
2,22,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,992,gleich
2,22,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,963,länglich
2,22,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,879,länglich
2,22,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,1391,gleich
2,22,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1137,gleich
2,22,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,1132,länglich
2,22,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,2204,keineAhnung
2,22,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,787,gleich
2,22,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,724,länglich
2,22,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,989,gleich
2,22,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,1295,gleich
2,22,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,589,länglich
2,22,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,1010,länglich
2,22,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,834,gleich
2,22,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,948,länglich
2,22,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1019,gleich
2,22,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,1116,länglich
2,22,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,620,länglich
2,22,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,493,gleich
2,22,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,1199,gleich
2,22,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,1796,länglich
2,22,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,772,gleich
2,22,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,2365,keineAhnung
2,22,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,1620,gleich
2,22,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,944,gleich
2,22,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,893,länglich
2,22,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,957,gleich
2,22,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1043,gleich
2,22,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,704,länglich
2,22,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,656,länglich
2,22,Obst,13,0,nat,Banane,3,C13I03_Banane_0,1221,gleich
2,22,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,576,länglich
2,22,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,655,gleich
2,22,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,1215,gleich
2,22,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,852,länglich
2,22,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,621,gleich
2,22,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,1219,keineAhnung
2,22,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,724,länglich
