SubjID,SubjAge,category,category_nr,visSim_1sim_0dis,artificiality,item,item_nr,picture_id,RT,Response
1,21,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,764,gerade
1,21,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,1463,gebogen
1,21,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,1273,gebogen
1,21,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,1478,gebogen
1,21,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,921,gerade
1,21,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,681,gerade
1,21,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,967,gebogen
1,21,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,808,gebogen
1,21,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,1056,gerade
1,21,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,988,gebogen
1,21,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,558,gebogen
1,21,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,1002,gebogen
1,21,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,951,gerade
1,21,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,813,gerade
1,21,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,1261,gebogen
1,21,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,795,gebogen
1,21,Obst,13,0,nat,Banane,3,C13I03_Banane_0,735,gebogen
1,21,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,1175,gerade
1,21,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,608,gebogen
1,21,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,512,gerade
1,21,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,504,gebogen
2,20,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,540,gebogen
2,20,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,592,gerade
2,20,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,401,gebogen
2,20,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,551,gebogen
2,20,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,825,gerade
2,20,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,697,gebogen
2,20,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,810,gebogen
2,20,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1386,gerade
2,20,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,667,gerade
2,20,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,542,gebogen
2,20,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,618,gerade
2,20,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,653,gebogen
2,20,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,958,gebogen
2,20,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,351,gerade
2,20,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,731,gerade
2,20,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,491,gerade
2,20,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,663,gebogen
2,20,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,413,gebogen
2,20,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,3237,gebogen
2,20,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,585,gerade
2,20,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,654,gerade
2,20,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,380,gebogen
2,20,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,637,gerade
2,20,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,569,gebogen
2,20,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1016,gerade
2,20,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,510,gebogen
2,20,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,445,gerade
2,20,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,522,gerade
2,20,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,360,gerade
2,20,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,505,gerade
2,20,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,300,gebogen
2,20,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,621,gebogen
2,20,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,449,gebogen
2,20,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,393,gerade
2,20,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,767,gerade
2,20,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,381,gebogen
2,20,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,337,gerade
2,20,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,285,gebogen
2,20,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,768,gerade
2,20,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,1261,gebogen
2,20,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,396,gebogen
2,20,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,446,gebogen
2,20,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,264,gerade
2,20,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,476,gebogen
2,20,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,459,gerade
2,20,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,761,gerade
2,20,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,352,gerade
2,20,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,457,gebogen
2,20,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,536,gerade
2,20,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,460,gerade
2,20,Obst,13,0,nat,Banane,3,C13I03_Banane_0,286,gebogen
2,20,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,317,gerade
2,20,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,395,gebogen
2,20,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,289,gerade
2,20,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,472,gerade
2,20,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,600,gerade
2,20,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,490,gebogen
2,20,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,763,gerade
2,20,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,602,gebogen
2,20,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,417,gebogen
3,22,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,474,gebogen
3,22,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,815,gebogen
3,22,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,392,gerade
3,22,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,718,gebogen
3,22,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,669,gerade
3,22,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,396,gebogen
3,22,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,1114,gebogen
