Combi_category,Cat_visSim,Cat_Artif,Item1_ID,Item1_Name,Item2_ID,Item1_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01_Behälter,x,art,C01I10,Truhe,C01I03,Fass,2,1,1,4,3,3,5,1,5,1,1,3,1,1,3,2,1,2,2,1,1,1,1,2,3,2,5,2,4,1,1,2,2,1,3,1,2,
C01_Behälter,x,art,C01I10,Truhe,C01I04,Kanister,1,3,1,1,1,1,2,1,4,1,1,2,2,2,2,4,2,4,1,2,1,1,1,5,3,5,3,,,,,,,,,,,
C01_Behälter,x,art,C01I10,Truhe,C01I02,Eimer,4,2,3,3,2,4,4,2,3,1,3,1,3,3,2,1,2,3,1,1,1,1,2,4,3,1,1,1,1,2,3,3,1,3,1,2,,
C01_Behälter,x,art,C01I05,Karton,C01I04,Kanister,2,2,4,2,1,1,5,2,1,3,1,2,2,3,1,3,5,3,4,2,1,1,1,1,1,4,1,2,,,,,,,,,,
C01_Behälter,x,art,C01I05,Karton,C01I02,Eimer,1,1,3,2,3,4,1,5,3,3,4,1,3,2,3,3,2,3,1,1,1,1,2,1,5,2,1,2,1,2,2,3,2,1,2,,,
C01_Behälter,x,art,C01I05,Karton,C01I03,Fass,1,1,3,3,2,5,4,2,3,3,2,1,3,5,2,1,3,5,1,1,1,1,3,1,4,1,1,1,2,1,3,2,2,2,3,2,,
C01_Behälter,x,art,C01I09,Mülleimer,C01I03,Fass,1,3,3,2,4,1,5,1,3,4,4,2,3,2,1,4,1,4,1,3,2,1,2,5,1,3,1,3,4,,,,,,,,,
C01_Behälter,x,art,C01I09,Mülleimer,C01I04,Kanister,5,3,3,4,4,5,1,3,2,1,2,2,4,2,3,4,1,4,1,2,4,2,4,4,2,2,3,3,2,5,3,1,3,2,1,5,,
C01_Behälter,x,art,C01I10,Truhe,C01I09,Mülleimer,4,2,3,2,4,5,4,3,3,3,3,2,1,4,3,5,5,2,3,3,3,4,1,2,4,1,3,1,3,2,2,2,4,3,3,1,2,
C01_Behälter,x,art,C01I04,Kanister,C01I03,Fass,2,3,3,5,5,1,5,5,1,2,3,3,3,3,2,3,5,4,3,2,3,1,3,2,3,1,5,4,5,3,,,,,,,,
C01_Behälter,x,art,C01I09,Mülleimer,C01I02,Eimer,4,3,3,4,4,5,2,4,4,4,2,2,2,4,5,1,4,5,4,3,3,3,1,5,1,5,2,3,5,,,,,,,,,
C01_Behälter,x,art,C01I04,Kanister,C01I02,Eimer,2,3,4,1,4,5,5,5,2,2,1,3,4,3,4,3,4,4,5,3,5,4,2,2,1,4,5,1,5,4,4,5,,,,,,
C01_Behälter,x,art,C01I03,Fass,C01I02,Eimer,4,2,3,4,2,4,4,5,4,3,3,1,5,4,5,4,3,5,5,4,3,4,5,3,4,5,4,3,3,2,5,5,4,3,5,5,,
C01_Behälter,x,art,C01I09,Mülleimer,C01I05,Karton,4,3,3,5,5,5,4,4,3,5,4,4,4,4,4,3,5,5,3,4,4,3,4,3,3,4,4,4,4,5,4,2,3,4,3,2,4,5
C01_Behälter,x,art,C01I10,Truhe,C01I05,Karton,5,5,4,3,4,1,5,5,1,4,4,4,4,3,4,4,4,4,5,5,4,5,1,4,5,5,5,4,5,5,,,,,,,,
