SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
19,21,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1657,horizontal
19,21,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1087,vertikal
19,21,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,2386,vertikal
19,21,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,1788,horizontal
19,21,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,4574,vertikal
19,21,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,822,vertikal
19,21,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,10700,horizontal
19,21,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,1068,vertikal
19,21,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,3196,diagonal1
19,21,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,1222,horizontal
19,21,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,1104,diagonal1
19,21,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,4381,horizontal
19,21,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,1244,diagonal1
19,21,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,699,diagonal1
19,21,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,3552,horizontal
19,21,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,3580,horizontal
19,21,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,11611,diagonal1
19,21,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,835,diagonal1
19,21,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,2703,horizontal
19,21,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,795,vertikal
19,21,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,658,diagonal1
19,21,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,2157,horizontal
19,21,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,6295,horizontal
19,21,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,1594,diagonal1
19,21,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,3893,vertikal
19,21,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,2658,horizontal
19,21,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,1838,diagonal1
19,21,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,2265,horizontal
19,21,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,2284,vertikal
19,21,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,3015,horizontal
19,21,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,1441,vertikal
19,21,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,2889,vertikal
19,21,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,691,diagonal1
19,21,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,822,horizontal
19,21,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1281,diagonal1
19,21,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,953,vertikal
19,21,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,583,diagonal1
19,21,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,808,vertikal
19,21,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,653,horizontal
19,21,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,5019,diagonal2
19,21,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,4898,diagonal2
19,21,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,776,diagonal1
19,21,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,1191,vertikal
19,21,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,504,diagonal1
19,21,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,668,horizontal
19,21,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,472,diagonal1
19,21,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,10221,horizontal
19,21,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,782,vertikal
19,21,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,1589,vertikal
19,21,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,1151,vertikal
19,21,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,417,vertikal
19,21,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,519,diagonal1
19,21,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,8949,vertikal
19,21,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,1500,horizontal
19,21,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,1214,horizontal
19,21,Obst,13,0,nat,Banane,3,C13I03_Banane_0,1060,diagonal1
19,21,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,392,diagonal1
19,21,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,1450,vertikal
19,21,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,336,vertikal
19,21,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,2802,horizontal
2,22,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,1333,diagonal1
2,22,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,2355,diagonal2
2,22,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,1750,vertikal
2,22,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,1480,vertikal
2,22,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,888,horizontal
2,22,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,842,diagonal1
2,22,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,1275,horizontal
2,22,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,841,vertikal
2,22,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,2052,horizontal
2,22,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,1019,diagonal1
2,22,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,728,diagonal1
2,22,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,3493,horizontal
2,22,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,967,horizontal
2,22,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,1988,vertikal
2,22,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,792,diagonal1
2,22,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,1757,diagonal2
2,22,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,1049,diagonal1
2,22,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,4065,horizontal
2,22,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,840,diagonal1
2,22,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,909,vertikal
2,22,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,584,vertikal
2,22,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,698,diagonal1
2,22,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,1924,horizontal
2,22,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,4987,diagonal2
2,22,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1604,horizontal
2,22,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,859,horizontal
2,22,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,732,diagonal1
2,22,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,638,horizontal
2,22,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,2378,diagonal1
2,22,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,4048,vertikal
2,22,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,1675,vertikal
2,22,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,808,horizontal
2,22,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,1207,vertikal
2,22,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,7277,diagonal2
2,22,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,1173,vertikal
2,22,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1980,diagonal1
2,22,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,1653,diagonal1
2,22,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,1294,vertikal
2,22,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,1262,horizontal
2,22,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,543,horizontal
2,22,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,2985,keineAhnung
2,22,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,606,horizontal
2,22,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,396,horizontal
2,22,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,972,horizontal
2,22,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,776,diagonal1
2,22,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,1239,keineAhnung
2,22,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,2073,horizontal
2,22,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1734,horizontal
2,22,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,1222,vertikal
2,22,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,694,diagonal1
2,22,Obst,13,0,nat,Banane,3,C13I03_Banane_0,608,diagonal1
2,22,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,1247,horizontal
2,22,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,1294,diagonal1
2,22,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,671,vertikal
2,22,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,698,diagonal1
2,22,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,586,vertikal
2,22,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,568,diagonal1
2,22,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,552,horizontal
2,22,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,488,horizontal
2,22,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,843,vertikal
3,19,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,3121,vertikal
3,19,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,1318,diagonal1
3,19,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1450,vertikal
3,19,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,1960,vertikal
3,19,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,3710,vertikal
3,19,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,2159,horizontal
3,19,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,2124,vertikal
3,19,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,3754,diagonal2
3,19,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,5710,diagonal2
3,19,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,2749,diagonal1
3,19,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,1486,vertikal
3,19,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,4681,horizontal
3,19,Obst,13,0,nat,Banane,3,C13I03_Banane_0,7781,vertikal
3,19,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,1948,diagonal2
3,19,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1224,vertikal
3,19,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,1899,vertikal
3,19,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,1517,diagonal2
3,19,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,1097,vertikal
3,19,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,2425,horizontal
3,19,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,1661,vertikal
3,19,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,1273,diagonal1
3,19,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,2674,horizontal
3,19,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,1351,vertikal
3,19,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,899,vertikal
3,19,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,1034,vertikal
3,19,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,3926,horizontal
3,19,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,1330,diagonal1
3,19,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,1075,diagonal1
3,19,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,2377,diagonal2
3,19,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,1223,horizontal
3,19,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,1342,diagonal1
3,19,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,2710,vertikal
3,19,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,1248,vertikal
3,19,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,946,diagonal1
3,19,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,2687,vertikal
3,19,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,1239,vertikal
3,19,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,865,vertikal
3,19,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,911,diagonal1
3,19,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,1101,vertikal
3,19,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,764,horizontal
3,19,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1016,diagonal2
3,19,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1095,horizontal
3,19,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,1645,vertikal
3,19,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,942,diagonal1
3,19,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,711,diagonal1
3,19,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,843,vertikal
3,19,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,1282,horizontal
3,19,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1021,diagonal1
3,19,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,2360,vertikal
3,19,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,1063,horizontal
3,19,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,952,vertikal
3,19,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,874,diagonal1
3,19,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,898,vertikal
3,19,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,935,diagonal1
3,19,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,1194,diagonal2
3,19,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,1372,vertikal
3,19,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,2327,vertikal
3,19,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,841,vertikal
3,19,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,973,diagonal1
3,19,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,988,diagonal1
4,26,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,3099,horizontal
4,26,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,2631,horizontal
4,26,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,2064,keineAhnung
4,26,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1400,vertikal
4,26,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,1587,vertikal
4,26,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,4594,vertikal
4,26,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,3978,vertikal
4,26,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,2135,keineAhnung
4,26,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,1419,diagonal1
4,26,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,1065,diagonal1
4,26,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,3407,diagonal1
4,26,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,2974,vertikal
4,26,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,1437,diagonal1
4,26,Obst,13,0,nat,Banane,3,C13I03_Banane_0,1289,diagonal1
4,26,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,2982,keineAhnung
4,26,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,2061,horizontal
4,26,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,1305,horizontal
4,26,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,2570,vertikal
4,26,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,1415,vertikal
4,26,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,1245,horizontal
4,26,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,970,diagonal1
4,26,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1101,vertikal
4,26,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,1073,diagonal1
4,26,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,1672,horizontal
4,26,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,843,diagonal1
4,26,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,1090,vertikal
4,26,Bekleidung,12,1,art,Bluse,2,C12I02_Bluse_0,1330,vertikal
4,26,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,1452,horizontal
4,26,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,815,diagonal1
4,26,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,776,diagonal1
4,26,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,1363,horizontal
4,26,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,1081,horizontal
4,26,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,872,diagonal1
4,26,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,2746,diagonal1
4,26,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,842,diagonal1
4,26,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1059,diagonal2
4,26,Huftier,10,1,nat,Kuh,7,C10I07_Kuh_0,701,horizontal
4,26,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,995,horizontal
4,26,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,1270,diagonal2
4,26,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,1188,vertikal
4,26,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,881,diagonal2
4,26,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,580,diagonal1
4,26,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,751,horizontal
4,26,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,711,horizontal
4,26,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,1762,diagonal1
4,26,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,938,vertikal
4,26,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,676,diagonal1
4,26,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,1056,vertikal
4,26,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,714,vertikal
4,26,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,764,horizontal
4,26,Elektrogerät,3,1,art,Spülmaschine,4,C03I04_Spülmaschine_0,1148,vertikal
4,26,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,731,diagonal1
4,26,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,449,vertikal
4,26,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,760,horizontal
4,26,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,783,horizontal
4,26,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,584,diagonal1
4,26,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,719,diagonal1
4,26,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,1078,diagonal1
4,26,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,732,horizontal
4,26,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,579,horizontal
5,23,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,1365,diagonal1
5,23,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,1129,horizontal
5,23,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,2178,horizontal
5,23,Pflanze,14,1,nat,Löwenzahn,10,C14I10_Löwenzahn_0,3273,vertikal
5,23,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1162,vertikal
5,23,Werkzeug,25,1,art,Säge,5,C25I05_Säge_0,1054,diagonal1
5,23,Obst,13,0,nat,Zitrone,11,C13I11_Zitrone_0,7580,horizontal
5,23,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,1270,vertikal
5,23,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,991,diagonal1
5,23,Insekt,7,0,nat,Marienkäfer,9,C07I09_Marienkäfer_0,1758,diagonal1
5,23,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,1113,vertikal
5,23,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,1909,horizontal
5,23,Fahrzeug,19,0,art,Roller,10,C19I10_Roller_0,2312,vertikal
5,23,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,924,diagonal1
5,23,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,1482,vertikal
5,23,Geschirr,6,0,art,Teekanne,5,C06I05_Teekanne_0,4127,vertikal
5,23,Bekleidung,12,1,art,Hemd,3,C12I03_Hemd_0,7194,vertikal
5,23,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,831,diagonal1
5,23,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,2042,horizontal
5,23,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,2852,horizontal
5,23,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,3441,horizontal
5,23,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,960,horizontal
5,23,Huftier,10,1,nat,Hirsch,4,C10I04_Hirsch_0,1686,vertikal
5,23,Gebäude,4,0,art,Kirche,8,C04I08_Kirche_0,3408,horizontal
5,23,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,878,diagonal1
5,23,Werkzeug,25,1,art,Hammer,3,C25I03_Hammer_0,970,diagonal1
5,23,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,747,diagonal1
5,23,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,822,diagonal1
5,23,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,1094,vertikal
5,23,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,2069,vertikal
5,23,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1160,vertikal
5,23,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,2009,vertikal
5,23,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,902,diagonal1
5,23,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,1321,keineAhnung
5,23,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,872,diagonal1
5,23,Bekleidung,12,1,art,Mantel,15,C12I15_Mantel_0,1130,vertikal
5,23,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,823,diagonal1
5,23,Insekt,7,0,nat,Libelle,7,C07I07_Libelle_0,891,diagonal1
5,23,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,954,horizontal
5,23,Obst,13,0,nat,Banane,3,C13I03_Banane_0,683,diagonal1
5,23,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,4828,diagonal1
5,23,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,652,diagonal1
5,23,Werkzeug,25,1,art,Schaufel,11,C25I11_Schaufel_0,685,diagonal1
