Relation,Relation+AF8-visSim,Relation+AF8-artificiality,Relation+AF8-category,Item1+AF8-ID,Item1+AF8-Name,Item1+AF8-visSim,Item1+AF8-Artif,Item2+AF8-ID,Item2+AF8-Name,Item2+AF8-visSim,Item2+AF8-Artif,Subj781,Subj785,Subj786,Subj789,Subj790,Subj791,Subj793,Subj794,Subj796,Subj797,Subj798,Subj799,Subj802,Subj804,Subj806,Subj808,Subj809,Subj813,Subj814,Subj820,Subj821,Subj822,Subj824,Subj831,Subj832,Subj833,Subj836,Subj837,Subj838,Subj839,Subj840,Subj841,Subj844,Subj852,Subj855,Subj860,Subj870,Subj871,Subj875,Subj876,Subj877,Subj885,Subj887,Subj904,Subj912,Subj913,Subj920,Subj921,Subj924,Subj944,Subj991,Subj1008,Subj1042,Subj1054,Subj1094,Subj1096,Subj1097,Subj1101,Subj1135,Subj1138,Subj1151,Subj1159
between,SimDis,art,mix,C12I02,Bluse,Sim,art,C06I05,Teekanne,Dis,art,,,2,,,4,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,3,,,,,4,2,,,,3,,,,1,,,2,,,,,1,,,2,1,,,,
between,SimDis,art,mix,C12I02,Bluse,Sim,art,C06I10,Sch+//0Aw//9ALw-ssel,Dis,art,,,3,,,1,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,1,,,,,1,1,,,,1,,,,1,,,1,,,,,1,,,2,1,,,,
between,visDis,nat,mix,C13I01,Apfel,Dis,nat,C07I01,Ameise,Dis,nat,,,1,,,1,,,,,,,3,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,2,,,,2,,,,3,,,1,,,,,1,,,1,1,,,,
between,visDis,mix,mix,C19I01,Auto,Dis,art,C07I07,Libelle,Dis,nat,,,2,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,5,,,,1,,,,1,,,1,,,,,3,,,1,1,,,,
between,SimDis,mix,mix,C25I01,Axt,Sim,art,C07I11,Schmetterling,Dis,nat,,,2,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,2,2,,,,1,,,,1,,,1,,,,,1,,,1,1,,,,
between,SimDis,mix,mix,C19I01,Auto,Dis,art,C10I07,Kuh,Sim,nat,,,3,,,4,,,,,,,1,2,,,,,,,,4,,,,1,,,,,1,2,,,,,4,4,,,,4,,,,4,,,3,,,,,3,,,1,1,,,,
between,visSim,mix,mix,C14I10,L+//0Aw//9ALY-wenzahn,Sim,nat,C12I02,Bluse,Sim,art,,,2,,,3,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,1,,,,1,,,,1,,,1,,,,,3,,,2,3,,,,
between,SimDis,art,mix,C19I01,Auto,Dis,art,C12I12,Uniform,Sim,art,,,3,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,4,,,,1,,,,2,,,2,,,,,1,,,2,1,,,,
between,SimDis,nat,mix,C14I10,L+//0Aw//9ALY-wenzahn,Sim,nat,C13I05,Himbeere,Dis,nat,,,2,,,1,,,,,,,3,1,,,,,,,,1,,,,1,,,,,1,1,,,,,3,4,,,,4,,,,2,,,1,,,,,1,,,2,1,,,,
between,visSim,nat,mix,C21I01,Adler,Sim,nat,C14I16,Palme,Sim,nat,,,3,,,4,,,,,,,3,1,,,,,,,,1,,,,1,,,,,1,3,,,,,3,4,,,,4,,,,2,,,2,,,,,1,,,2,1,,,,
