aggregator,block_size,image_size,scoring,weights,kendall
max,6,48,InnerProduct,optimized,0.10155665217395342
max,6,48,Manhattan,fixed,0.0732531753117538
max,6,48,Manhattan,optimized,0.03727468594064169
mean,6,48,Euclidean,fixed,0.12779680738511037
mean,6,48,Euclidean,optimized,0.2902759382554333
mean,6,48,InnerProduct,fixed,0.07877749730713314
mean,6,48,InnerProduct,optimized,0.23701334618964146
mean,6,48,Manhattan,fixed,0.13725956982440565
mean,6,48,Manhattan,optimized,0.2709916962106512
median,6,48,Euclidean,fixed,0.08431761461897636
median,6,48,Euclidean,optimized,0.26980216647920024
median,6,48,InnerProduct,fixed,0.05741476093981712
median,6,48,InnerProduct,optimized,0.2319674993034304
median,6,48,Manhattan,fixed,0.08381432473600114
median,6,48,Manhattan,optimized,0.2556768142257123
min,6,48,Euclidean,fixed,0.1887234268658675
min,6,48,Euclidean,optimized,0.3252626461984741
min,6,48,InnerProduct,fixed,0.10158165446462086
min,6,48,InnerProduct,optimized,0.25964063321248787
min,6,48,Manhattan,fixed,0.17639522904217453
min,6,48,Manhattan,optimized,0.2995415445288744
max,7,41,Euclidean,fixed,0.03930332732242958
max,7,41,Euclidean,optimized,0.03187780603726421
max,7,41,InnerProduct,fixed,0.054030439235619794
max,7,41,InnerProduct,optimized,0.10870215293565608
max,7,41,Manhattan,fixed,0.05391233739939022
max,7,41,Manhattan,optimized,0.02440505348065946
mean,7,41,Euclidean,fixed,0.13113078066314116
mean,7,41,Euclidean,optimized,0.2848643594851755
mean,7,41,InnerProduct,fixed,0.07869497321609276
mean,7,41,InnerProduct,optimized,0.21082952173392702
mean,7,41,Manhattan,fixed,0.14223302171110502
mean,7,41,Manhattan,optimized,0.26828819305794427
median,7,41,Euclidean,fixed,0.0766593789704304
median,7,41,Euclidean,optimized,0.21192681006251418
median,7,41,InnerProduct,fixed,0.04925771300764942
median,7,41,InnerProduct,optimized,0.1937693147818273
median,7,41,Manhattan,fixed,0.06779990854107179
median,7,41,Manhattan,optimized,0.20930574935200977
min,7,41,Euclidean,fixed,0.20319998630303743
min,7,41,Euclidean,optimized,0.3268762434440828
min,7,41,InnerProduct,fixed,0.11064830126692238
min,7,41,InnerProduct,optimized,0.2444334829407202
min,7,41,Manhattan,fixed,0.19108288048669778
min,7,41,Manhattan,optimized,0.2945809198018722
max,8,36,Euclidean,fixed,0.04803751550214959
max,8,36,Euclidean,optimized,0.038043009832597785
max,8,36,InnerProduct,fixed,0.04625145978988689
max,8,36,InnerProduct,optimized,0.09427444852851231
max,8,36,Manhattan,fixed,0.045450819086879
max,8,36,Manhattan,optimized,0.0330141819901653
mean,8,36,Euclidean,fixed,0.13209172785658896
mean,8,36,Euclidean,optimized,0.2840096552795711
mean,8,36,InnerProduct,fixed,0.07886735687293263
mean,8,36,InnerProduct,optimized,0.18454505715842467
mean,8,36,Manhattan,fixed,0.14617771994813447
mean,8,36,Manhattan,optimized,0.2723778263648807
median,8,36,Euclidean,fixed,0.07278808216629236
median,8,36,Euclidean,optimized,0.21262255804974486
median,8,36,InnerProduct,fixed,0.04753387643925066
median,8,36,InnerProduct,optimized,0.18451932499604914
median,8,36,Manhattan,fixed,0.0681569950717554
median,8,36,Manhattan,optimized,0.21788812177116385
min,8,36,Euclidean,fixed,0.20879695354426403
min,8,36,Euclidean,optimized,0.32455921717012676
min,8,36,InnerProduct,fixed,0.1188548636537143
min,8,36,InnerProduct,optimized,0.24604239793175262
min,8,36,Manhattan,fixed,0.20040060796474662
min,8,36,Manhattan,optimized,0.29614078810502475
max,9,32,Euclidean,fixed,0.04108326270303551
max,9,32,Euclidean,optimized,0.061545791849955546
max,9,32,InnerProduct,fixed,0.046291755898713025
max,9,32,InnerProduct,optimized,0.10781618312001143
max,9,32,Manhattan,fixed,0.04567209219889593
max,9,32,Manhattan,optimized,0.05736576023663503
mean,9,32,Euclidean,fixed,0.13442624269868642
mean,9,32,Euclidean,optimized,0.2697458968510752
mean,9,32,InnerProduct,fixed,0.07874632153940678
mean,9,32,InnerProduct,optimized,0.1601566966592443
mean,9,32,Manhattan,fixed,0.14911002929780215
mean,9,32,Manhattan,optimized,0.26030418642882525
median,9,32,Euclidean,fixed,0.06384980617227586
median,9,32,Euclidean,optimized,0.16547164589708854
median,9,32,InnerProduct,fixed,0.041531624217581393
median,9,32,InnerProduct,optimized,0.1325108261938591
median,9,32,Manhattan,fixed,0.057746880818391
median,9,32,Manhattan,optimized,0.17415113105951951
min,9,32,Euclidean,fixed,0.2134733187032181
min,9,32,Euclidean,optimized,0.3348733306323771
min,9,32,InnerProduct,fixed,0.1238759961263481
min,9,32,InnerProduct,optimized,0.2527597420452533
min,9,32,Manhattan,fixed,0.20393935597818874
min,9,32,Manhattan,optimized,0.2994964669122491
max,10,29,Euclidean,fixed,0.03625184293340992
max,10,29,Euclidean,optimized,0.06549816614229217
max,10,29,InnerProduct,fixed,0.04301385340257401
max,10,29,InnerProduct,optimized,0.10999493714080297
max,10,29,Manhattan,fixed,0.042407178459264165
max,10,29,Manhattan,optimized,0.05938639378173329
mean,10,29,Euclidean,fixed,0.13753098239049394
mean,10,29,Euclidean,optimized,0.2703661661210072
mean,10,29,InnerProduct,fixed,0.07890036650934878
mean,10,29,InnerProduct,optimized,0.15720431122754824
mean,10,29,Manhattan,fixed,0.15487021085241967
mean,10,29,Manhattan,optimized,0.2467060791145838
median,10,29,Euclidean,fixed,0.07594602830525773
median,10,29,Euclidean,optimized,0.1650011004998146
median,10,29,InnerProduct,fixed,0.05042772123173282
median,10,29,InnerProduct,optimized,0.13361565518009472
median,10,29,Manhattan,fixed,0.0699444443223608
median,10,29,Manhattan,optimized,0.15282967483158788
min,10,29,Euclidean,fixed,0.22177707613056866
min,10,29,Euclidean,optimized,0.31355744538270286
min,10,29,InnerProduct,fixed,0.13364501463683762
min,10,29,InnerProduct,optimized,0.2284158546226211
min,10,29,Manhattan,fixed,0.21210918654348643
min,10,29,Manhattan,optimized,0.2893127636577489
max,11,26,Euclidean,fixed,0.04827346159868907
max,11,26,Euclidean,optimized,0.05798524287517833
max,11,26,InnerProduct,fixed,0.04942310447522286
max,11,26,InnerProduct,optimized,0.07753537897393403
max,11,26,Manhattan,fixed,0.04866839258755723
max,11,26,Manhattan,optimized,0.053656359787053506
mean,11,26,Euclidean,fixed,0.13901824989791034
mean,11,26,Euclidean,optimized,0.2512643775650166
mean,11,26,InnerProduct,fixed,0.07851892182187331
mean,11,26,InnerProduct,optimized,0.15292640390254486
mean,11,26,Manhattan,fixed,0.15682878261311106
mean,11,26,Manhattan,optimized,0.2533349933233692
median,11,26,Euclidean,fixed,0.06722047829254635
median,11,26,Euclidean,optimized,0.13381161005946313
median,11,26,InnerProduct,fixed,0.04377537654023264
median,11,26,InnerProduct,optimized,0.13121491630797755
median,11,26,Manhattan,fixed,0.0605520608169686
median,11,26,Manhattan,optimized,0.12526131246872593
min,11,26,Euclidean,fixed,0.22367329635580727
min,11,26,Euclidean,optimized,0.3097942159734407
min,11,26,InnerProduct,fixed,0.13674975432864517
min,11,26,InnerProduct,optimized,0.21490718531108688
min,11,26,Manhattan,fixed,0.2161331288878049
min,11,26,Manhattan,optimized,0.2842347216662794
max,12,24,Euclidean,fixed,0.06288532433301781
max,12,24,Euclidean,optimized,0.07069683864553387
max,12,24,InnerProduct,fixed,0.062160090286625495
max,12,24,InnerProduct,optimized,0.07563760331395959
max,12,24,Manhattan,fixed,0.06181433333729447
max,12,24,Manhattan,optimized,0.06931316883202354
mean,12,24,Euclidean,fixed,0.13858362301843108
mean,12,24,Euclidean,optimized,0.2717470630801494
mean,12,24,InnerProduct,fixed,0.07863628941801962
mean,12,24,InnerProduct,optimized,0.14955421799290322
mean,12,24,Manhattan,fixed,0.1589028881012589
