n_dims,scoring,weights,kendall
1,Euclidean,fixed,0.3876009846670796
1,Euclidean,optimized,0.38675756863758115
1,InnerProduct,fixed,0.2544566161825535
1,InnerProduct,optimized,0.2538359518440728
1,Manhattan,fixed,0.3876009846670796
1,Manhattan,optimized,0.38675756863758115
2,Euclidean,fixed,0.5143488191616323
2,Euclidean,optimized,0.512161283063071
2,InnerProduct,fixed,0.42158623922619193
2,InnerProduct,optimized,0.42072769940364074
2,Manhattan,fixed,0.504442260499409
2,Manhattan,optimized,0.5041790067354877
3,Euclidean,fixed,0.559749906314662
3,Euclidean,optimized,0.5602243660365496
3,InnerProduct,fixed,0.49431013598834184
3,InnerProduct,optimized,0.49467796494076566
3,Manhattan,fixed,0.5418531817710414
3,Manhattan,optimized,0.5416116928137698
4,Euclidean,fixed,0.5784168557079928
4,Euclidean,optimized,0.5770798227197229
4,InnerProduct,fixed,0.5261204222813681
4,InnerProduct,optimized,0.5233162503323835
4,Manhattan,fixed,0.5586550867068599
4,Manhattan,optimized,0.557966564952808
5,Euclidean,fixed,0.5991450735086429
5,Euclidean,optimized,0.598394320077982
5,InnerProduct,fixed,0.5523264058584088
5,InnerProduct,optimized,0.5498559172780718
5,Manhattan,fixed,0.56490674507034
5,Manhattan,optimized,0.5658645456248049
6,Euclidean,fixed,0.6114484985484164
6,Euclidean,optimized,0.6088541706421373
6,InnerProduct,fixed,0.5681783668129181
6,InnerProduct,optimized,0.5636562109010194
6,Manhattan,fixed,0.5757577461078032
6,Manhattan,optimized,0.5750846799144004
7,Euclidean,fixed,0.6124864682268353
7,Euclidean,optimized,0.6121854518381644
7,InnerProduct,fixed,0.5699902290784266
7,InnerProduct,optimized,0.5693514061911717
7,Manhattan,fixed,0.5672027486699519
7,Manhattan,optimized,0.5735566724316937
8,Euclidean,fixed,0.6197907672182527
8,Euclidean,optimized,0.6176862366704263
8,InnerProduct,fixed,0.5776411292522133
8,InnerProduct,optimized,0.5742743221305602
8,Manhattan,fixed,0.5778391870707102
8,Manhattan,optimized,0.5774506185490764
9,Euclidean,fixed,0.6233961530623717
9,Euclidean,optimized,0.623379857341898
9,InnerProduct,fixed,0.5817013145313994
9,InnerProduct,optimized,0.5742910899362508
9,Manhattan,fixed,0.5683562520758273
9,Manhattan,optimized,0.574336431264802
10,Euclidean,fixed,0.6278579555846208
10,Euclidean,optimized,0.62726438485848
10,InnerProduct,fixed,0.5867939678829348
10,InnerProduct,optimized,0.5791308508895184
10,Manhattan,fixed,0.5837644168074084
10,Manhattan,optimized,0.5876456682758672
