n_dims,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
1,Cosine,0.17809540447807642,0.1437047446351515,0.1173829470253465,0.03171797309620972,0.03171797309620972
1,Manhattan,0.2304392352343785,0.19668927809070816,0.13384833671124888,0.053102241135405515,0.4454071592315535
1,Euclidean,0.23043923523437856,0.1966892748707138,0.13384534289826946,0.053102241135405515,0.4451040406569666
2,Cosine,0.5175141699804859,0.5591732791323261,0.3965543657953355,0.26782091613059145,0.6367385186931442
2,Manhattan,0.6384470614579278,0.6618737542312157,0.47953516161840304,0.40761465028426314,0.7008152212120495
2,Euclidean,0.6570463790319837,0.6787998611954805,0.4948019906681348,0.4317099441990413,0.7084262969252226
3,Cosine,0.6071088752138692,0.6424237419632892,0.4631201507221832,0.3685811863634495,0.7031145734567475
3,Manhattan,0.7079459881878976,0.6964015406581542,0.5079204653607412,0.501187522191339,0.7401935986429212
3,Euclidean,0.7399278364759545,0.7269582659860708,0.5362932075252956,0.547493203191987,0.7612911643605258
4,Cosine,0.6730057440051017,0.6972177004238408,0.5105871053074845,0.4529367314638605,0.765689291140085
4,Manhattan,0.7729758535586615,0.7226457610566209,0.5317827888927658,0.5974916701847414,0.7814187235034863
4,Euclidean,0.7970571027588949,0.7521667959689453,0.5608175862121547,0.6353000250584036,0.7945650064131665
5,Cosine,0.7210366377670939,0.74071374614076,0.5494289971874462,0.5198938330024754,0.7998070748857845
5,Manhattan,0.7935343956257435,0.7330495808719402,0.544024136049863,0.629696837041114,0.791555303355286
5,Euclidean,0.8420080695980103,0.794110617588035,0.6023582151152255,0.7089775892681678,0.8329427741271623
6,Cosine,0.7525663492262425,0.7579696555584291,0.5688227422546702,0.5663561099877148,0.824327899029097
6,Manhattan,0.8216055625685178,0.7411855318944752,0.5535348973488241,0.6750357004435306,0.81353588141245
6,Euclidean,0.8719789484846016,0.810280221474107,0.6219114098085035,0.7603472866003116,0.8555916218809136
7,Cosine,0.7749783774446819,0.7736985973230422,0.5845667982895585,0.600591485506792,0.8373647480650491
7,Manhattan,0.8403676329252572,0.748753536778323,0.5609173096566478,0.7062177584683997,0.8222003989479523
7,Euclidean,0.8905172650117661,0.8254054264735229,0.6392712902195874,0.7930209992840364,0.8674005926777814
8,Cosine,0.7942105766691995,0.7869063667361136,0.5972338152448833,0.6307704400932225,0.8465991004233775
8,Manhattan,0.8585431357264415,0.7788762823825786,0.588329108479273,0.7370963159029911,0.8332519718474053
8,Euclidean,0.9047725512163364,0.8377760444106994,0.6517217987335,0.8186133694345181,0.877599626206927
9,Cosine,0.8109537908942949,0.7952104412710153,0.6063122258295012,0.657646050965828,0.8558633630200182
9,Manhattan,0.8613244764235101,0.7654205263533246,0.5776205543624298,0.741879853686234,0.8298715997932832
9,Euclidean,0.9169820459188672,0.8475590453621901,0.6642931696765698,0.8408560725375516,0.8874115840500107
10,Cosine,0.8287074869659374,0.8088512055279359,0.6200157391993438,0.6867560989533996,0.8629546162008663
10,Manhattan,0.8792584157941441,0.7860717185110186,0.5981500551693191,0.7730953617448282,0.8423909034745823
10,Euclidean,0.927863862090113,0.8609776287722984,0.6786963146558758,0.8609313465727801,0.8953967156990722
