configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,reconstruction_loss,mapping_weighted_med,mapping_weighted_r2
c0.0_r1.0_m0.25_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,4.6,0.28164930668653854,0.40328135933998405,0.19249975323766866,0.34932992925581796,0.26573634424688886,0.40123092266557253,0.24909100747669735,0.5506438569091008,0.11143004317590595,0.6855115431017819,0.4212644021987374
c0.0_r1.0_m0.125_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,4.0,0.25626541804611563,0.40486230726594774,0.13758503586075377,0.34433360480538944,0.24696390920165295,0.39340802750235826,0.18337099269438784,0.5587375435506425,0.11352879978145161,0.6870342189642438,0.4035525130034783
c0.0_r1.0_m2.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,6.4,0.3083418073565217,0.394753080502246,0.3690420360861484,0.3256615306145178,0.27463662893626783,0.39118219994194114,1.219379959698697,0.5520388169960225,0.11530232571033636,0.6845590986629093,0.41413351152842787
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,9.8,0.22623312437669224,0.38932512135094594,0.1247826700586943,0.33347625453121804,0.22507878916928833,0.3807143412579166,0.13667551473946374,0.550357147087684,0.10227819300855198,0.6851095730340718,0.41441717414065354
c0.0_r1.0_m1.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,6.4,0.2665776880672105,0.37878605470169563,0.26341514373485014,0.31359386751473234,0.2453616230182417,0.3758789174605878,0.8702367851732372,0.6826762840984968,0.18756050130969287,0.7506727129399358,0.26049627409930187
c0.0_r1.0_m0.5_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,4.8,0.30229681857365176,0.3987316902220094,0.26586999861735255,0.3500400886360113,0.2779881689018621,0.39524311077929597,0.38754494519723454,0.5493583191223759,0.11286578536553185,0.6859554602847175,0.4205252742781996
