dim,metric_stress,nonmetric_stress
1,0.563125427005,0.559070907538653
2,0.338266376418284,0.300192558509495
3,0.248153875309017,0.218558209775227
4,0.191493710607314,0.170011731898567
5,0.154943128396228,0.137460987064931
6,0.129949725443956,0.115982275742466
7,0.112776290379304,0.101387510826599
8,0.0997186655421098,0.0908377259177522
9,0.0892194823189046,0.0818803943533906
10,0.0804109733490588,0.0742172342153527
