configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,1,0.21879311810210675,0.2298676536630512,0.1979305062125284,0.2461068752130088,0.2127251574743133,0.22141691844715106,4.715987379864771,3.063432486768455,1.7575962108118193,2.4092485266546815,0.3020004624894687,0.5958640742496568
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,3,0.1987227738186954,0.2270789647165984,0.2443127494625319,0.1887209214958101,0.19927357600947385,0.2389398607326733,4.895718542094134,3.1720696488357625,1.8218855314960285,2.497744115145839,0.2875305621794292,0.593836915581202
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,4,0.20296212338184297,0.33476170619734485,0.2556746761704135,0.2508494068363573,0.20380659972647241,0.31967141298926477,4.809198068037325,3.297970320756632,1.6220236255410982,2.4576592359354303,0.25964809637167013,0.6286880911269358
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,3,0.2034045924403119,0.2425916687678061,0.22203528076062226,0.21303010207152587,0.20135278901873924,0.24091571940815654,5.08540071004021,3.766707826180566,1.7628275547112737,2.758824372720962,0.18535277259638724,0.602589662526031
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,0,0.1976603259909854,0.3131709255322548,0.2589024814258519,0.253874224170747,0.19651173374481243,0.3121247474249354,4.8265452813664265,3.0167409008721586,1.559965471229991,2.289782306300134,0.30741929894077535,0.6059048897824725
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,1,0.20399585640339868,0.3296572451460792,0.24557228527793748,0.24143461131732216,0.2000984740771799,0.32237076371652434,4.8362135291878054,2.9018225425369217,1.6039012070590135,2.2536055409421727,0.3276286678168238,0.6104187044264102
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,2,0.21051020174504564,0.29725663843385614,0.27558969945689915,0.2735283354202803,0.21087044204043628,0.2957060129016468,4.765747657843998,2.7791119554156696,1.5890680479772237,2.186820264642336,0.36516264001812254,0.6336030044963166
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,4,0.20572527086496595,0.304318899905884,0.26675337047213654,0.2542444869791479,0.20454274293879238,0.29620548785956136,4.976615218875359,2.9309089188010975,1.6704940324364876,2.3024003446746844,0.3276516158799736,0.5975226298372964
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,0,0.20169867191105267,0.22285016837480615,0.1968341227048178,0.18307592674335416,0.1980375341263763,0.21531771444498893,4.958110989171631,3.0015639976399395,1.7483669695878516,2.3764294156906556,0.3097587017343969,0.6040160359895351
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,3,0.22819982755457113,0.33938660797500486,0.2854140788170628,0.2734470145073058,0.22821810061303296,0.33667941440490806,4.921061414553194,2.8002384781653005,1.6410786445627408,2.221474359486784,0.35597277796207644,0.623819645581805
