configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,4,177,0.22492633965297815,0.2968051280689403,0.2352271237516113,0.24245048774436978,0.21927213327749934,0.3047675196018477,3.943549702062899,2.426636158360992,1.103765355161258,1.7603440327352406,0.42474781765013325,0.7577964036872192
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,1,196,0.2179408104467079,0.283683668014661,0.23025946228691316,0.2536899327092029,0.2082913303603933,0.2961759778746792,3.2930212534617405,1.5403876743239189,1.0298048060852654,1.2881867650497933,0.6213122365061118,0.7868186941067783
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,1,124,0.2196141005144281,0.2686504122729493,0.2179473365390157,0.24806069963285998,0.21578458954821045,0.2739659139377047,3.919304496745674,2.2909491231606007,1.1365637791466956,1.7112469065219773,0.44869229422905005,0.7416329823586405
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,0,190,0.24238363657634593,0.28691091465766483,0.21431621877895524,0.24781973772967686,0.23546858916699995,0.29370659677288286,4.165476024294386,2.7240049422529586,1.1882731753391576,1.950867468648039,0.3732100218716933,0.7511185390188986
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,2,175,0.20472155786802612,0.2705078946256047,0.2405471942009307,0.2595693643661249,0.1981654455356092,0.2832693167538317,3.4178074189229886,1.6236424947684673,1.0979422786308795,1.3645285747762845,0.5941827788863864,0.7781807038108913
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,3,193,0.22696900654531985,0.27687890940282206,0.22553326623760364,0.21853986370676926,0.21869392149902814,0.2849749915878884,3.303442523659492,1.578369549360447,1.0275305510844503,1.3083406559222814,0.6131930092464352,0.7803865122308536
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,2,105,0.19508121431094244,0.23169956152746632,0.2004221682556468,0.22514215860811712,0.19306204135090882,0.2351090386675371,4.466577905890893,3.219184532751542,1.1993202014498565,2.2004964647128875,0.28985477457727704,0.7245317274909847
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,3,97,0.22663095496377578,0.301845995689364,0.22027193061905442,0.2491471030508357,0.22407925287142555,0.3051873920727512,4.012744452926578,2.590167438536473,1.1089361746505815,1.8471157413204105,0.39988891554182887,0.7368334536023285
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,0,193,0.20576442741881273,0.26221568398157036,0.22773778021917881,0.2144606341350638,0.19946935877870786,0.2710262213743201,3.2767095851435952,1.634290885011847,1.007801828642889,1.3261978184282779,0.5950742599355932,0.7846643768938221
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,4,197,0.20908098752963725,0.2773109870791144,0.22080837540675569,0.2097369415070168,0.19792398012022058,0.2767224171914983,3.2746383449812324,1.5121811527979292,1.0279906309280469,1.274417141557044,0.6233484145354251,0.7838646909874313
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,0,166,0.21682223822515082,0.3076132989438024,0.25442949775808504,0.23021312689450774,0.21239232676661546,0.31438653521654747,3.0020975667542342,1.526165516122656,0.9093288406974503,1.2208231303846957,0.6521104897430965,0.7983482066891632
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,4,133,0.20354033516031414,0.267527904472512,0.2194287594928865,0.2021418845905963,0.19802970281560697,0.2751672991846806,2.997431013163255,1.490933997722278,0.9071469372145984,1.2031985271855885,0.6503656686727546,0.794408018459471
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,2,170,0.23761436831780489,0.3208754129555474,0.2592496695366269,0.24816088200700182,0.22565465155452874,0.3171748195286288,3.1398539294734293,1.573339402897027,0.9777564256477113,1.2803368670648458,0.6466786795586956,0.7879700281881556
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,3,166,0.20863460281578364,0.2986665153806454,0.2444041147548411,0.2028975941378238,0.20440569500032857,0.31180458626670693,3.0246270141650218,1.5744603258432714,0.9103622342196046,1.2458904392402999,0.6511557050809569,0.7986942034473224
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,1,185,0.21729864296362028,0.3048078230651172,0.2778894943861682,0.2534228729934456,0.21013560404657786,0.3000307064417078,3.0642328761378113,1.5298382346965922,0.9455265213689026,1.2412378034038203,0.6526210356160086,0.7928818019099382
