configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,107,0.20637657487728447,0.20955694783846002,0.21681962778822766,0.16856071657615063,0.20913972236040743,0.21346902224835912,3.8596135381387207,2.295345614759963,1.407220705160073,1.8610796228306634,0.4458705116607705,0.6629273355584971
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,199,0.1999901409448704,0.21198993577221903,0.22593135786837948,0.21111849198035615,0.19606404381249726,0.20697978332199893,3.4485874127441525,1.656118894666643,1.1633960371041785,1.4148129914220497,0.602882505133444,0.7640336089669442
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,198,0.2111602005389026,0.25009995442473854,0.24977769916108444,0.24266253355094541,0.21119935709274945,0.2594730698201078,3.1413487737446415,1.5651241393252424,0.9881528612379821,1.2799241964327437,0.6285347653663889,0.7919489918442405
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,186,0.20253401172645125,0.19814759820688163,0.22232895491447335,0.2420764034988006,0.20331714280338736,0.20305437122247988,3.202299315706808,1.5945282549657094,1.029757212122484,1.315413813907577,0.6214258710109458,0.7846579404734836
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,146,0.22888767768381338,0.22479981301082957,0.2270225205022438,0.15811856238180894,0.22477884996682182,0.2199110542901226,3.426975951802974,1.682733647831976,1.1418075948169037,1.4181572238380205,0.5893892297720422,0.7609142998907031
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,36,0.20798721445884977,0.19597063633905715,0.24755491212104744,0.24631234295664717,0.20623691650189752,0.2062290048155709,4.043625208791421,2.4342618135336562,1.454341931246373,1.9535041255470442,0.423068518373431,0.6547248242734647
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,181,0.2230011424221768,0.26027211085521723,0.2652758631736504,0.2490532402149787,0.2207809658190629,0.26243452691184194,3.1810585844431603,1.6103349821943806,0.9896786101717426,1.3020507641647543,0.6248400182736163,0.7890161819719539
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,183,0.2153538674558956,0.28013987009341734,0.2460108386810217,0.23861662461088456,0.21288961500046988,0.28948867825286995,3.2321517298525695,1.632643069510067,1.008210607137911,1.3232254916624147,0.6193930159576085,0.7853185369804198
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,145,0.18953795150469624,0.30142456693499386,0.23823565230550758,0.2072094889422506,0.16757112479663794,0.3023889419241427,3.332727432581843,1.6586661666304245,1.0481411469517923,1.3571967448318492,0.6244287001648727,0.7844681446406306
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,133,0.19361023310476408,0.19276836211437146,0.2232713226437198,0.18783451691650702,0.1939613368709238,0.193272799805709,4.093589288891578,2.035569976604684,1.4737076816546675,1.7642581903642538,0.5211750636161591,0.706618541745507
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,143,0.20924675027425538,0.3087520093191253,0.21801259746209373,0.19330751114596254,0.1922815207108958,0.3235656174585896,3.1121150143925025,1.5125891263428446,0.9524533993182134,1.2366786182583596,0.6356251446920999,0.7941684580341893
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,193,0.21092004034197556,0.26816758180254696,0.24716204136411782,0.2398876082315545,0.20958741229272257,0.2864024265811036,3.1387469516724957,1.6217543055248498,0.9628524504249193,1.296052590499727,0.6245138451347546,0.7973478926955437
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,181,0.21187807069276077,0.23108326256005168,0.24358965843482752,0.2171836262934444,0.20612727815112647,0.2356710268257706,3.2605660477536067,1.5542724120998999,1.0771280038235138,1.3198747843199847,0.6232447548082897,0.7770686160392907
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,197,0.2225325689944767,0.2760721238887993,0.23395323053312853,0.251268442112288,0.2229606806498685,0.2762394586650753,3.339748287672899,1.6797664484681867,1.0779657186902298,1.381787461986347,0.6156601296310522,0.7832568416558966
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,200,0.2010786931418116,0.20038392335083102,0.22098980077291255,0.20098788528757727,0.1953774989017166,0.19534909356847358,3.514591418195744,1.7130469541011237,1.1894702788074405,1.4575091310836832,0.5936011716163888,0.7617662621633131
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,168,0.22701077353608978,0.284438678013773,0.21945355864365618,0.23149707350790377,0.22446951319143205,0.2737844393139191,3.234160788472818,1.596889310938747,1.0218197325030152,1.3114129579286187,0.6334242168518962,0.7874576264090684
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,133,0.22682804295147135,0.2326527701203028,0.18223264377534376,0.20535909521219908,0.21964281532058244,0.22661040115407513,3.7790186040790714,2.1315939829510167,1.3457222201447097,1.7488300385846167,0.4773592573611104,0.6893469572176739
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,179,0.21428228309895464,0.2436818727917947,0.2322786352469468,0.2469458478098238,0.21594904707436705,0.24278419045078858,3.2204782573714548,1.6343026768310274,1.0419892353816909,1.3424523336321723,0.6144369354698123,0.7823455388016847
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,122,0.22343447495141483,0.233931528850493,0.2797037480477369,0.24843191602744136,0.21984773461904736,0.2376607735606652,3.4581368763154865,1.7266930915442145,1.1489547707432386,1.4438084929615866,0.5764546129362924,0.753542557786922
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,195,0.19899034360331525,0.28314813141750106,0.25399616522884705,0.1771908551688359,0.17637351810139998,0.30034581536102944,3.2061259169590715,1.5751944786856802,0.9968975156423997,1.2903005544345598,0.6437728604747325,0.792221676286386
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,167,0.2196375944467362,0.25622839464416797,0.24253634713634847,0.25251557598297436,0.2187474354559521,0.27640078454004857,3.103310514341812,1.5341954121827486,0.9689983512026314,1.253329412809744,0.6349224693908984,0.7947069195405561
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,195,0.22712171710532242,0.2226287307685207,0.24130161047171247,0.19885212468266483,0.2247657977822062,0.2235623669515771,3.265215416567666,1.6093811277254617,1.0542695049521875,1.336142102374106,0.6180432127057953,0.7822453817475815
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,135,0.23063536520384248,0.26606409057087477,0.25729575749967126,0.2423826423181748,0.22900775778227692,0.2769484091048182,3.218411601679666,1.6421369602796565,1.0089708856058364,1.3276380441699709,0.6142710786607801,0.7837463237253987
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,146,0.21386591840971692,0.2246486808549884,0.22833687549303497,0.23843421493475772,0.20487818408341335,0.21000182726468491,3.750817286364886,2.207317549389534,1.3592913109915596,1.7965044218770094,0.45791918969404277,0.6764333002165872
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,170,0.19656263726481327,0.21055576154283476,0.2125881095358495,0.18660980328380664,0.19168242543703967,0.2086062683437675,3.5506490696546984,1.7198083295965148,1.2100687780231238,1.4702588690303418,0.5955466657147116,0.7581122592413913
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,184,0.21942614905596342,0.2936578082082698,0.252726187665749,0.21167670547308762,0.1922619424339724,0.29752190525710176,3.2515130569059023,1.5712900062788326,1.033430561126799,1.3064986819065347,0.6313739551330763,0.7863427127435499
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,157,0.20425428965878759,0.2137245613784427,0.2302842614376828,0.22934981493728018,0.1973170535355951,0.21538610539362132,3.2504906716444055,1.5701451556680817,1.0642678471420493,1.3215134200909917,0.6273967150851172,0.7799559000116222
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,182,0.21776330073593572,0.2521120068639931,0.23865984830551465,0.22788549077311973,0.2153134056835872,0.24972704878513485,3.276886144000657,1.624928583938755,1.0419982274673423,1.3355768164560502,0.62575666346477,0.7852706562925358
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,194,0.2049199510741833,0.24277943325269735,0.22148839422522856,0.21372170464981383,0.2012692550371994,0.24795663028849227,3.131628206877076,1.5545463476983676,0.9808915728367105,1.2689827931377353,0.6354144978985494,0.7934314094125008
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,183,0.20770920292653744,0.2552806505802704,0.22496810664374808,0.16368747930984023,0.18291657824920132,0.2729679075260358,3.2981305010221442,1.647238898865934,1.0324901046272443,1.344008597283339,0.6224983981945077,0.7850863548906482
