configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,3,11,0.24322289204712913,0.31448572355299853,0.23000233424998576,0.2794211755248136,0.2443258016471475,0.31337077781241085,2.998810784631846,1.9230505822973238,1.0398987671860627,1.4823330791410134,0.5188771247328544,0.7317576297290471
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,3,10,0.22340445492679895,0.2862398834290529,0.2700281635921911,0.2763527920106358,0.2242319634314281,0.29365492720325387,2.456047342993775,1.895475324480479,1.005940178190567,1.450107166246492,0.5256335751596762,0.7438339241426818
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,4,160,0.20859544626193682,0.2775924572021654,0.23617601757316556,0.25589418776569495,0.19689807840943424,0.2904696387670642,3.356586692806409,1.5721622011894782,0.927604789388271,1.2521896815439877,0.6042978288786752,0.784326543318982
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,2,195,0.22168287177600102,0.2881598035045275,0.23903053034859775,0.23051222760223194,0.20565609428650325,0.2950307730208432,3.499019299339275,1.6020970191610922,1.0057878066681478,1.3077146295716569,0.6090051241954979,0.7788472657805803
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,1,13,0.2123753589266152,0.28194904743643684,0.24962107294569727,0.2784705966669331,0.21348740505586447,0.2883517996994911,2.3683079173199983,1.6898125828231907,1.0150610377070854,1.3532468821540171,0.5725110815641832,0.7527868278476657
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,1,149,0.25563551961656666,0.29976163829937486,0.2349843531177611,0.221766745739854,0.2380646686870432,0.3089650810141273,3.597660823753902,1.653784825742461,0.9040865131707824,1.283425883431824,0.5794115470574827,0.7690044092986048
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,4,167,0.22002002345597332,0.2390222020944645,0.22628898772684697,0.20986791647723405,0.20214897228029097,0.258820786422818,3.571735231933545,1.6555522268603797,0.8850853068255344,1.273618818597222,0.5740682049746416,0.7699690874200694
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0,162,0.21720075157900326,0.27901212941267045,0.23176046351770738,0.23080883407293723,0.2072510712465298,0.2873391873024377,3.3204886018998767,1.528179895878902,0.9292682633092817,1.2330949145412566,0.6205354987504531,0.7842121006256464
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,4,10,0.2375947900408815,0.2740999439695706,0.22510515458221186,0.2502918259137247,0.23765874574549797,0.28176556707868367,2.911949604259462,1.881281583694237,1.0095672368303854,1.444918162578831,0.5298455181328617,0.7312705025995264
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,0,15,0.1961554091048065,0.25423888192704364,0.21174885406506627,0.26195782812244217,0.1970207689448209,0.25750265779483195,2.3871649959622596,1.7021030238339414,1.023881994502581,1.363283000758716,0.5777377881200946,0.7571359640919433
