regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.001),correct,0.07890970162720037,0.2562709147182551,0.920595802735914,0.44864232441934176,0.6107323571970054,0.5481856788209349
lasso regression (beta = 0.002),correct,0.08561459605912261,0.26709854284727574,0.9138793010539323,0.4314910383941385,0.6001024479585108,0.5647348465490517
linear regression,correct,0.04301696384032272,0.18918717962093606,0.9566671307217944,0.47238662562896827,0.6321378619249807,0.5244721135630124
lasso regression (beta = 0.01),correct,0.11316348569601523,0.30698280523931576,0.885997494030509,0.4048796501755233,0.5815327135307845,0.5912976471946296
lasso regression (beta = 0.005),correct,0.09792269017506657,0.28577595430044433,0.901431893029139,0.413992591447005,0.5883690161501592,0.5819402538239449
lasso regression (beta = 0.05),correct,0.18983468677081516,0.3980968548776298,0.8086086844454758,0.4239667381614004,0.6006876464967809,0.5738590187497887
lasso regression (beta = 0.02),correct,0.13659003398148897,0.3366506396333668,0.8622987109279914,0.4097970301097825,0.5853501699305177,0.5869809688585335
lasso regression (beta = 0.1),correct,0.2703489482727264,0.4839537007780363,0.7279738377625047,0.45793099123808834,0.6323294931124291,0.539820006739097
lasso regression (beta = 1.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.5),correct,0.9480550416111763,0.968267566872643,0.05277647607886929,0.9728748116487033,0.9807390427187725,0.02760244456852229
lasso regression (beta = 0.2),correct,0.43485664773745814,0.6348310717315816,0.5639591984285093,0.5816676506267473,0.7352491166362631,0.41833705213142114
lasso regression (beta = 2.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 5.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 10.0),correct,0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
