regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
linear regression,0.1409896723946836,0.33828153559162544,0.8586611085335774,1.079102418631895,0.9361622074763378,-0.08856000640692858
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.05),0.5177223117498118,0.6893917866629121,0.4808948530970093,0.7536316979013633,0.836317595775179,0.24429213119660584
lasso regression (beta = 0.1),0.6838597874692406,0.8082585151999109,0.31387136408091126,0.8267845271572798,0.8901827599286989,0.17082741629577247
lasso regression (beta = 0.005),0.23094611703255374,0.43611373522553476,0.7685789167412961,0.8001896879851058,0.8261467787743186,0.19579733493548845
lasso regression (beta = 0.002),0.18983471968574187,0.3930671935371968,0.8096607719882437,0.8696524935501607,0.8555309824198215,0.12454927826598476
lasso regression (beta = 0.001),0.1697519922225287,0.3709860260322889,0.8297599751889324,0.9160197740363193,0.8755106748127233,0.07673882891911038
lasso regression (beta = 0.5),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.02),0.36096256526063336,0.5598313578644334,0.6383116259947095,0.7375977798061207,0.8101895798563531,0.26045439578545804
lasso regression (beta = 0.01),0.28255683993438596,0.48726657453753147,0.7169210723668704,0.7570721620415861,0.8102790129339642,0.239976428397215
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.2),0.8975562798147715,0.9384075239605014,0.10006993930036075,0.951810905452759,0.9669205053863212,0.04645345975844673
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
