regressor,train_mse,train_med,train_r2,test_mse,test_med,test_r2
lasso regression (beta = 0.05),0.6378056532855165,0.7694873325659939,0.3590873923553102,0.8315304361247351,0.8796619396964781,0.16310064285468162
lasso regression (beta = 0.5),0.9980533319225013,0.9928614838705057,0.0019233003697694151,1.0144079449668628,1.0009242274823937,-0.014529196451269178
lasso regression (beta = 0.002),0.4479692102718367,0.6266236315657583,0.5488243169933308,0.8662629235945634,0.8743207597954692,0.12464591480978113
lasso regression (beta = 0.01),0.5531966919917509,0.7044901942874432,0.44361750216398443,0.8518245722413195,0.8759860205890604,0.14061448140811292
linear regression,0.22061440170180985,0.4288077252377921,0.7772624464284834,0.970888260303167,0.9053824654468585,0.01679846203419918
lasso regression (beta = 10.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.2),0.8220424692829031,0.8948221732915533,0.17422150320654994,0.9014596984066902,0.9367450349132873,0.09474921062284898
lasso regression (beta = 5.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.001),0.38725850461096567,0.5789989156480186,0.6097713359983503,0.8579910407318918,0.866392896873012,0.13269412882944415
lasso regression (beta = 2.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.02),0.5845212200025081,0.7283140588018155,0.4125459099096334,0.8383711252483856,0.8738962133365924,0.15508992102829047
lasso regression (beta = 1.0),0.9983760754586812,0.993026813895985,0.0016349420509084722,1.0146153208755189,1.001029290604677,-0.01471447845288637
lasso regression (beta = 0.005),0.5179211754406053,0.6783805601117385,0.47870266120898347,0.8648792602445006,0.8784396193606405,0.12667123896633536
lasso regression (beta = 0.1),0.7058311393998498,0.8188029490896154,0.29068954046423173,0.8501048302635077,0.8987787851348846,0.14522451481018311
