aggregator,block_size,image_size,scoring,weights,kendall
max,1,283,Euclidean,fixed,0.11439114262455517
max,1,283,Euclidean,optimized,0.3417592842842104
max,1,283,InnerProduct,fixed,0.07365863941235207
max,1,283,InnerProduct,optimized,0.1325037615023168
max,1,283,Manhattan,fixed,0.0965909029806169
max,1,283,Manhattan,optimized,0.3374792073096098
max,2,142,Euclidean,fixed,0.10573248374510903
max,2,142,Euclidean,optimized,0.2829669599435709
max,2,142,InnerProduct,fixed,0.08201840880078327
max,2,142,InnerProduct,optimized,0.15663030098893788
max,2,142,Manhattan,fixed,0.09295151715132241
max,2,142,Manhattan,optimized,0.26607317014382215
mean,2,142,Euclidean,fixed,0.11769458935712651
mean,2,142,Euclidean,optimized,0.3222076289354915
mean,2,142,InnerProduct,fixed,0.07370562640657274
mean,2,142,InnerProduct,optimized,0.2120415143655711
mean,2,142,Manhattan,fixed,0.10375902998784002
mean,2,142,Manhattan,optimized,0.3109333909899583
median,2,142,Euclidean,fixed,0.11769458935712651
median,2,142,Euclidean,optimized,0.3222076289354915
median,2,142,InnerProduct,fixed,0.07370562640657274
median,2,142,InnerProduct,optimized,0.2120415143655711
median,2,142,Manhattan,fixed,0.10375902998784002
median,2,142,Manhattan,optimized,0.3109333909899583
min,2,142,Euclidean,fixed,0.12477265795876
min,2,142,Euclidean,optimized,0.3308526348030475
min,2,142,InnerProduct,fixed,0.06909045941867381
min,2,142,InnerProduct,optimized,0.24321163146084618
min,2,142,Manhattan,fixed,0.10583628049199023
min,2,142,Manhattan,optimized,0.3131189144160496
max,3,95,Euclidean,fixed,0.07512635437797853
max,3,95,Euclidean,optimized,0.20754662036477073
max,3,95,InnerProduct,fixed,0.0764295668770889
max,3,95,InnerProduct,optimized,0.19362481346926233
max,3,95,Manhattan,fixed,0.08001007254202411
max,3,95,Manhattan,optimized,0.19949432381340293
mean,3,95,Euclidean,fixed,0.12158406832317256
mean,3,95,Euclidean,optimized,0.30206390773224556
mean,3,95,InnerProduct,fixed,0.07370562640657274
mean,3,95,InnerProduct,optimized,0.23065122667481122
mean,3,95,Manhattan,fixed,0.11194651373079537
mean,3,95,Manhattan,optimized,0.29117046599753965
median,3,95,Euclidean,fixed,0.11447728544729312
median,3,95,Euclidean,optimized,0.2835100803159087
median,3,95,InnerProduct,fixed,0.07457488579965553
median,3,95,InnerProduct,optimized,0.1982128039295135
median,3,95,Manhattan,fixed,0.099574210729193
median,3,95,Manhattan,optimized,0.27843145691824733
min,3,95,Euclidean,fixed,0.13703887383892804
min,3,95,Euclidean,optimized,0.32619412127570646
min,3,95,InnerProduct,fixed,0.07044264069680257
min,3,95,InnerProduct,optimized,0.2549448956454804
min,3,95,Manhattan,fixed,0.11794998086044833
min,3,95,Manhattan,optimized,0.2983843575656197
max,4,71,Euclidean,fixed,0.053328297680706675
max,4,71,Euclidean,optimized,0.11401115975946641
max,4,71,InnerProduct,fixed,0.061419199630673035
max,4,71,InnerProduct,optimized,0.1409457750230178
max,4,71,Manhattan,fixed,0.06248622820091025
max,4,71,Manhattan,optimized,0.10597290167402089
mean,4,71,Euclidean,fixed,0.12272741851587604
mean,4,71,Euclidean,optimized,0.3116060157966901
mean,4,71,InnerProduct,fixed,0.07373956145795436
mean,4,71,InnerProduct,optimized,0.2644439829715305
mean,4,71,Manhattan,fixed,0.11881314085843574
mean,4,71,Manhattan,optimized,0.2904367817360091
median,4,71,Euclidean,fixed,0.10448471800969292
median,4,71,Euclidean,optimized,0.28710313664418463
median,4,71,InnerProduct,fixed,0.06954597222375773
median,4,71,InnerProduct,optimized,0.25269816186959526
median,4,71,Manhattan,fixed,0.09992903310581788
median,4,71,Manhattan,optimized,0.27582623119435024
min,4,71,Euclidean,fixed,0.1487856223941007
min,4,71,Euclidean,optimized,0.32139961873530287
min,4,71,InnerProduct,fixed,0.07535147639858084
min,4,71,InnerProduct,optimized,0.26201548884730574
min,4,71,Manhattan,fixed,0.1318437585290243
min,4,71,Manhattan,optimized,0.2843263033783981
max,5,57,Euclidean,fixed,0.06947415399966349
max,5,57,Euclidean,optimized,0.09645403636920294
max,5,57,InnerProduct,fixed,0.07999052494706453
max,5,57,InnerProduct,optimized,0.12834416364510468
max,5,57,Manhattan,fixed,0.08021920894294751
max,5,57,Manhattan,optimized,0.07812737511754449
mean,5,57,Euclidean,fixed,0.12763886460622212
mean,5,57,Euclidean,optimized,0.3003408855524907
mean,5,57,InnerProduct,fixed,0.0736808277151785
mean,5,57,InnerProduct,optimized,0.24962466447208334
mean,5,57,Manhattan,fixed,0.12646027416785313
mean,5,57,Manhattan,optimized,0.27963626693589794
median,5,57,Euclidean,fixed,0.08689722503403163
median,5,57,Euclidean,optimized,0.2633703898485954
median,5,57,InnerProduct,fixed,0.057023938263943676
median,5,57,InnerProduct,optimized,0.23305644487025132
median,5,57,Manhattan,fixed,0.07871082123795894
median,5,57,Manhattan,optimized,0.249663342369494
min,5,57,Euclidean,fixed,0.1663887777011689
min,5,57,Euclidean,optimized,0.3131859954688231
min,5,57,InnerProduct,fixed,0.08361074582715111
min,5,57,InnerProduct,optimized,0.2553127222034002
min,5,57,Manhattan,fixed,0.15101477216611345
min,5,57,Manhattan,optimized,0.2762957611065978
max,6,48,Euclidean,fixed,0.06097486706232908
max,6,48,Euclidean,optimized,0.08068050358516277
max,6,48,InnerProduct,fixed,0.07685129257620195
max,6,48,InnerProduct,optimized,0.130630675541052
max,6,48,Manhattan,fixed,0.07661011451215552
max,6,48,Manhattan,optimized,0.05291247853569063
mean,6,48,Euclidean,fixed,0.13149571371517046
mean,6,48,Euclidean,optimized,0.3026885605357032
mean,6,48,InnerProduct,fixed,0.07368865888088195
mean,6,48,InnerProduct,optimized,0.2304025416303733
mean,6,48,Manhattan,fixed,0.13328382988412452
mean,6,48,Manhattan,optimized,0.27084207655545317
median,6,48,Euclidean,fixed,0.09008973025247079
median,6,48,Euclidean,optimized,0.27329497860324153
median,6,48,InnerProduct,fixed,0.05934979447786786
median,6,48,InnerProduct,optimized,0.24876273543950242
median,6,48,Manhattan,fixed,0.08574484801994545
median,6,48,Manhattan,optimized,0.2674317378930091
min,6,48,Euclidean,fixed,0.17769828617123232
min,6,48,Euclidean,optimized,0.32409153806373825
min,6,48,InnerProduct,fixed,0.08801316614677303
min,6,48,InnerProduct,optimized,0.25304065908707846
min,6,48,Manhattan,fixed,0.16284404956028772
min,6,48,Manhattan,optimized,0.28130262782635607
max,7,41,Euclidean,fixed,0.040940308727522176
max,7,41,Euclidean,optimized,0.03477332259189571
max,7,41,InnerProduct,fixed,0.056723915757632457
max,7,41,InnerProduct,optimized,0.12457153819957711
max,7,41,Manhattan,fixed,0.05649346003193898
max,7,41,Manhattan,optimized,0.024068028947314208
mean,7,41,Euclidean,fixed,0.13424053729422913
mean,7,41,Euclidean,optimized,0.2835710707893623
mean,7,41,InnerProduct,fixed,0.07358424333816929
mean,7,41,InnerProduct,optimized,0.21606379512195764
mean,7,41,Manhattan,fixed,0.1391141327503419
mean,7,41,Manhattan,optimized,0.2505048560898504
median,7,41,Euclidean,fixed,0.08069102621404875
median,7,41,Euclidean,optimized,0.23022681460379424
median,7,41,InnerProduct,fixed,0.049927596942335485
median,7,41,InnerProduct,optimized,0.217775157495652
median,7,41,Manhattan,fixed,0.06904370186214052
median,7,41,Manhattan,optimized,0.22329077495354888
min,7,41,Euclidean,fixed,0.19041609927363257
min,7,41,Euclidean,optimized,0.3086593178888484
min,7,41,InnerProduct,fixed,0.09601531230141343
min,7,41,InnerProduct,optimized,0.23478510916362888
min,7,41,Manhattan,fixed,0.17743891996177896
min,7,41,Manhattan,optimized,0.2611362629381774
max,8,36,Euclidean,fixed,0.05371897604253117
max,8,36,Euclidean,optimized,0.05008658428004496
max,8,36,InnerProduct,fixed,0.05573069889812422
max,8,36,InnerProduct,optimized,0.11423820746907176
max,8,36,Manhattan,fixed,0.054909950080576045
max,8,36,Manhattan,optimized,0.043038290956133714
mean,8,36,Euclidean,fixed,0.13435017361407742
mean,8,36,Euclidean,optimized,0.27317942082450625
mean,8,36,InnerProduct,fixed,0.07370954198942448
mean,8,36,InnerProduct,optimized,0.1946133132628307
mean,8,36,Manhattan,fixed,0.14235040744024946
mean,8,36,Manhattan,optimized,0.2547307796174236
median,8,36,Euclidean,fixed,0.07607716442043372
median,8,36,Euclidean,optimized,0.2064838248067245
median,8,36,InnerProduct,fixed,0.04932068160031824
median,8,36,InnerProduct,optimized,0.19404125843412284
median,8,36,Manhattan,fixed,0.06991700467553526
median,8,36,Manhattan,optimized,0.2052242744790164
min,8,36,Euclidean,fixed,0.19893118678184885
min,8,36,Euclidean,optimized,0.32283054265610367
min,8,36,InnerProduct,fixed,0.1031886600857722
min,8,36,InnerProduct,optimized,0.22950863741864955
min,8,36,Manhattan,fixed,0.1884704949921852
min,8,36,Manhattan,optimized,0.2715666662840303
max,9,32,Euclidean,fixed,0.047452567612844124
max,9,32,Euclidean,optimized,0.06805610171001054
max,9,32,InnerProduct,fixed,0.05263999725384146
max,9,32,InnerProduct,optimized,0.1323688655214342
max,9,32,Manhattan,fixed,0.05220941629856884
max,9,32,Manhattan,optimized,0.06223815674950293
mean,9,32,Euclidean,fixed,0.13812349028885568
mean,9,32,Euclidean,optimized,0.24997751656878536
mean,9,32,InnerProduct,fixed,0.07349679532114746
mean,9,32,InnerProduct,optimized,0.17423496608000685
mean,9,32,Manhattan,fixed,0.14589722744381214
mean,9,32,Manhattan,optimized,0.23150396770465909
median,9,32,Euclidean,fixed,0.06965952412645773
median,9,32,Euclidean,optimized,0.16316095773490852
median,9,32,InnerProduct,fixed,0.04472509252667791
median,9,32,InnerProduct,optimized,0.15605242237514333
median,9,32,Manhattan,fixed,0.06155414196617419
median,9,32,Manhattan,optimized,0.16697106021203054
min,9,32,Euclidean,fixed,0.20440908719141102
min,9,32,Euclidean,optimized,0.32028835651659787
min,9,32,InnerProduct,fixed,0.10900330062058267
min,9,32,InnerProduct,optimized,0.24710011143755017
min,9,32,Manhattan,fixed,0.1939315116818151
min,9,32,Manhattan,optimized,0.2729763713819322
max,10,29,Euclidean,fixed,0.04588534065292038
max,10,29,Euclidean,optimized,0.07266810395969922
max,10,29,InnerProduct,fixed,0.05445203185422258
max,10,29,InnerProduct,optimized,0.12787422216579347
max,10,29,Manhattan,fixed,0.05402645080556535
max,10,29,Manhattan,optimized,0.06809528146630202
mean,10,29,Euclidean,fixed,0.1393138274757798
mean,10,29,Euclidean,optimized,0.2639364806003254
mean,10,29,InnerProduct,fixed,0.07363514591524171
mean,10,29,InnerProduct,optimized,0.1737123166737811
mean,10,29,Manhattan,fixed,0.15091308907687087
mean,10,29,Manhattan,optimized,0.22984749114420647
median,10,29,Euclidean,fixed,0.08076479548523045
median,10,29,Euclidean,optimized,0.157046820152784
median,10,29,InnerProduct,fixed,0.05091301862668609
median,10,29,InnerProduct,optimized,0.15095308143326294
median,10,29,Manhattan,fixed,0.07047662091385108
median,10,29,Manhattan,optimized,0.1348955788134771
min,10,29,Euclidean,fixed,0.21325699924202385
min,10,29,Euclidean,optimized,0.3015031591404046
min,10,29,InnerProduct,fixed,0.11957537432023804
min,10,29,InnerProduct,optimized,0.22739301837658168
min,10,29,Manhattan,fixed,0.20279200145039794
min,10,29,Manhattan,optimized,0.2589949101338932
max,11,26,Euclidean,fixed,0.05626994844043977
max,11,26,Euclidean,optimized,0.07271866075125555
max,11,26,InnerProduct,fixed,0.05805712761583
max,11,26,InnerProduct,optimized,0.09791613317622863
max,11,26,Manhattan,fixed,0.05761213562308633
max,11,26,Manhattan,optimized,0.06739658090765979
mean,11,26,Euclidean,fixed,0.1386977757737752
mean,11,26,Euclidean,optimized,0.2578650693057928
mean,11,26,InnerProduct,fixed,0.07342109405268078
mean,11,26,InnerProduct,optimized,0.16710835818541897
mean,11,26,Manhattan,fixed,0.15245974430330192
mean,11,26,Manhattan,optimized,0.23961624588622582
median,11,26,Euclidean,fixed,0.06943048470389349
median,11,26,Euclidean,optimized,0.15356199987004568
median,11,26,InnerProduct,fixed,0.04204880507680132
median,11,26,InnerProduct,optimized,0.14881991069016937
median,11,26,Manhattan,fixed,0.059343566136729774
median,11,26,Manhattan,optimized,0.12650516366086142
min,11,26,Euclidean,fixed,0.21724828336221472
min,11,26,Euclidean,optimized,0.2966738267795875
min,11,26,InnerProduct,fixed,0.12703194926420486
min,11,26,InnerProduct,optimized,0.21359766528768334
min,11,26,Manhattan,fixed,0.20980419510016815
min,11,26,Manhattan,optimized,0.259147727915341
max,12,24,Euclidean,fixed,0.0737171474438212
