configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_8,104.8,0.2602016958824889,0.4045664534428385,0.2960461273612399,0.3301728180790633,0.2525181358429763,0.40108975456320406,3.267784255848947,0.5375836651326813,1.6015630190243528,0.9921609599623524,1.3051107640070991,0.7063491924162614,0.44876295108615816,0.61038668035943,0.7813483350172394
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_6,25.6,0.2663665037201301,0.4200569557011444,0.2894571235235917,0.35012064846248725,0.26772758553184506,0.41439519159908134,3.3282826838284243,0.4560064639675339,1.720492660580014,1.0281118202742983,1.3821785234782051,0.6402849227555275,0.5272691459677095,0.5633226273125312,0.7533872999616334
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_10,145.6,0.2742562882765692,0.40367478504120535,0.30894742872268566,0.3406426492630999,0.2601343466098724,0.4034430475949791,3.2223036835443777,0.5894771386208987,1.6074983674155288,0.9798452507769232,1.3023852744259061,0.739874467370233,0.3978337877293625,0.6096642766166952,0.7843335176305694
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_1,24.0,0.25113512636110713,0.3254466196589664,0.24996800001277997,0.2746541716353593,0.25078663303187054,0.332527550337232,4.17645671657187,0.6355979336142059,2.430989468710871,1.4145909853189693,1.9350052718237774,0.5766298681047239,-130.41238178876782,0.4421038495764381,0.6566520824752381
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_7,95.2,0.2654653808942689,0.41262984569859196,0.28568138755799033,0.320217418048621,0.25972007027017313,0.4144338747098722,3.3141655373737455,0.5130410711679947,1.6457940092322147,1.018779758495532,1.3412391166392408,0.6839241812980438,0.4691084256957209,0.5996481605617726,0.7759973887507055
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_9,135.6,0.28412139045273366,0.43010370281189847,0.2980655613649659,0.33040791132873765,0.2756779322249006,0.42709364827879764,3.2858609351607617,0.5442095193445093,1.6173394813600257,1.0007661579219043,1.3172703305591325,0.7132370031946772,0.43966252571200715,0.6127534224943232,0.7852028738617897
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_5,75.4,0.27562467931166895,0.4241311420045343,0.3015035067927155,0.3343413417850022,0.273531630986711,0.4182572391810508,3.286803444304623,0.4498726899557347,1.6418562699474155,1.0071878740346087,1.3327104411229491,0.6331692636302038,0.5322601260423111,0.5964083665870298,0.77248310753068
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_2,19.0,0.2719256901916073,0.3783329253414008,0.2716145261103714,0.32259937666446,0.2715871165226786,0.3857515194442588,3.5457312507639167,0.41784753716624545,1.9789146585514827,1.144208856004672,1.5708114857890079,0.5537104767172225,0.4525408693251305,0.5089725554962184,0.7140138454688378
c1.0_r0.0_m0.0625_b512_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_3,55.2,0.26441285272686676,0.39479574582902044,0.27768248673816476,0.3428160105596441,0.2619901062185187,0.39803783624663996,3.6111007809834406,0.455321102445167,1.9546526794886538,1.1703089731397198,1.5719148174021575,0.606405522004897,0.5266164689711301,0.5252994168648955,0.723252652784498
