scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
Euclidean,fixed,0.2224536551852896,0.21746499745945538,0.14519876595348422,0.049485628705295714,0.07790642308784934
Euclidean,optimized,0.5417157639811812,0.5144728746099052,0.3593891798685579,0.29378569303306545,0.3562098179577625
Manhattan,fixed,0.2579571124703422,0.24788100559537593,0.1659992646529447,0.06654187187403682,0.0954633666097906
Manhattan,optimized,0.5294213733333631,0.5027579211244572,0.34882076371480475,0.280780754404833,0.3425863720376762
inner product,fixed,0.15246894234558353,0.09695972890513242,0.06394555622055886,0.02324677837998068,0.05049174155452085
inner product,optimized,0.5235954277660506,0.46244043065417717,0.3202951432107002,0.2745882610056315,0.3391974913071617
