n_dims,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
4,inner product,optimized,"0,6800070746","0,666173952","0,4803941505","0,4633347543","0,5589337766"
5,Euclidean,fixed,"0,8110235174","0,7788976054","0,5844868249","0,6577591458","0,703426941"
5,Euclidean,optimized,"0,8099162032","0,7769189556","0,5830351588","0,6561338803","0,7206767927"
5,Manhattan,fixed,"0,7567055802","0,7215459614","0,530369881","0,5726033351","0,6355955321"
5,Manhattan,optimized,"0,7548568502","0,7183982673","0,5286890612","0,5700059261","0,6587388481"
5,inner product,fixed,"0,7345769451","0,7256098428","0,5323738111","0,5396032883","0,6044332264"
5,inner product,optimized,"0,7274897001","0,7167908316","0,5241792989","0,5296097885","0,6201792384"
6,Euclidean,fixed,"0,83829849","0,7944124217","0,6038210573","0,7027443583","0,7413770177"
6,Euclidean,optimized,"0,8374810642","0,7928642875","0,6040226135","0,7014449374","0,7600888955"
6,Manhattan,fixed,"0,7803767029","0,7337084365","0,5422743088","0,6089877984","0,6726688143"
6,Manhattan,optimized,"0,7812497548","0,7344056876","0,5441888857","0,6105548784","0,6977660001"
6,inner product,fixed,"0,7627409337","0,7419609799","0,5500792964","0,5817737319","0,653272827"
6,inner product,optimized,"0,7497861237","0,729605592","0,5389884145","0,5626884609","0,6498633219"
7,Euclidean,fixed,"0,8548071374","0,8129068785","0,6224216643","0,7306952422","0,7627459097"
7,Euclidean,optimized,"0,8540877277","0,8098710546","0,621037721","0,729702872","0,7803668251"
7,Manhattan,fixed,"0,7982021425","0,7496203553","0,5590098329","0,6371266603","0,6933215824"
7,Manhattan,optimized,"0,7992842836","0,7489946677","0,5598401328","0,638984298","0,7157113831"
7,inner product,fixed,"0,7833809094","0,7619515744","0,5680614915","0,6136856492","0,6819228129"
7,inner product,optimized,"0,7722453736","0,7518961986","0,55985838","0,5966239131","0,682892109"
8,Euclidean,fixed,"0,8655246968","0,822071023","0,6325860702","0,7491330007","0,780310104"
8,Euclidean,optimized,"0,8647367858","0,819220177","0,6304590741","0,747916558","0,7961519142"
8,Manhattan,fixed,"0,7936883839","0,7450570727","0,5541423015","0,6299412507","0,6938338019"
8,Manhattan,optimized,"0,7957180048","0,7473803017","0,5575643338","0,6332778163","0,7150420259"
8,inner product,fixed,"0,7971854616","0,771293207","0,5779619892","0,6355046602","0,703683303"
8,inner product,optimized,"0,779705497","0,7554639036","0,5620213111","0,6080225034","0,7006423959"
9,Euclidean,fixed,"0,8774454338","0,8417486354","0,6541822326","0,7699104893","0,7976813013"
9,Euclidean,optimized,"0,8768183057","0,8404419289","0,6544339432","0,7689022866","0,8152119603"
9,Manhattan,fixed,"0,8175907919","0,774032703","0,5816704908","0,6684547029","0,7207512363"
9,Manhattan,optimized,"0,8194962465","0,775716706","0,5848465825","0,6717838147","0,7433347459"
9,inner product,fixed,"0,8130500672","0,790620518","0,5963193673","0,6610504118","0,7262064555"
9,inner product,optimized,"0,7935235619","0,7673946213","0,5733590467","0,6297913389","0,7155682804"
10,Euclidean,fixed,"0,8900191945","0,8544904457","0,6680836973","0,7921341666","0,8143935292"
10,Euclidean,optimized,"0,8900786201","0,8535923346","0,6686855362","0,7922906304","0,8295887196"
10,Manhattan,fixed,"0,8150031736","0,7594712618","0,569596689","0,664230173","0,7117389692"
10,Manhattan,optimized,"0,8206413705","0,766787442","0,5776273319","0,6734904413","0,7390913167"
10,inner product,fixed,"0,8286272444","0,80343223","0,6095945423","0,6866231101","0,7425151879"
10,inner product,optimized,"0,809437487","0,7849991754","0,5921824783","0,6554314385","0,7306949394"
