n_dims,data_source,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
1,MDS,Euclidean,fixed,0.1533996410842435,0.15780350986682412,0.10631593862788306,0.023531449884774847,0.03202452200211692
1,MDS,Euclidean,optimized,0.1561876105097047,0.16058814731964843,0.10854557904820786,0.028002102659738837,0.057403700115925015
1,MDS,InnerProduct,fixed,0.10525496256548654,0.12375704431323276,0.08234956714164991,0.011078607144661912,0.028750024187447654
1,MDS,InnerProduct,optimized,0.10821961012542843,0.12385428925561788,0.0829731733672748,0.016666243674198843,0.0467917704926907
1,MDS,Manhattan,fixed,0.1533996410842435,0.15780350986682412,0.10631593862788306,0.023531449884774847,0.03202452200211692
1,MDS,Manhattan,optimized,0.1561876105097047,0.16058814731964843,0.10854557904820786,0.028002102659738883,0.057403700115925015
2,MDS,Euclidean,fixed,0.6614795465171471,0.6632249907812277,0.47862187030441933,0.4375551904605307,0.4946257395532462
2,MDS,Euclidean,optimized,0.6616561517576213,0.6626042571631666,0.47890051546232754,0.43825755717554155,0.532257339223362
2,MDS,InnerProduct,fixed,0.5717231186847791,0.5659865557152007,0.39773118143365666,0.32686732443864985,0.3531140633405252
2,MDS,InnerProduct,optimized,0.5710756481686952,0.5626519871131436,0.3962176653798108,0.3270164247268533,0.38904620288100933
2,MDS,Manhattan,fixed,0.6386314192512119,0.6418204606041745,0.46204688612920863,0.40785008965481717,0.47997296009420287
2,MDS,Manhattan,optimized,0.6386993525045062,0.6411551992152951,0.4618539746559189,0.4084223648069399,0.5183559001751351
3,MDS,Euclidean,fixed,0.7293747350671276,0.7132023850687593,0.5212311600656695,0.5319875041542426,0.581539304388857
3,MDS,Euclidean,optimized,0.7277082912186368,0.7093178925442272,0.5177394531996199,0.5301742896618897,0.6067870056493729
3,MDS,InnerProduct,fixed,0.6402270526719044,0.6365762296898071,0.4540006530199141,0.4098906789729533,0.4561532466189413
3,MDS,InnerProduct,optimized,0.6316088515798614,0.6229735744671699,0.44373386659393754,0.3998737448385675,0.47837821650232115
3,MDS,Manhattan,fixed,0.6846389786242758,0.6680793571165006,0.48212061785518706,0.4687305310516916,0.5377483953517175
3,MDS,Manhattan,optimized,0.6837318495719253,0.6662563762823573,0.4816847492758548,0.4684369625754255,0.5693545644480908
4,MDS,Euclidean,fixed,0.7740436475418891,0.7399951872435344,0.5466913677563819,0.599143568299952,0.6423576087770504
4,MDS,Euclidean,optimized,0.7709033485719097,0.7350548681571654,0.5433020119403162,0.5948728798477927,0.6614202107486888
4,MDS,InnerProduct,fixed,0.6936219283585101,0.6830216044507907,0.4943401389239958,0.4811113794997781,0.5475321687065744
4,MDS,InnerProduct,optimized,0.6918974754411865,0.6806701071557446,0.49289684931228706,0.4792021744838708,0.5730434766117302
4,MDS,Manhattan,fixed,0.7459741746298428,0.70891346828085,0.516658071513526,0.5564774692146752,0.6185812708211562
4,MDS,Manhattan,optimized,0.7472234605621029,0.7098085317083717,0.5187762069777058,0.5586013896118832,0.6467419979956329
5,MDS,Euclidean,fixed,0.8151388008096113,0.7841640214645416,0.5897103054154985,0.6644512645853312,0.7091364176512137
5,MDS,Euclidean,optimized,0.81422730851687,0.7824415306119539,0.5886606240117255,0.663200994341434,0.725144456775579
5,MDS,InnerProduct,fixed,0.7401020714611041,0.7304897901927275,0.5360247667234754,0.5477510761810171,0.6120555443208204
5,MDS,InnerProduct,optimized,0.7273625741653788,0.7176972216044388,0.524064358105597,0.5293012113599935,0.6115846888443129
5,MDS,Manhattan,fixed,0.7568775088518914,0.7200722837979392,0.5294733545491838,0.572863563405845,0.6364929354165748
5,MDS,Manhattan,optimized,0.7570907696121736,0.7201858535204873,0.5308338023748631,0.5736300088902139,0.662114952966969
6,MDS,Euclidean,fixed,0.8420733422993743,0.801186671342916,0.6099455329473666,0.7090875138112394,0.7485040973240824
6,MDS,Euclidean,optimized,0.8416103725137909,0.8001700812181343,0.610494400359156,0.7083732605757825,0.7673131905972193
6,MDS,InnerProduct,fixed,0.766706173672358,0.7486287198390942,0.5558483768964296,0.5878383567473082,0.6593332948738628
6,MDS,InnerProduct,optimized,0.7593610674115272,0.7360633180815385,0.5448955345153864,0.5766988961373419,0.6697805327645934
6,MDS,Manhattan,fixed,0.7781885792482229,0.7287099523360655,0.5393876214619703,0.6055774648723676,0.6751174828746931
6,MDS,Manhattan,optimized,0.7794316882567809,0.7301539316482335,0.5422155645720704,0.607732135505647,0.6970808121608737
7,MDS,Euclidean,fixed,0.8567996966238617,0.8169254552280631,0.627740598241463,0.7341057201347413,0.7692213487862722
7,MDS,Euclidean,optimized,0.8562168469072772,0.8139928084652193,0.6267397102129612,0.7332837939716087,0.7862571498545047
7,MDS,InnerProduct,fixed,0.7847073203393662,0.764182992208542,0.5711599518097109,0.6157655785941888,0.6904994389470547
7,MDS,InnerProduct,optimized,0.780139226874433,0.7581795891767202,0.5658048963004845,0.6089074059762416,0.6984002855590214
7,MDS,Manhattan,fixed,0.7908421546147361,0.7365422353980563,0.5468597566759376,0.6254313135156782,0.689424708850603
7,MDS,Manhattan,optimized,0.7983953517451117,0.7451631195558497,0.5559372023869183,0.6377725853366976,0.7196594067602331
8,MDS,Euclidean,fixed,0.8683540947971539,0.8298229205307097,0.6405785300791663,0.7540388339509846,0.7866471038696208
8,MDS,Euclidean,optimized,0.867554305444061,0.8278530838851392,0.6398463340191746,0.7527164629088638,0.802117645890073
8,MDS,InnerProduct,fixed,0.7998934923239271,0.7782916655091262,0.5844400276525632,0.6398295990621683,0.7101147423498138
8,MDS,InnerProduct,optimized,0.7893894700083297,0.7680999679749378,0.5747826709760162,0.6232364642496022,0.7132539137874057
8,MDS,Manhattan,fixed,0.8097572034943321,0.7679305838279676,0.5750466831868233,0.655706728610961,0.7100770147987718
8,MDS,Manhattan,optimized,0.8091147957798048,0.7654697527361927,0.5732023717895663,0.6547610306571515,0.7285094101165074
9,MDS,Euclidean,fixed,0.8797641311385871,0.8401481129510349,0.6536587056257039,0.7739849264380332,0.8039676184935245
9,MDS,Euclidean,optimized,0.8801434289776658,0.8399409578028031,0.6550985373943357,0.774696483205902,0.8211457342606187
9,MDS,InnerProduct,fixed,0.8139793532935469,0.7877160499313672,0.5944419355819605,0.662562387588181,0.7295616438883714
9,MDS,InnerProduct,optimized,0.7987212165908419,0.773853470502127,0.5819275429569354,0.6380967114928826,0.7257359080756806
9,MDS,Manhattan,fixed,0.8051615189188669,0.7539234241913765,0.5640285333569498,0.6482850715477368,0.7035602845609548
9,MDS,Manhattan,optimized,0.8116256994507843,0.7603167307166407,0.5706868626463237,0.6589035655722887,0.7339150605419172
10,MDS,Euclidean,fixed,0.8914165501822742,0.8541465774420813,0.6684985946181246,0.7946234659388667,0.8171568311216802
10,MDS,Euclidean,optimized,0.8905275293040992,0.851348114917808,0.6662660017090041,0.7930778133861626,0.8302433488394698
10,MDS,InnerProduct,fixed,0.830480309500209,0.8028250106078297,0.6096412512155379,0.6896975444675632,0.7439048477074914
10,MDS,InnerProduct,optimized,0.8162277681326586,0.7875769490695671,0.5943225338818339,0.6663657259340514,0.7394390163226581
10,MDS,Manhattan,fixed,0.8245697841703865,0.7751490199310921,0.5849304234533745,0.6799153289667976,0.7256769573554738
10,MDS,Manhattan,optimized,0.8269184828508769,0.7765943468263933,0.5870294877010663,0.6838472859697067,0.7496755962139467
1,normal,Euclidean,fixed,-0.002887025351713775,-0.0022954375575787336,-0.0015121324976099058,0.0008690086077642423,0.0036259444868495163
1,normal,Euclidean,optimized,-0.002941946217497384,-0.0022812046282895985,-0.0014868858194104042,0.0028473263180312414,0.013876926218379533
1,normal,InnerProduct,fixed,-0.0020553268531899645,-0.0019028426852083593,-0.0012410657263462281,0.000445885804113344,0.003756450088836272
1,normal,InnerProduct,optimized,-0.0035481145628610926,-0.0033807336719254627,-0.002321820068613312,0.0022644111603296016,0.013400648430830872
1,normal,Manhattan,fixed,-0.002887025351713775,-0.0022954375575787336,-0.0015121324976099058,0.0008690086077642423,0.0036259444868495163
1,normal,Manhattan,optimized,-0.002941946217497384,-0.0022812046282895985,-0.0014868858194104042,0.0028473263180312396,0.013876926218379533
2,normal,Euclidean,fixed,-0.0012505581790719011,-0.0014752626743220348,-0.0009943907301550288,0.0008569421792232279,0.0034458326638210066
2,normal,Euclidean,optimized,-0.0012247965320072531,-0.0014865244358763727,-0.0010311585883909867,0.0028911722576840404,0.01319075088656973
