aggregator,block_size,image_size,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
max,3,100,Manhattan,optimized,0.3163260571715289,0.305810741795654,0.20708998624909647,0.10117669839400298,0.15581445335610933
mean,3,100,Euclidean,fixed,0.18561497333724003,0.1830354594556305,0.12372400482615856,0.03445291832698427,0.04808597859414654
mean,3,100,Euclidean,optimized,0.3360831905595003,0.3315241336151165,0.22487576329102382,0.11338414271221442,0.17623691703774602
mean,3,100,InnerProduct,fixed,0.09096845015294205,0.09987297702416388,0.06738954102533577,0.008275258923228335,0.02482402193210842
mean,3,100,InnerProduct,optimized,0.24595895396952666,0.25479198814160897,0.1713247397863653,0.060888135642365504,0.11554975127509023
mean,3,100,Manhattan,fixed,0.21218153001265094,0.2188501590865089,0.1480537418756434,0.04502100167850953,0.07532872976927563
mean,3,100,Manhattan,optimized,0.321051708446756,0.30933196778294325,0.2094722832137636,0.10363923566328634,0.16012493221204283
median,3,100,Euclidean,fixed,0.1836204289839887,0.182228356040178,0.12314399854768904,0.03371646194026412,0.04666439395685951
median,3,100,Euclidean,optimized,0.3622087546170313,0.3470695303357732,0.23635852289509965,0.13179843090009508,0.18911677868993693
median,3,100,InnerProduct,fixed,0.09081581103763016,0.09971539966277422,0.0673353808465313,0.00824751153442238,0.0246976754762378
median,3,100,InnerProduct,optimized,0.2716876376518509,0.2785798670434854,0.1882641680117485,0.07434005143699796,0.1232896209717546
median,3,100,Manhattan,fixed,0.2120964614663702,0.21955940000822988,0.14845748139036752,0.04498490896655549,0.07318477700753379
median,3,100,Manhattan,optimized,0.3360533520823773,0.3222386399909064,0.21894035447330876,0.11360568585091342,0.16682705137182768
min,3,100,Euclidean,fixed,0.19390706624330298,0.19398055702406627,0.13104055261737857,0.0375999503390847,0.05238821629724133
min,3,100,Euclidean,optimized,0.35340442114854986,0.3412669612371455,0.2311758615816805,0.1250713027954503,0.17231153631120144
min,3,100,InnerProduct,fixed,0.10003694705085346,0.11275366861922728,0.0759960858026255,0.010007390775255365,0.029974225034835822
min,3,100,InnerProduct,optimized,0.2748950354083523,0.27619451735248435,0.18598350762684085,0.07628653568210342,0.12898702069209747
min,3,100,Manhattan,fixed,0.2225859233014127,0.23423820579214302,0.1583059272385694,0.049544493251942434,0.08376890498867795
min,3,100,Manhattan,optimized,0.34575674340738455,0.32720473911711745,0.22203381255228577,0.12037916554523247,0.17634678667182052
max,4,75,Euclidean,fixed,0.16593568160159033,0.1610712032664652,0.10854635326410288,0.027534650428584495,0.03911969732189957
max,4,75,Euclidean,optimized,0.29397897501641757,0.29549833015015936,0.20015543765031357,0.08724538600949798,0.1358224076184223
max,4,75,InnerProduct,fixed,0.0780676887665634,0.08148299833006516,0.054926312673097125,0.0060945640293528225,0.01779418490045792
max,4,75,InnerProduct,optimized,0.22461446655275008,0.2267043508396578,0.15184271620091727,0.050852289539487616,0.09653020087120068
max,4,75,Manhattan,fixed,0.19173618775295065,0.19136072012419403,0.1293588239482709,0.036762765694034805,0.05499524326353922
max,4,75,Manhattan,optimized,0.30398525047470437,0.2919266358748289,0.19725891870251452,0.09352374832781059,0.15258750566991103
mean,4,75,Euclidean,fixed,0.18652261726206446,0.18350570250495812,0.12404798116846157,0.034790686750290734,0.04925890554318868
mean,4,75,Euclidean,optimized,0.31701927603698843,0.30824253321173806,0.20832254460288402,0.10117932498813043,0.15729453970813229
mean,4,75,InnerProduct,fixed,0.09093624706451658,0.0998306319436302,0.06736590749276654,0.008269401030178813,0.024875857378923283
mean,4,75,InnerProduct,optimized,0.2289095250063072,0.2339141156317393,0.15734142767542636,0.0532245785943942,0.10457783836414516
mean,4,75,Manhattan,fixed,0.21236390860977042,0.21893311893958448,0.1481074461487414,0.04509842968001887,0.07401481738872306
mean,4,75,Manhattan,optimized,0.31445597662295127,0.29711843458684145,0.20128465399956644,0.09971774061766012,0.15695604015828582
median,4,75,Euclidean,fixed,0.18410132473715168,0.18231525550342723,0.12326118148001142,0.033893297769974184,0.04711617856232497
median,4,75,Euclidean,optimized,0.3214499705684677,0.31135009782937895,0.21051071894269988,0.10414464598908488,0.15780429474404548
median,4,75,InnerProduct,fixed,0.09089382029306727,0.09979768353714295,0.06740628144423896,0.008261686567468507,0.02493761674212369
median,4,75,InnerProduct,optimized,0.23602268444777633,0.2404933838788094,0.16121688895604783,0.05651833385101797,0.11137772237090877
median,4,75,Manhattan,fixed,0.21204815785144931,0.21918490754428355,0.14828712300976443,0.04496442124819322,0.07315856039250546
median,4,75,Manhattan,optimized,0.315603134313434,0.3004816757476703,0.20394872457638216,0.10050879218932182,0.1538115629358377
min,4,75,Euclidean,fixed,0.19777074071396292,0.19741101528813199,0.1332552115652189,0.03911326588254971,0.054980748194180196
min,4,75,Euclidean,optimized,0.3380545206440648,0.32475416730862533,0.21951437468391483,0.11447488495384368,0.16548402028300874
min,4,75,InnerProduct,fixed,0.10297663363470878,0.11662574053981214,0.07871788097018029,0.010604187074736982,0.030812722709726126
min,4,75,InnerProduct,optimized,0.2717517705162823,0.27905074218470854,0.18730190260123575,0.0745395705919614,0.1263699518240426
min,4,75,Manhattan,fixed,0.225863069769069,0.23792019810338977,0.1606613258706852,0.051014126285507166,0.08459932404293768
min,4,75,Manhattan,optimized,0.34038071298037603,0.32170830134830186,0.2178596774743128,0.116763095698074,0.18229801755300218
max,5,60,Euclidean,fixed,0.1614360395353019,0.153983877567899,0.10401166920238443,0.026061594860843584,0.037733288347769456
max,5,60,Euclidean,optimized,0.27123274667062736,0.2803289676258801,0.19083871607947453,0.07457202520720499,0.12304563721955575
max,5,60,InnerProduct,fixed,0.07593666158450416,0.07756370062326132,0.05221090473275636,0.005766376572599485,0.017412428681518488
max,5,60,InnerProduct,optimized,0.19994516989353872,0.21276935377886871,0.1425543999923147,0.04039306704176351,0.07468063683980823
max,5,60,Manhattan,fixed,0.18638247906179603,0.18277776433364615,0.12352730199098778,0.034738428501220775,0.0530504172827565
max,5,60,Manhattan,optimized,0.2760312923280322,0.27174468009802394,0.18405068144310627,0.07817273772505748,0.12250970885368573
mean,5,60,Euclidean,fixed,0.18783622280414636,0.18389930393159468,0.12430007218253324,0.03528244659732904,0.04935762491896445
mean,5,60,Euclidean,optimized,0.29996950207438866,0.2923659356335634,0.1978691511474347,0.09062997278775506,0.1420277701910891
mean,5,60,InnerProduct,fixed,0.09087854575152575,0.09978196798058823,0.06733242665496016,0.00825891007791224,0.024778676007049416
mean,5,60,InnerProduct,optimized,0.22764967332578845,0.23625722278525493,0.15966680950734174,0.05232435308999099,0.10139693252371303
mean,5,60,Manhattan,fixed,0.21237518753383908,0.21848131033880913,0.14784202481304418,0.04510322028003333,0.07495552164726305
mean,5,60,Manhattan,optimized,0.3021534706572796,0.2902326230522106,0.1962397860475375,0.09230327857212846,0.14941145087908364
median,5,60,Euclidean,fixed,0.18347379048614815,0.18196867845495188,0.12292243417985263,0.033662631795355114,0.04720043518966588
median,5,60,Euclidean,optimized,0.3002249791314748,0.2951650390631529,0.19939165658546792,0.0909492075854508,0.14319676988121338
median,5,60,InnerProduct,fixed,0.09068463837072947,0.09930920001448129,0.0670114045042283,0.008223703636429991,0.024726864079136157
median,5,60,InnerProduct,optimized,0.23668407133887298,0.24644627663280327,0.16589430328748994,0.056681878598268634,0.11242818675818059
median,5,60,Manhattan,fixed,0.21220234820681716,0.21940454413718483,0.14836112388710984,0.045029836584487226,0.0739266727886464
median,5,60,Manhattan,optimized,0.3058420024232735,0.2941884222309167,0.19915738864523083,0.09436474707983486,0.15657939780937064
min,5,60,Euclidean,fixed,0.2000200216049592,0.199189152780304,0.13437288070963813,0.04000800904284829,0.05882218307599629
min,5,60,Euclidean,optimized,0.3275765634305805,0.31352502273213706,0.21257754000556117,0.10748484816921515,0.15241567514425877
min,5,60,InnerProduct,fixed,0.10560393773217239,0.11991052838762498,0.08097882225263535,0.011152191664540512,0.03123323736652306
min,5,60,InnerProduct,optimized,0.25217712540703974,0.2555814694516625,0.171859208070074,0.0642144256943008,0.10859870116398485
min,5,60,Manhattan,fixed,0.2276737963149756,0.2405904436764267,0.16265064266674611,0.0518353575284729,0.08456830089288825
min,5,60,Manhattan,optimized,0.34128064091117677,0.32218467922231725,0.2182938952461418,0.11702226838488845,0.178771175737323
max,6,50,Euclidean,fixed,0.15644514214407643,0.14717321698920113,0.09941494711767179,0.02447508250048025,0.03622045649193606
max,6,50,Euclidean,optimized,0.24978108250862005,0.24757251485373793,0.1675820898113166,0.06446974164128867,0.10026689428754285
max,6,50,InnerProduct,fixed,0.07217011694504678,0.07130907314620043,0.04804057096481333,0.005208525779861639,0.01649290557238825
max,6,50,InnerProduct,optimized,0.1957654550182497,0.2052796253431425,0.13757049721847106,0.03874275221508048,0.07498612760652343
max,6,50,Manhattan,fixed,0.180385308257624,0.1742724987377344,0.11790911410374315,0.032538859435197964,0.048000796759070985
max,6,50,Manhattan,optimized,0.2720933100221918,0.2628051296739414,0.17781078001115339,0.07656445299491281,0.11726298225076717
mean,6,50,Euclidean,fixed,0.18804036295799817,0.18354467395103638,0.12411789703564552,0.03535917810137568,0.04998533482037715
mean,6,50,Euclidean,optimized,0.2929844298546725,0.2821534347695672,0.1900995047635487,0.08632230229896727,0.14112916421322003
mean,6,50,InnerProduct,fixed,0.09080898477231791,0.09976457695721477,0.06730682366134351,0.008246271715379172,0.024210094761128564
mean,6,50,InnerProduct,optimized,0.2116112721227486,0.2194204472715069,0.14728517503668684,0.045602368906625924,0.09310230485278592
mean,6,50,Manhattan,fixed,0.21166905484582432,0.21713668231116193,0.14685237063670822,0.04480378877932445,0.07522154289871519
mean,6,50,Manhattan,optimized,0.3018719018292678,0.2874412134115872,0.19447841609776678,0.09256361520269223,0.14178135984225188
median,6,50,Euclidean,fixed,0.18385535162808875,0.1817127113550276,0.12282790004957576,0.033802790322287946,0.047575279694006545
median,6,50,Euclidean,optimized,0.29870816270118306,0.2854717976868716,0.19297730196250543,0.08997432456597862,0.14602986347959512
median,6,50,InnerProduct,fixed,0.09016230139304948,0.0992537858533907,0.0670567021083193,0.008129240592491094,0.023191348979163418
median,6,50,InnerProduct,optimized,0.2370853457572691,0.2391640122720169,0.16095500250201308,0.057263083025563113,0.10548438011954267
median,6,50,Manhattan,fixed,0.21140676955906174,0.21806739607384856,0.14755054457802386,0.044692822215398165,0.07277467927407621
median,6,50,Manhattan,optimized,0.3076276427369003,0.28897878768488866,0.19492006755590813,0.0957000790338706,0.15204626751083788
min,6,50,Euclidean,fixed,0.20126483084779243,0.20007993726885343,0.13514687890127997,0.040507532136190405,0.06148206543872603
min,6,50,Euclidean,optimized,0.3490113448967856,0.32955250948443615,0.22353079685007224,0.12189035633518049,0.16711209960717402
min,6,50,InnerProduct,fixed,0.10836456605552945,0.12394385373753222,0.08382666292722596,0.011742879176403154,0.03200515355550504
min,6,50,InnerProduct,optimized,0.2806331945048368,0.2833025460765424,0.191368499762922,0.07989284006721187,0.1336183336563596
min,6,50,Manhattan,fixed,0.22882368136811243,0.24139256874620052,0.1633247319115215,0.05236027715485536,0.08396347081385092
min,6,50,Manhattan,optimized,0.3459877910615796,0.3279671288045855,0.2222599417395695,0.12015196236246142,0.17862629688731937
max,7,43,Euclidean,fixed,0.15267753321141714,0.1400219723779565,0.09445584420023115,0.02331042914752335,0.03279806711427047
max,7,43,Euclidean,optimized,0.24825742324201888,0.24088153624349218,0.16398812635253926,0.06283100472150638,0.10491122768390757
max,7,43,InnerProduct,fixed,0.07102411241180864,0.06944008478389373,0.04669936799151028,0.0050444245438852064,0.01664360118125341
max,7,43,InnerProduct,optimized,0.18729108631317068,0.19600018879499914,0.13167692671717782,0.035821003602194576,0.07400954629783012
max,7,43,Manhattan,fixed,0.1764001363894615,0.1672865454550344,0.11291640072595112,0.0311170081182206,0.04811638434278498
max,7,43,Manhattan,optimized,0.26514063032111446,0.24713867175385848,0.16812839315671285,0.07305430397625082,0.11793949451192429
mean,7,43,Euclidean,fixed,0.1890185400557027,0.1841384987885047,0.1244231634979979,0.03572800848478941,0.05047689437820391
mean,7,43,Euclidean,optimized,0.29819155599508124,0.2884850094880792,0.1949194204503993,0.08935715436946627,0.13979536882837815
mean,7,43,InnerProduct,fixed,0.09071994851523553,0.09970058628066038,0.06728417485929801,0.008230109058606994,0.024615514569575114
mean,7,43,InnerProduct,optimized,0.2027979289439751,0.21260467176243186,0.14287058868991392,0.04184655778738986,0.09374258006130545
mean,7,43,Manhattan,fixed,0.21203454824079504,0.21739470200439603,0.14714385087172857,0.04495864964767804,0.0739541533058714
mean,7,43,Manhattan,optimized,0.29609675179861156,0.284710966163135,0.1921752425592098,0.08881553340731833,0.14385114677989447
median,7,43,Euclidean,fixed,0.1833970911886129,0.1815631883902898,0.12271465603934828,0.0336344930564445,0.04743701015374302
median,7,43,Euclidean,optimized,0.31698396449283806,0.30919639681632255,0.2095587154706343,0.10115338393406699,0.15500959477246262
median,7,43,InnerProduct,fixed,0.08979929176349323,0.09833747612581104,0.06638314643009662,0.00806391280122487,0.025027012930887937
median,7,43,InnerProduct,optimized,0.23300600639491656,0.24692888812745178,0.16664085253508418,0.05493506011440774,0.11018722113298567
median,7,43,Manhattan,fixed,0.21134378110889607,0.21858148166739566,0.1478828356162655,0.044666193813404864,0.07289904249531953
median,7,43,Manhattan,optimized,0.3115236176401265,0.2974096105641501,0.20119317201029568,0.09835231896307162,0.15358764268598254
min,7,43,Euclidean,fixed,0.2018459405118673,0.20010774650307933,0.13510748968033126,0.04074178370112025,0.06208359483384729
min,7,43,Euclidean,optimized,0.31293375784534183,0.300587487491287,0.20345788149462027,0.09810061318060663,0.1418857061337108
min,7,43,InnerProduct,fixed,0.11018071257100606,0.1251723260736336,0.08478382099627922,0.012139789422654701,0.03383280545204781
min,7,43,InnerProduct,optimized,0.25728696724639577,0.2606750984832268,0.17547106404128782,0.06710330148142316,0.12172189321515352
min,7,43,Manhattan,fixed,0.22945165395228342,0.24085848970734525,0.1628994077942843,0.052648061501438526,0.08432234515844683
min,7,43,Manhattan,optimized,0.3353902285698887,0.31986020492209044,0.21694431447860502,0.11314509770035948,0.1686335655808586
max,8,38,Euclidean,fixed,0.1464625998147668,0.1336560684206318,0.09005409875921454,0.02145129314450067,0.03243930986443866
max,8,38,Euclidean,optimized,0.25052598874598664,0.24980847599600162,0.16920256794945496,0.06490475874988519,0.10840637435996463
max,8,38,InnerProduct,fixed,0.06868417825026779,0.0660344992934144,0.04454576233614042,0.004717516341914418,0.016110722537229227
max,8,38,InnerProduct,optimized,0.17447277620326931,0.18422816315261853,0.1234545846420482,0.030744933997094992,0.06564467247265611
max,8,38,Manhattan,fixed,0.17106870907290528,0.16048279935891163,0.10826432193585225,0.02926450322387031,0.04416430465714449
max,8,38,Manhattan,optimized,0.25321766181748656,0.24380461173893017,0.16471315127378505,0.06754692371183231,0.10982210337507933
mean,8,38,Euclidean,fixed,0.1904200630062685,0.18507722227849185,0.12503862007532124,0.03625980039531129,0.05128503817453578
mean,8,38,Euclidean,optimized,0.29396146046060523,0.28207033329523057,0.1908170964705494,0.08704683193586076,0.13543970304830705
mean,8,38,InnerProduct,fixed,0.0906329635538577,0.09959284673428405,0.06719554911216344,0.008214334082555008,0.024093176556263418
mean,8,38,InnerProduct,optimized,0.20063673701856613,0.20644111206199475,0.13873821732766967,0.04082136756017103,0.08681596679878348
mean,8,38,Manhattan,fixed,0.21218310011510716,0.21683194514634194,0.14670518953777492,0.04502166797445761,0.07531451354657104
mean,8,38,Manhattan,optimized,0.2919869055581303,0.27887681185999325,0.1880227363165663,0.0866055835663369,0.1370049796962876
median,8,38,Euclidean,fixed,0.18418729273244547,0.18235316074334812,0.1232434563305845,0.03392495880410762,0.047773126126671395
median,8,38,Euclidean,optimized,0.280064898663936,0.2746562074905564,0.1858055547995464,0.07864524618385593,0.12826863888151
median,8,38,InnerProduct,fixed,0.0899290391047397,0.0988738561774124,0.06663425271364455,0.008087232074301842,0.024821795283815784
median,8,38,InnerProduct,optimized,0.20948032665595373,0.2121383782020961,0.14275625184340032,0.04489330424817177,0.09039575745336174
median,8,38,Manhattan,fixed,0.21141022512781624,0.2183403357301597,0.14756598953255706,0.04469428328859393,0.07108944373431658
median,8,38,Manhattan,optimized,0.2996527904693401,0.2879307003819102,0.1944163031287793,0.09060270820975103,0.1432561263488233
min,8,38,Euclidean,fixed,0.20243633856674748,0.19980521416734318,0.13497750525120056,0.04098047117231074,0.0623343000058344
min,8,38,Euclidean,optimized,0.31938560422462225,0.29885154477343556,0.20190748618218102,0.10223015849286281,0.14867027685659379
min,8,38,InnerProduct,fixed,0.11116806203834134,0.12655078857195104,0.08575378056214084,0.012358338017360526,0.03341686897661278
min,8,38,InnerProduct,optimized,0.2666637780292217,0.27101153845279013,0.18263430615239734,0.07159085983828113,0.12079560567613853
min,8,38,Manhattan,fixed,0.22897689000267132,0.2403274206207863,0.1625623369332154,0.05243041615529531,0.08483112333146825
min,8,38,Manhattan,optimized,0.33041873645781383,0.3147845086332402,0.21296992784565488,0.10977304422044083,0.167184491318548
max,9,34,Euclidean,fixed,0.1427259104861299,0.12667811086905598,0.08533920901165583,0.020370685524094823,0.029627144465356525
max,9,34,Euclidean,optimized,0.21574687102647322,0.2139438594728881,0.1459619258650332,0.04764640660657175,0.08117787515514371
max,9,34,InnerProduct,fixed,0.06702823487342485,0.06282635013915487,0.042355721651393,0.00449278427024713,0.016040722327372192
max,9,34,InnerProduct,optimized,0.16067529807361228,0.16774725931034687,0.11283330799797671,0.026218120591798934,0.06358024762195336
max,9,34,Manhattan,fixed,0.16592525995794202,0.1534057955187867,0.10369711703202994,0.027531191892110618,0.04154385471900679
max,9,34,Manhattan,optimized,0.23370440553522723,0.22005079445792833,0.1495829877642273,0.057379350101562435,0.1073952481591161
mean,9,34,Euclidean,fixed,0.19121925175214233,0.18512115934541712,0.12505732995527188,0.036564802240649175,0.053422390071123815
mean,9,34,Euclidean,optimized,0.2728915754958369,0.26161270201431414,0.17682055487959628,0.07481516924026532,0.12298284695904638
mean,9,34,InnerProduct,fixed,0.09056684753751053,0.09954040638033984,0.06715123623859616,0.008202353872882817,0.024002765566876083
mean,9,34,InnerProduct,optimized,0.17728205691536586,0.18708703870695925,0.12569644867333857,0.03190425524461984,0.06991475325767378
mean,9,34,Manhattan,fixed,0.21180268548642797,0.21598518259032248,0.146142379929108,0.044860377579262534,0.07514408686051044
mean,9,34,Manhattan,optimized,0.29536819856263563,0.27976358277564567,0.189015345646434,0.08850330640806818,0.14530360058599273
median,9,34,Euclidean,fixed,0.18168555576231354,0.1800641281629603,0.12180476503543343,0.0330096411726607,0.046504611801762685
median,9,34,Euclidean,optimized,0.26310957662273143,0.25839117310096404,0.1742400924689169,0.06990715089330246,0.11352356083395987
median,9,34,InnerProduct,fixed,0.08862266151066592,0.09661180608210784,0.06507247010302881,0.00785397613323413,0.026183492048158286
median,9,34,InnerProduct,optimized,0.19557473130105812,0.20029409436535187,0.1346303725698699,0.03866636560061918,0.08339780077494649
median,9,34,Manhattan,fixed,0.20920493419571945,0.21576606669344434,0.14587261004237526,0.04376670449183517,0.07105231189521466
median,9,34,Manhattan,optimized,0.2929660084062127,0.2799714262134083,0.1893531508291486,0.08704899120375158,0.14335916612494495
min,9,34,Euclidean,fixed,0.2061059391568186,0.20343553921971413,0.13763036928209513,0.042479658155714195,0.06502735321311148
min,9,34,Euclidean,optimized,0.3307676195347887,0.31363957277621013,0.21310056277412553,0.1096352353007511,0.1595362617931617
min,9,34,InnerProduct,fixed,0.1142421745399207,0.1300010089964353,0.08819394279991245,0.01305127444360965,0.035621817644346465
min,9,34,InnerProduct,optimized,0.27053548463836785,0.26930500281639363,0.18058362124802646,0.07402510871126453,0.1277525192927946
min,9,34,Manhattan,fixed,0.23192597208744065,0.2439747377095317,0.16516749117142263,0.053789656528704266,0.08800278909755843
min,9,34,Manhattan,optimized,0.3384863414378944,0.32220109683784687,0.21873575434673986,0.11511053982003101,0.17152882162367972
max,10,30,Euclidean,fixed,0.1398802259028879,0.12348627628003021,0.08299653509573222,0.01956647759864294,0.030082300761535508
max,10,30,Euclidean,optimized,0.22444909903305338,0.21782204179565987,0.14886281936831608,0.05234557828720825,0.08847870786925864
max,10,30,InnerProduct,fixed,0.06609315057784255,0.06271368378300732,0.04224838602430781,0.00436830455330528,0.015976376742996234
max,10,30,InnerProduct,optimized,0.1387419473182574,0.14321163102206363,0.09708084638071857,0.01956319185940314,0.058530840008343965
max,10,30,Manhattan,fixed,0.162624096542539,0.14949368152074693,0.10075078734849474,0.026446596776277143,0.03918554491199722
max,10,30,Manhattan,optimized,0.23033865686577584,0.21384429072937738,0.1450104162053824,0.05649691948290279,0.09641242754174081
mean,10,30,Euclidean,fixed,0.1919543975353322,0.1859648396368004,0.1255703745581286,0.03684649073315227,0.05212429299672372
mean,10,30,Euclidean,optimized,0.26659551037300255,0.2627748410334556,0.17716575043177613,0.07150565333569903,0.11766548319149976
mean,10,30,InnerProduct,fixed,0.09046024583282876,0.09946057639115888,0.0670852592935071,0.008183056076135897,0.02455771632306991
mean,10,30,InnerProduct,optimized,0.18144323756124323,0.18892972594265509,0.1270194822953645,0.033535773010672634,0.06961751978491955
mean,10,30,Manhattan,fixed,0.21204588657450124,0.21683310207637962,0.14670367632762693,0.04496345801316626,0.0734746090895253
mean,10,30,Manhattan,optimized,0.2920306183040683,0.2761469701663944,0.18682383834391003,0.08690185693861385,0.1448159394327009
median,10,30,Euclidean,fixed,0.18270240332235055,0.17914147685205445,0.1209864539702243,0.03338016817976286,0.047339870781301974
median,10,30,Euclidean,optimized,0.26145156346913134,0.24915024642288097,0.16836233142567178,0.06935981780930775,0.11234065356660375
median,10,30,InnerProduct,fixed,0.08971310204583097,0.09760742880604764,0.06586419344409757,0.00804844067868582,0.023537734776550967
median,10,30,InnerProduct,optimized,0.18803288613699784,0.19330384489884403,0.12947604968723067,0.03586748405075515,0.07580083885451327
median,10,30,Manhattan,fixed,0.2104952476819078,0.2160174220166004,0.14604056817218827,0.04430824929666777,0.07105221571138998
median,10,30,Manhattan,optimized,0.29167926087144225,0.2710881859148489,0.18396463005309296,0.0868937134462296,0.14478645995869605
min,10,30,Euclidean,fixed,0.20648885225113026,0.20415967553940717,0.13812273454395382,0.0426376461039889,0.06492635380731038
min,10,30,Euclidean,optimized,0.3209886181130435,0.304683616083974,0.20661657045096118,0.10325160497417674,0.1469282343293663
min,10,30,InnerProduct,fixed,0.11509051979793879,0.13092417656787753,0.08879068949728518,0.013245827747359606,0.036600410401121164
min,10,30,InnerProduct,optimized,0.25552376293356593,0.2600027386698336,0.17454086446145012,0.0663313446093946,0.11328487477492703
min,10,30,Manhattan,fixed,0.23080068153642028,0.2439398430605458,0.16513622358939695,0.053268954597676,0.08709537479481955
min,10,30,Manhattan,optimized,0.3350165225486872,0.3196425372303329,0.21690124262888744,0.1126931008041641,0.17039598854987
max,11,28,Euclidean,fixed,0.13767488244016768,0.11820680051514425,0.0795470240711503,0.018954373254913892,0.02910333753830574
max,11,28,Euclidean,optimized,0.20101353249375956,0.19369850727884058,0.13160094779149775,0.04263548348004409,0.07918161154559215
max,11,28,InnerProduct,fixed,0.06510839099626696,0.061429387206524085,0.04151082286204351,0.0042391025781226555,0.017936734863148618
max,11,28,InnerProduct,optimized,0.14874403192893118,0.15648471088817315,0.10536143625665764,0.022872745198632426,0.0642916611059761
