aggregator,block_size,image_size,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
max,1,300,Euclidean,fixed,0.18409949054420796,0.18292536195332917,0.12358318836126699,0.033892622418636886,0.04685735380320344
max,1,300,Euclidean,optimized,0.39199912302262807,0.3820021469497043,0.2608200816716175,0.1544717601293493,0.20182282769995488
max,1,300,InnerProduct,fixed,0.09101775614160304,0.09988929964452661,0.06740529671371523,0.008284231933052277,0.024811060528080686
max,1,300,InnerProduct,optimized,0.3143616938067732,0.31487434367946,0.21378955321771195,0.0996417202348013,0.15715431291334409
max,1,300,Manhattan,fixed,0.21241450833174672,0.21981265838797817,0.1486140535436386,0.04511992334981774,0.07493356655396222
max,1,300,Manhattan,optimized,0.3560602643942379,0.3413850175804797,0.2316789035055214,0.1275837105094962,0.18263311906503277
max,2,150,Euclidean,fixed,0.17774474323469286,0.17557434135705097,0.11849410101469567,0.03159319374756686,0.0434300927596839
max,2,150,Euclidean,optimized,0.3647227621592949,0.3617632647374851,0.24609522353794522,0.1336553245309915,0.18810744825400322
max,2,150,InnerProduct,fixed,0.08587952362781542,0.09297455215428278,0.06285190277204616,0.007375292578540638,0.022483247847636223
max,2,150,InnerProduct,optimized,0.2907612264018391,0.2940344253088852,0.19905700576695112,0.08512945712651117,0.13140323603142018
max,2,150,Manhattan,fixed,0.20518597968469485,0.2102409241320791,0.14218429059048046,0.04210128625916809,0.07054909332403081
max,2,150,Manhattan,optimized,0.3448954592024982,0.3322207030582424,0.22570061319898088,0.11984715723335651,0.17099165200482247
mean,2,150,Euclidean,fixed,0.1848657124908146,0.1829260459070043,0.12369840183254191,0.03417533165473652,0.047003261857760936
mean,2,150,Euclidean,optimized,0.36634888643868174,0.35765763483160495,0.24275727132583275,0.13445780902040613,0.18878924785244605
mean,2,150,InnerProduct,fixed,0.09100072867775208,0.09987367049753684,0.06739741886952551,0.008281132619881948,0.024821861528176337
mean,2,150,InnerProduct,optimized,0.2537817810166959,0.2632303103681684,0.17703757317427576,0.06469879364893445,0.11711893685761561
mean,2,150,Manhattan,fixed,0.21231091079912606,0.2194574536444803,0.14844816299382177,0.045075922844354466,0.07471128287461182
mean,2,150,Manhattan,optimized,0.3409102455569698,0.3290118465752655,0.2240918590391626,0.11666408441703909,0.17115070578870925
median,2,150,Euclidean,fixed,0.1848657124908146,0.1829260459070043,0.12369840183254191,0.03417533165473652,0.047003261857760936
median,2,150,Euclidean,optimized,0.36634888643868174,0.35765763483160495,0.24275727132583275,0.13445780902040613,0.18878924785244605
median,2,150,InnerProduct,fixed,0.09100072867775208,0.09987367049753684,0.06739741886952551,0.008281132619881948,0.024821861528176337
median,2,150,InnerProduct,optimized,0.2537817810166959,0.2632303103681684,0.17703757317427576,0.06469879364893445,0.11711893685761561
median,2,150,Manhattan,fixed,0.21231091079912606,0.2194574536444803,0.14844816299382177,0.045075922844354466,0.07471128287461182
median,2,150,Manhattan,optimized,0.3409102455569698,0.3290118465752655,0.2240918590391626,0.11666408441703909,0.17115070578870925
min,2,150,Euclidean,fixed,0.1895144279169079,0.18950039975865804,0.1279681933833804,0.0359157183886728,0.050625371676315756
min,2,150,Euclidean,optimized,0.34911975465637995,0.33873987251577414,0.22942268882881128,0.12225152046130834,0.16981307796714878
min,2,150,InnerProduct,fixed,0.09605244238232473,0.10663319199175599,0.0718612023335363,0.009226071687609694,0.02757137020813305
min,2,150,InnerProduct,optimized,0.27897439801318463,0.2839631919031683,0.19142660491224672,0.07850466464673682,0.12992541241586794
min,2,150,Manhattan,fixed,0.21841315834047212,0.22864020360753257,0.1545485700899858,0.04770430773626022,0.0799212122138423
min,2,150,Manhattan,optimized,0.3389666611124145,0.3269811674636569,0.22188451929749925,0.1153874700722343,0.1734080145084249
max,3,100,Euclidean,fixed,0.17145825659215144,0.16820589165860794,0.11349560887630634,0.02939793375362021,0.040601238736941436
max,3,100,Euclidean,optimized,0.3125501959909426,0.31104571332512,0.21069616149942721,0.09886556190688008,0.14676985768818532
max,3,100,InnerProduct,fixed,0.08141711854516022,0.08661806976867578,0.058433416912126356,0.006628747192196638,0.020116741142221617
max,3,100,InnerProduct,optimized,0.24040845726702992,0.2465851936063308,0.16566394687385258,0.058449190737732935,0.11085954816774586
max,3,100,Manhattan,fixed,0.1979437604821664,0.20011484504892432,0.13541479227375824,0.03918173231382138,0.060592101925930786
