dims,total,total_u,total_n,total_s,sim_s_s,sim_s_s_u,sim_s_s_n,sim_s_s_s,sim_s_d,sim_s_d_u,sim_s_d_n,sim_s_d_s,sim_d_s,sim_d_s_u,sim_d_s_n,sim_d_s_s,sim_d_d,sim_d_d_u,sim_d_d_n,sim_d_d_s,art_a_a,art_a_a_u,art_a_a_n,art_a_a_s,art_a_n,art_a_n_u,art_a_n_n,art_a_n_s,art_n_a,art_n_a_u,art_n_a_n,art_n_a_s,art_n_n,art_n_n_u,art_n_n_n,art_n_n_s
1,113,440.09000000000003,440.8900000000001,441.15000000000015,10,99.3,98.94000000000001,99.75,19,120.29999999999998,120.56999999999998,120.10000000000002,50,120.07999999999998,120.12,120.70999999999998,34,100.41,101.25999999999999,100.59,30,98.67000000000002,99.63999999999999,100.13000000000001,26,120.55999999999997,120.40000000000002,120.69,20,120.95999999999998,120.72,120.03,37,99.89999999999999,100.12999999999998,100.3
2,9,145.19000000000005,164.03,148.07999999999998,0,32.59,37.15,33.809999999999995,1,40.53999999999999,44.48999999999998,40.75,4,39.17,45.12000000000001,40.02000000000001,4,32.89,37.269999999999996,33.5,1,32.0,38.06000000000001,32.53,1,39.85,44.489999999999995,41.12,1,39.95000000000001,43.96,41.05,6,33.38999999999999,37.52,33.38000000000001
3,1,22.430000000000017,32.26,19.360000000000003,0,4.97,7.359999999999999,4.12,0,6.32,8.92,5.07,0,5.960000000000001,8.76,5.280000000000003,1,5.180000000000001,7.2200000000000015,4.8900000000000015,0,5.3,6.98,4.470000000000001,0,5.7700000000000005,8.520000000000001,5.020000000000001,0,6.3900000000000015,9.149999999999999,5.2700000000000005,1,4.969999999999999,7.61,4.600000000000001
4,0,1.640000000000001,2.5199999999999982,0.6100000000000003,0,0.41000000000000014,0.6600000000000004,0.12,0,0.4600000000000001,0.6500000000000002,0.17,0,0.38000000000000017,0.6700000000000003,0.15,0,0.3900000000000001,0.5400000000000003,0.17,0,0.34,0.5900000000000002,0.10999999999999997,0,0.4800000000000002,0.7200000000000004,0.15,0,0.4800000000000002,0.6300000000000001,0.23,0,0.3400000000000001,0.5800000000000002,0.11999999999999998
5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
