dims,category_type,data_source,size
5,VC,MDS,0.11514856790551875
5,VV,MDS,0.18637609483158943
5,all,MDS,0.15076233136855408
1,VC,MDS,0.15161906614966592
1,VV,MDS,0.40870827558824896
1,all,MDS,0.28016367086895744
3,VC,MDS,0.10518827070735125
3,VV,MDS,0.17005039559762228
3,all,MDS,0.13761933315248676
2,VC,MDS,0.1026979932889631
2,VV,MDS,0.4008740458511409
2,all,MDS,0.2517860195700519
6,VC,MDS,0.09335140662463291
6,VV,MDS,0.2565232816241572
6,all,MDS,0.17493734412439507
9,VC,MDS,0.12110150963166562
9,VV,MDS,0.18094021038197186
9,all,MDS,0.15102086000681875
10,VC,MDS,0.11612000711170838
10,VV,MDS,0.24259290065392033
10,all,MDS,0.17935645388281432
8,VC,MDS,0.112831464696987
8,VV,MDS,0.22543407592460804
8,all,MDS,0.16913277031079751
7,VC,MDS,0.09680127931667797
7,VV,MDS,0.20436062194242877
7,all,MDS,0.15058095062955335
4,VC,MDS,0.08843161225818685
4,VV,MDS,0.2904924606726898
4,all,MDS,0.18946203646543824
