regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
zero baseline,correct,1.0000000000026719,0.994006113306961,-1.7486012637846216e-15,0.9999999999998062,0.9940061133069611,-1.6209256159527285e-14
linear regression,correct,0.01978956196279559,0.1281271364649535,0.9803032990644978,0.381938619120779,0.5698760663982346,0.6206735679112996
linear regression,shuffled,0.04207730921952788,0.18643855520238714,0.9579294722218668,1.3240680162098901,1.1233413611411378,-0.3265790940401715
