configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,150.8,0.2034549738729281,0.2849545493639011,0.23395871245066707,0.19463872231954707,0.19329515336814346,0.28650216206158446,4.620662999322463,2.4767862327796557,1.7996684933685525,2.1448019660013067,0.5067077567711433,0.6938164388969844
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,186.0,0.2118146370755289,0.28977740228306015,0.23657645859717222,0.19885842087080907,0.1928320618579819,0.2910988217253416,4.833387206487266,2.300687565161895,1.813667066252475,2.065651996251637,0.5344499746504011,0.7016246958893173
c1.0_r0.0_m0.0_b256_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,170.6,0.21823161311994355,0.265000186784957,0.2348650561503745,0.24184666948709616,0.21496099669896598,0.2701064926494766,3.3494174397882146,1.5529689754018,0.9440632860462277,1.251675552044961,0.6138424461398806,0.7830041258450674
c1.0_r0.0_m0.0_b256_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,5.6,0.23037771507953053,0.30394652810815465,0.21297079958877893,0.2401677348140531,0.2309149429983087,0.3048521718584689,5.003268673299283,2.942360423408452,1.7200353301841385,2.330345291857087,0.34053039883631947,0.6087633512911748
c1.0_r0.0_m0.0_b256_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,187.8,0.22386806852434513,0.2562284983128363,0.22821705643826373,0.23310705886396949,0.21819793848363528,0.264429577258193,3.676679489587278,1.8625202778941283,1.035279624865645,1.4510010276458547,0.5419641755891222,0.7701467639889036
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,5.6,0.22053950040367426,0.32917170594560374,0.23705834525318026,0.2367164412682088,0.22072353620675428,0.321936561776903,4.840902483306126,2.8078346612391405,1.6392901632535213,2.223779700955566,0.3636174488434378,0.6145593321221824
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,191.4,0.19928610610670477,0.2724836971071903,0.22525238322467586,0.20120981247649544,0.19648536833188893,0.27224837494697607,4.607308257573479,2.380860267171962,1.8228863349595847,2.109399819805975,0.5477776799892893,0.7074153077742276
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,5.2,0.23299781061926644,0.30657863848685435,0.21445431089218828,0.2319201684902014,0.23117207103523602,0.30443462680158634,4.593209311862868,2.887275066093928,1.6664422411101203,2.2764682376384733,0.35280883720371187,0.6171616866771664
c1.0_r0.0_m0.0_b256_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,177.8,0.20083931607596145,0.24784974497297457,0.21792436469409227,0.1969358289652009,0.19587243774234026,0.24705396043667935,4.8582492293664385,2.312119703815099,1.8265917846465598,2.07991375504647,0.5295936286089504,0.6994390445133861
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.25_mean_4,172.6,0.20715396299298972,0.24649592861171254,0.2139233480220256,0.20296710184725067,0.19314270385183324,0.2555902678035999,3.644555170932108,1.8435909735158151,1.0185006667522143,1.4344682486745777,0.5420117163941568,0.7715042521496208
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,181.0,0.21160919568967934,0.256156789437081,0.22806539005303042,0.24331001123887294,0.2092240394730242,0.2563118748390164,3.3807777942949415,1.6930100807978452,1.070900500153218,1.3865271630388438,0.5816286815528967,0.7780924777861762
