configuration,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.2189745434682636,0.30319113507895096,0.26891507328817255,0.26876959561255787,0.21583575411190364,0.30990376319751534,3.6378739537000655,1.9585518828954445,0.9985249098307015,1.4801331488373328,0.5148552528155094,0.7514670477065504
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,0.20608864368466429,0.2724062316901038,0.26889732231709534,0.2561441157942771,0.20549816285265443,0.2780995499201452,2.684432794524212,2.092385931619545,1.093474984013061,1.5909578120161683,0.4899546626788013,0.7396511300286468
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,0.2071732802262208,0.2774403372327457,0.2609054696769622,0.25853528885632643,0.20648856262128637,0.27778818687043094,3.161766691431221,2.1028272087698348,1.0704897360611934,1.585448474281418,0.48193548410851134,0.7325304397300798
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,0.21305589983247267,0.2925170746193819,0.27327241460024515,0.24680484981216916,0.2052368581166501,0.2945450364437006,4.007632707428446,2.1203311966790137,1.006937883819305,1.5660973223239791,0.480483128958089,0.7363586027672095
