configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,179.6,0.21201407445645531,0.22185320514113824,0.2339566241011286,0.22688156344440275,0.20949526386933642,0.2240916121688475,3.239809941808789,1.5925259254580362,1.053482360684385,1.3270792908649665,0.6209094978159921,0.7812546754147326
c1.0_r0.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,170.0,0.20498207947295355,0.2884526332920321,0.23758774186118908,0.19061440800799537,0.1822809368584215,0.29935803750537987,3.2401223843722926,1.5929957353607433,1.01268254553329,1.3069366393429285,0.6315398117318578,0.7884574693190808
c1.0_r0.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,167.4,0.2099907247973447,0.2163321925054415,0.23324710734542445,0.20105333179219803,0.20555011054742453,0.21370139461700557,3.4797881457426114,1.6996801835480944,1.170739491898977,1.4409093416671364,0.5915748370345757,0.7596737976098547
c1.0_r0.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,111.0,0.20973359676041733,0.21111947945343598,0.21964307636427471,0.20930017731925235,0.2067717950274449,0.20991661105767984,3.9053327852531354,2.220817787447771,1.4080567698394764,1.8248352798407175,0.46507850814110274,0.678010191802346
c1.0_r0.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,178.4,0.21918468364057478,0.26984932708182446,0.24408772979975887,0.2423140245096592,0.2172949883519279,0.27770217111995665,3.177885713756571,1.5991634160701587,0.990311950288044,1.2972142434130518,0.6274187131217548,0.7907694315195084
c1.0_r0.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,181.2,0.2174022773094682,0.2574255218002206,0.24023498594492548,0.23558416268086835,0.21595009124913628,0.2620689233327257,3.2216046027949874,1.6133004959420414,1.0195958531676204,1.3187818624365693,0.6239274270043081,0.7875308445861144
