aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
max,1,300,Euclidean,0.43742912874000234,0.21095246968533868,0.14362347140507314,0.19134424267023753,0.4546257001400058
max,1,300,Manhattan,0.3979494148424395,0.2551404471655934,0.17427360571062608,0.15836373677344007,0.4705109597255078
max,1,300,Cosine,0.2856867543713614,0.20305665070472784,0.13800004886884853,0.08161692162324263,0.45043175707669614
mean,2,150,Euclidean,0.43523022140573214,0.21093327434917183,0.14358052265861523,0.18942534562488278,0.4548826800063327
mean,2,150,Manhattan,0.396330992368906,0.2546944079309682,0.17404645456269305,0.15707825551212196,0.4706771400839721
mean,2,150,Cosine,0.2843151208221913,0.20294164073852514,0.13806399478024145,0.08083508792813743,0.45037745307465193
max,2,150,Euclidean,0.4274701060810245,0.20400147810584565,0.13891342554352043,0.18273069159292243,0.4518424693680698
max,2,150,Manhattan,0.38909469119400986,0.24754596914827598,0.1689892429796886,0.15139467871536194,0.46894331993867
max,2,150,Cosine,0.2784027543569108,0.19590624444189195,0.13322033059637517,0.07750809363351452,0.4473403755005676
median,2,150,Euclidean,0.43523022140573214,0.21093327434917183,0.14358052265861523,0.18942534562488278,0.4548826800063327
median,2,150,Manhattan,0.396330992368906,0.2546944079309682,0.17404645456269305,0.15707825551212196,0.4706771400839721
median,2,150,Cosine,0.2843151208221913,0.20294164073852514,0.13806399478024145,0.08083508792813743,0.45037745307465193
min,2,150,Euclidean,0.4443783707764417,0.2166097887863954,0.14753180733274454,0.19747213641392491,0.4550346466915324
min,2,150,Manhattan,0.40412666070930264,0.26164825140597897,0.17896629376441717,0.16331835789605198,0.47240551232041283
min,2,150,Cosine,0.2911350276709969,0.2088276554258072,0.1420706356164721,0.08475960433699237,0.45192071933772704
mean,3,100,Euclidean,0.4329891035493549,0.21078035670097892,0.14358781540339283,0.1874795637924742,0.4549402215616615
mean,3,100,Manhattan,0.394727068124352,0.2538649565073391,0.1734852576089761,0.1558094583100469,0.4706991857517201
mean,3,100,Cosine,0.2829135989030986,0.20316020605436635,0.13822624560019361,0.08004010444430365,0.4507691847220441
max,3,100,Euclidean,0.4183729557018809,0.19780741602673077,0.1346147332313759,0.1750359300627281,0.44922039307168404
max,3,100,Manhattan,0.3802691413948122,0.24027120294982893,0.1640361735928944,0.1446046198971478,0.46451513241098674
max,3,100,Cosine,0.2718901277131005,0.1892159674512038,0.128602863143854,0.07392424154784616,0.4452139970572718
