regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.013406186969200777,0.10360546526239504,0.9865302836605804,0.5554306476645247,0.6978868920261587,0.4435320346644532
lasso regression (beta = 0.002),correct,0.015618040492463625,0.11131961826600328,0.9843025897786131,0.5443321691688429,0.6880113736841758,0.45564832180205483
lasso regression (beta = 0.005),correct,0.018630943455286226,0.12138552240798166,0.9812747102780358,0.5343247580894789,0.6793871163083952,0.4676603628140885
lasso regression (beta = 0.01),correct,0.02226353109538481,0.13253662926220583,0.9776272111694461,0.5337185476408938,0.6749643083252644,0.46997604962476974
lasso regression (beta = 0.001),correct,0.014368441558978038,0.10689800775846761,0.985560943470404,0.5509386154770372,0.6926956768105845,0.4485731194752652
lasso regression (beta = 0.02),correct,0.02740985946019299,0.14694082519677282,0.9724698072042287,0.532158086272203,0.6718909618313615,0.4722378867078992
lasso regression (beta = 0.05),correct,0.03838368085788273,0.1740969039091507,0.961480446457965,0.5488699474809573,0.6805400919902757,0.4543199376504858
lasso regression (beta = 0.1),correct,0.054128096197820316,0.20807182846244587,0.9456396356105952,0.5816444173593237,0.7007015110102178,0.420481835510778
lasso regression (beta = 0.2),correct,0.08624054358804338,0.26661936984582113,0.9132470423982468,0.6092892638932699,0.7197535302526507,0.39371790951325814
lasso regression (beta = 0.5),correct,0.19723174629803597,0.41587510516304027,0.801612099366638,0.6104189307469976,0.734788471549849,0.39175646772784
lasso regression (beta = 1.0),correct,0.4102897958598763,0.6156406521472322,0.5871256045637169,0.6592701080074528,0.7804201365156612,0.3401281184968248
lasso regression (beta = 5.0),correct,0.997662448208043,0.9834338093203513,0.0022435042996705365,1.0350632768716443,1.0009778455922271,-0.0336525644809614
lasso regression (beta = 2.0),correct,0.7936657405192742,0.8746321262960203,0.2038527893829251,0.8839838621004914,0.9209607074799709,0.11636014375252075
lasso regression (beta = 10.0),correct,0.997662448208043,0.9834338093203513,0.0022435042996705365,1.0350632768716443,1.0009778455922271,-0.0336525644809614
