dims,attentive_kappa,attentive_spearman,pre-attentive_kappa,pre-attentive_spearman
1,0.55,0.30523293507455784,0.5272452087708345,0.3412023966133584
2,0.7583333333333333,0.6244604982865611,0.7228993377074929,0.6147163378591581
3,0.8666666666666667,0.824877280726128,0.8739324288278739,0.7905539292599667
4,0.9333333333333335,0.8654996758358804,0.8887040929208214,0.8087077006805217
5,0.9583333333333334,0.8764842085764566,0.9370393619054962,0.8261093560146385
6,0.9500000000000001,0.8892284893952026,0.9447101571432244,0.8403875356634972
7,0.9583333333333334,0.8883949245160694,0.9291028539689883,0.8446345958870755
8,0.9666666666666668,0.8948318977493751,0.9143252568062868,0.8445420190448667
9,0.9666666666666667,0.8955821061405947,0.929122222855093,0.8566160496232449
10,0.9833333333333334,0.9048068908030009,0.9685196809527481,0.8623052334657672
