dims,MDS_kappa,MDS_spearman,normal_kappa,normal_spearman,shuffled_mean_kappa,shuffled_mean_spearman,shuffled_median_kappa,shuffled_median_spearman,uniform_kappa,uniform_spearman
1,0.5206336199557297,0.3078553697057853,0.22954461919824673,0.09673083705869841,0.23474066639680607,0.1007473295626431,0.23386365618781355,0.10029892436172833,0.23017246223634014,0.0985812347801767
2,0.6804622516403099,0.5692058033625467,0.28537143302581425,0.16374610567838246,0.27504980266229123,0.14926999365443933,0.272715719926586,0.15101416945763804,0.283538846414348,0.16050088475070834
3,0.8348675179533098,0.7406724018800528,0.31752983617389346,0.20150524540827258,0.31612279161082824,0.19873096758168585,0.3157719614473218,0.1996738884093636,0.31647183118262684,0.20123840822644595
4,0.8903851019912973,0.8285755204292766,0.3377131353191733,0.23020833348941594,0.34773723445877,0.23467486694247996,0.3484976434980762,0.2392193355957464,0.3435713787650668,0.231362236063787
5,0.9208838083336086,0.8429169259287632,0.3591628278848332,0.25423560954288615,0.37434725021361814,0.2668379673778609,0.37334106683759516,0.26620726282407847,0.3703505214390097,0.2602426927242239
6,0.9310520232144234,0.8544247066358005,0.38925775303715004,0.2881023972063062,0.3963269814088906,0.2932678984463441,0.3987481794415752,0.29596544071581143,0.3934211586931943,0.29485284746364543
7,0.923264760714561,0.852921162579523,0.4235700057233919,0.32448486005972327,0.41871433055866747,0.3222305924735279,0.4214725153004787,0.32187028401772383,0.4303649295305682,0.32843620099851434
8,0.920848161778548,0.8564631682872541,0.4497012706444064,0.3516759133638642,0.4428288633533963,0.34434921354023795,0.4484880648461696,0.347102957519521,0.4532837141211413,0.3531366142975047
9,0.9397898811897074,0.8618153764405108,0.46184858027096487,0.3634685006269105,0.4615124802537409,0.3654049153825988,0.4650904920586315,0.3657635392802142,0.4602367638775347,0.3630904392125178
10,0.9670639279763282,0.8737071497683127,0.48034020458831933,0.38433207671474096,0.47629657383887275,0.3834915903968813,0.4805185881569302,0.3840105339638288,0.4848353093786637,0.38721663290955066
