configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,reconstruction_loss,mapping_weighted_med,mapping_weighted_r2
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_2,4,6,0.245745879333325,0.370180100845845,0.11105908106646567,0.3254614380224741,0.24118022515478738,0.37040357406727503,0.12455564985811711,0.28594822963398336,0.10668388550460338,0.4638802269529408,0.5772770317624267
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_3,2,4,0.2508492835180254,0.39967646750518543,0.08663583321375108,0.353865774544464,0.24704196126565425,0.39663459265434214,0.13747371666237712,0.39404703076484965,0.11284577714214722,0.5807507996358074,0.570325367020614
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_2,2,4,0.24261727068096517,0.3601921676720895,0.11582573888808355,0.2803077353102335,0.23763003093934362,0.35488330360469494,0.13824713642184933,0.41191265543238326,0.1125025956770281,0.5627633417727579,0.4606604749666989
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_5,2,4,0.24065813777016332,0.3814576795842014,0.13968382714694258,0.3513829087631624,0.23722932887164466,0.3755552663667421,0.14314859888151288,0.4930886843836622,0.11233055623347561,0.662363458028395,0.4517021245266183
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_7,2,4,0.24415612324714467,0.39979735502610303,0.10581079763253208,0.3640912930354478,0.23832832281627833,0.3891736044384412,0.14716216811582447,0.5512571083634769,0.1127085988354683,0.7147617139713717,0.37914249975342984
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_9,3,8,0.22639732085915648,0.3730295664233352,0.10508640138636617,0.3610417275415254,0.22291891365909855,0.3699075186236681,0.15319309068222842,0.7761825250421359,0.10468168280998866,0.8386867862604582,0.21188697215457952
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_1,0,8,0.2227857813760194,0.3483051529308828,0.13243594902989875,0.24812569876633087,0.22033588632367088,0.36584607508659345,0.12284046451220909,0.3495411847171394,0.10099414040724436,0.426370725594348,0.44347356100172486
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_1,2,2,0.2155052727974366,0.3117506805675875,0.03715239089908051,0.2549559098529154,0.2112920276035202,0.3125856891160721,0.17138116799215475,0.6839589937098162,0.1286337307998538,0.6256931395102467,-0.3884250781041907
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_3,4,3,0.2381351504839674,0.3872840620272372,0.11679943186040746,0.3583207672539732,0.23182180878540068,0.3794950334817634,0.15246992789238692,0.5930680908302367,0.11540317232226333,0.709184989451112,0.3027855729287411
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_6,2,2,0.22501770494528736,0.39851535355965934,0.10001562766320476,0.3779628049235382,0.2187539615482599,0.3799312147993513,0.15816941639934978,0.5569922976409462,0.12335739780828357,0.7093803923401306,0.3781723517527439
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_2,0,4,0.23713926879779698,0.3824477140124009,0.11557513694346398,0.3165905276309876,0.23070323656384362,0.3934341490152903,0.12536649237344663,0.24886175240035602,0.10981263291701675,0.41227535221843786,0.6862276257025152
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_9,0,13,0.22613366672992133,0.42347615094822827,0.12064460544816384,0.3644034886682271,0.22217624435447075,0.4102215587657391,0.12923797430977224,0.5364188104875293,0.09571179857025544,0.704264405614506,0.4262082965990792
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_9,4,19,0.20387708152339667,0.3728547588983285,0.1384269017684601,0.3120514658597767,0.20445790373879097,0.36894043286033584,0.14194402359197536,0.747212551866905,0.09524323906560739,0.8315693811695068,0.20125960144024382
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_6,4,5,0.23903966687782863,0.4028808481164262,0.11570435357115845,0.36145153943711233,0.23669679973932808,0.4027984314456467,0.14281602844178676,0.5605871894849501,0.10777932902112604,0.7109391047563577,0.38489758185231226
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_5,4,1,0.2025118230126047,0.37700628458176266,0.1597959384211238,0.3653525669780359,0.19621283871711515,0.3621403337967782,0.17441568090498447,0.6437849242664583,0.13417912293682496,0.7551578120474299,0.29901670854295875
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_9,2,4,0.2445777088102286,0.3881642085367076,0.10921741781720422,0.3734376765282864,0.2404388610686212,0.37074224561081925,0.1528168058317403,0.6432782941732437,0.11261191257476806,0.7741832538814165,0.29460294143925964
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_10,4,3,0.2307423931176904,0.40360280061136666,0.10096060582937436,0.37669828109437126,0.2246679063975892,0.3909406922830934,0.1568704027248919,0.6786743933870236,0.11445325336749355,0.7906136512144247,0.2725165512975181
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_6,0,5,0.2475640486502784,0.43246828406489807,0.10037456274013382,0.3678096706775195,0.24512851100100702,0.41782457399182327,0.13255639919221401,0.4170262269564958,0.10649226003468036,0.6125429118788346,0.5435904962947574
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_10,2,10,0.22664400714839136,0.38642805855753803,0.12559790950978483,0.32995164862537063,0.22305857203448548,0.3648701449060426,0.14597454424599807,0.6779977698267596,0.10359968348587553,0.798659973465232,0.2619462493262766
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_5,1,3,0.24587248552409635,0.42862809221849546,0.09759444741701058,0.37496340296949054,0.24171014385018086,0.39754569401219714,0.1534240942911307,0.6135704485074736,0.11507594132979711,0.7342320493282606,0.3517688244013318
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_1,1,8,0.2427908647363527,0.35360993680699737,0.11163076675262905,0.23068741813727275,0.24379588295175403,0.3637270105735668,0.14520710483834148,0.6536337476424976,0.10435499561732015,0.6354981570143957,0.2735028417289354
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_7,1,7,0.24577720457640245,0.4157450110133527,0.11849621586043572,0.37800664997222977,0.24343433743790188,0.40026029508082067,0.14685330431039134,0.6681793448255273,0.10509209489976366,0.7735406181588736,0.30457167968701065
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_2,3,4,0.2382147688101226,0.37668816928491544,0.10360497843249533,0.32066599691008274,0.23799940776396517,0.38880131378851673,0.1440715210238596,0.490288614434993,0.1134284826695919,0.6024443089624766,0.535349638637053
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_7,0,5,0.2392380600839858,0.4371706123231058,0.11997241794046033,0.388871101908319,0.23449881185006072,0.4305470306342965,0.1350621211092174,0.45949761360955,0.10634352017919223,0.6456924480167605,0.5016011524967167
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_8,2,4,0.24641023553025912,0.38822521622893263,0.10117074600168555,0.3427922750931795,0.24480090116715542,0.3787527101565396,0.1526469147926569,0.6322409869619711,0.11313185313805937,0.7646709178617622,0.3054607047500283
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_8,4,2,0.22317995735141058,0.3990154592108174,0.08888341940455775,0.39315604962119755,0.21632364477283483,0.38508852139297006,0.16185141396810612,0.6211625959759796,0.12302875154644251,0.7508167059753443,0.32991329787424123
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_1,3,30,0.21469995300665393,0.3090663838574229,0.1589671246980331,0.212644372131975,0.21565537292051598,0.32700947276742637,0.1576294631347557,1.022918643311125,0.09369704804564516,0.8432107055616219,-42.997582332999656
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_8,0,5,0.24991996797339455,0.4295611602775421,0.1063681259156183,0.36796494446875816,0.2474152537456605,0.41441654319734517,0.1369490988596777,0.4858352000969332,0.10658439896528919,0.6605424309452201,0.4753710493103504
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_5,0,14,0.22559983237914322,0.42555187162838753,0.16352103191041664,0.35526986968146923,0.22350887240372375,0.4102700596265382,0.11954724644968907,0.394410457191153,0.09489659284681082,0.584383302083513,0.5692076618644366
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_5,3,19,0.22296329108679158,0.3734358436218801,0.1611246508149921,0.3103327779976606,0.22320997737602646,0.3681428218935394,0.14229937718143065,0.7377529571736493,0.09618981725022197,0.8131607507671451,0.26237159254968206
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_8,1,4,0.24746615726566135,0.4147916834631678,0.10451471570020279,0.3568352728255548,0.24675611842257258,0.4004280179568712,0.15726751989096402,0.7181785927706292,0.1123813578971227,0.8120362096493212,0.2557400917050487
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_7,4,3,0.23993243630553582,0.40807219006353873,0.12946396659292614,0.38555660502060285,0.2392811322932173,0.398306188974138,0.15292857868731022,0.5985564805834301,0.11551879855573177,0.7423017949154412,0.3525297176812294
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_10,1,3,0.2391401686993688,0.41083920140266966,0.080878514579809,0.3790436379981737,0.23720714015779812,0.4042499444528401,0.1623054364438355,0.7471037730284625,0.11561145061060786,0.8320271678944258,0.21597364610382316
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_10,0,6,0.24308714932712688,0.4191830262278275,0.138620074100771,0.35589963649063555,0.2432724903486684,0.4031791230012495,0.13810776162222027,0.5471142669500042,0.10391312016859651,0.7101659041937733,0.4109128076804817
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_2,1,2,0.2276725192961008,0.37025812981934153,0.0947960590354255,0.30975253193885804,0.22134220975753383,0.3730838243370573,0.15510113956098756,0.49704390129304266,0.12403589576701324,0.5902631944184897,0.4673986864654748
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_3,3,7,0.2378179823978083,0.37511945769122984,0.1258746158236356,0.33230022524940767,0.23530413164084332,0.3865302869383683,0.14374872339611253,0.597114717248969,0.10642905355383953,0.716253952555333,0.4419119249123434
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_6,3,4,0.23300433671157425,0.39596748363447626,0.10445337043250948,0.39493165385023854,0.2312122717638521,0.3849734543958938,0.15406880212361615,0.6568503227472507,0.11301565689966082,0.7682942800684412,0.3457902878822188
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_1,4,8,0.22452824802220228,0.3442240983358586,0.10281662648171297,0.22720956872387252,0.2244747340652783,0.34298350814312306,0.1256316941759487,0.3527575768500702,0.10358434552277128,0.4593074759095972,-271.3533776460876
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_3,1,5,0.25427809241654403,0.40743669021260376,0.08831173371839439,0.32793973032668244,0.25009747768416674,0.4068211864912314,0.143759407149901,0.5523348287814307,0.10923848021144668,0.6809855349614603,0.40272604295999354
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_3,0,14,0.22454391064374102,0.4063794666184786,0.1363241948268866,0.32922124269694497,0.22465093855758891,0.4169342666854452,0.11842772689903776,0.3618919627883921,0.09580947915504376,0.540903987917038,0.602956815453624
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_8,3,50,0.19577167487710778,0.3692135145687566,-0.02509739318811044,0.3713101201332322,0.19631073010173217,0.3621157664300158,0.1521840932561457,0.7528351960756526,0.10513189347609878,0.8231214588101435,0.23904119976836335
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_10,3,15,0.2217585744467715,0.3585833226937676,0.1544106070487264,0.3230050719218206,0.22157975951753778,0.3593663096020813,0.1514408813647429,0.8544366324259752,0.09803859177157283,0.8845279312638832,0.1305471387562342
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_9,1,6,0.21741872306208382,0.4107955179306447,0.07357320685045653,0.36371300888456104,0.2131101969204736,0.3923603318962497,0.1679246056178709,0.8068628679017902,0.11749567632650336,0.862385657708483,0.16028578381555078
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_7,3,9,0.2141191307912596,0.3648106933163387,0.12529379360824128,0.359772937279463,0.21209343173891818,0.37067934342160147,0.1474262144112587,0.706459221510786,0.10327251321643591,0.8005517889574362,0.29142718745599383
c0.0_r1.0_m0.0625_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_6,1,4,0.2516663502749621,0.4292285906495176,0.10341180610018443,0.38294600457185196,0.24664256441641688,0.41805421709599466,0.1505944854745269,0.6257521607674785,0.11148497530897458,0.7562575774525229,0.3358597442232577
