configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,127.6,0.16783999979971936,0.22854411069839947,0.14177504816605432,0.15727297561440137,0.15535532417120365,0.2346488527816298,0.25576224394263825,0.14544014678025247
c0.0_r1.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,80.2,0.16209860483100832,0.22078321112012186,0.15608102563583115,0.17232524076013492,0.15411301723949067,0.23177297837019903,0.1395458336390555,0.1367075021672845
c0.0_r1.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,49.0,0.14679961715567652,0.21704577706522418,0.14848126062155068,0.17122487132168174,0.1377476660810642,0.2244140417128917,0.12475473091612259,0.12200104672240217
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,178.8,0.08632440808882283,0.14573488582667138,0.13858483320230888,0.1390183948086619,0.08657735942667318,0.14956526666142597,0.10997455834305285,0.10997455834305285
