configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b512_w0.0005_v0.0002_eTrue_dFalse_n0.1_mean_4,1,57,0.06429310358876346,0.06896317752697007,0.04872445777927331,0.070710208592349,0.06437141669645707,0.06929563240001765,0.1682946748891473,0.16561654879242182
c0.0_r1.0_m0.0_b512_w0.0005_v0.0005_eTrue_dFalse_n0.1_mean_4,4,79,0.06035525949023631,0.06057692014712927,0.06287302590258596,0.0651171624175408,0.060855158161013875,0.05759475560674465,0.16662544920821984,0.16258595302482445
c0.0_r1.0_m0.0_b512_w0.0005_v0.002_eTrue_dFalse_n0.1_mean_4,4,200,0.06612563030879398,0.06663635697602813,0.05146280611162662,0.0636454953386368,0.06612954596417867,0.06592420278471599,0.17092870887885492,0.16353110190997522
c0.0_r1.0_m0.0_b512_w0.0005_v0.002_eTrue_dFalse_n0.1_mean_4,3,145,0.04709946079463085,0.046421706642923055,0.02005924992648804,0.01978675145412289,0.04709946079463085,0.046203685107362405,0.18192476983537276,0.17699080164899428
c0.0_r1.0_m0.0_b512_w0.0005_v0.0002_eTrue_dFalse_n0.1_mean_4,2,96,0.06369922918875356,0.0657825702020398,0.06683175349649806,0.007932552491030479,0.06407252166875979,0.0619319387335713,0.16783184149106345,0.16531603374322257
c0.0_r1.0_m0.0_b512_w0.0005_v0.0002_eTrue_dFalse_n0.1_mean_4,4,122,0.06082252769947486,0.05923150539505184,0.0549960324870701,0.06265804447968741,0.06083949553947515,0.05740629185024073,0.16535090450535217,0.16287072543392578
c0.0_r1.0_m0.0_b512_w0.0005_v0.0005_eTrue_dFalse_n0.1_mean_4,0,191,0.05951208836406841,0.0548087982861609,0.05481460712091324,0.046490158092219735,0.06009552101638583,0.05459878383596559,0.16516417019257942,0.16140568010697762
c0.0_r1.0_m0.0_b512_w0.0005_v0.002_eTrue_dFalse_n0.1_mean_4,0,143,0.06937431905961734,0.06750039185376482,0.04574203359460824,0.06408453249527316,0.06937301384115578,0.06727778117884146,0.17026288838287196,0.16278035969634852
c0.0_r1.0_m0.0_b512_w0.0005_v0.002_eTrue_dFalse_n0.1_mean_4,1,149,0.06568055081340196,0.06666578785927309,0.046749662246932715,0.061363348666237626,0.06567794037647884,0.06461221154112479,0.17657039491345486,0.16813893047978481
c0.0_r1.0_m0.0_b512_w0.0005_v0.001_eTrue_dFalse_n0.1_mean_4,1,192,0.06591810057340591,0.06581361835005345,0.06530725833339575,0.058334303202187576,0.0659220162287906,0.06439312109151993,0.1709033983115355,0.16578960291186967
c0.0_r1.0_m0.0_b512_w0.0005_v0.001_eTrue_dFalse_n0.1_mean_4,4,197,0.05929542209944942,0.056809919074059786,0.05689904100402488,0.0556887357140581,0.05928759078868006,0.05654503793257594,0.16788912675837675,0.16279102228144804
c0.0_r1.0_m0.0_b512_w0.0005_v0.0005_eTrue_dFalse_n0.1_mean_4,2,152,0.0728809031546245,0.07545603877148305,0.0659298057540465,0.06581172028233193,0.0728769874229508,0.07816604649069155,0.1690880573083957,0.1653721994449695
