configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,48,0.15918640139957518,0.17522216593792442,0.05329272239473403,0.17423144192875664,0.15964061742419816,0.1732672461690174,0.133267870007505,0.13067047974571586
c0.0_r1.0_m0.0_b32_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,142,0.14071756016849826,0.18538646908914974,0.1371373459284386,0.2296536484859101,0.14154376345466588,0.18987642170971714,0.1336641795639197,0.1310779630294939
c0.0_r1.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,70,0.18368535192306026,0.2231893648215902,0.13575511957764635,0.2278272523829402,0.18255372751688756,0.23806540213463195,0.13673191247736413,0.13391598028421403
c0.0_r1.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,3,76,0.14764174410707517,0.16084780402009255,0.10980607134336787,0.20586293420486762,0.14807899229169783,0.1687642444002735,0.13748183245067794,0.13506027477333943
c0.0_r1.0_m0.0_b128_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,107,0.14866503538093837,0.1880813189443334,0.13535050185456268,0.11642148990781095,0.13706294847612968,0.18733835682361508,0.13313690593158206,0.13034918384671212
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,2,71,0.17216288334440677,0.21767320738720333,0.12233355813742273,0.1475262771627752,0.1696725265197499,0.22724660945898995,0.1320061284285287,0.12916325489019354
c0.0_r1.0_m0.0_b16_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,4,84,0.14026987023618312,0.13275775898993616,0.019250014480320713,0.11184350622805725,0.1364455801438117,0.13621163796544628,0.13377256052657963,0.13134149403681358
c0.0_r1.0_m0.0_b2048_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,163,0.1552198424948937,0.2204273133657356,0.17843184761528044,0.22531712888243294,0.13877931075308136,0.21725108930363066,0.13507997447902959,0.13217506694277129
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,1,91,0.13845170091922976,0.17078356043515477,0.0967538867277658,0.14576966677772998,0.1320704878606619,0.18434227867175437,0.1318850601600607,0.12915723569502432
c0.0_r1.0_m0.0_b64_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,0,53,0.16060647908575268,0.20573909185426018,0.07412661947815806,0.17996486950203477,0.15691793171338356,0.2094473034723928,0.1302708830526968,0.12755267176806925
