configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,2,199,0.07332391012429854,0.13248608383410312,0.14493080536241462,0.13713437637867198,0.07311115951506422,0.14447255736928075,0.11083472854738434,0.11083472854738434
c0.0_r1.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,3,61,0.14706222711014244,0.2101508267226475,0.11363427709112396,0.1837916049323755,0.13745712445152086,0.2212087575935775,0.12657413841749232,0.12384942101841172
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,0,187,0.09763490918931896,0.1483069904203202,0.14500520281472354,0.14714733086529957,0.09660248138622482,0.14429813463635305,0.10959977461551626,0.10959977461551626
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,0,187,0.09763490918931896,0.1483069904203202,0.14500520281472354,0.14714733086529957,0.09660248138622482,0.14429813463635305,0.109599774548014,0.109599774548014
c0.0_r1.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,2,27,0.19922136727101142,0.26561219619558585,0.11442523947882945,0.06399482789552616,0.19561504866172055,0.26826418872915986,0.7057035329786936,0.1676648510092497
c0.0_r1.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,0,189,0.15561532368874645,0.24490869957464775,0.17880252965836355,0.18696069968186835,0.14282679320237956,0.23924275957522814,0.14103926540916165,0.13748930205052098
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,3,194,0.09264897466615896,0.1553004650959868,0.12191066735587723,0.13219750215372478,0.09265289032154363,0.16383492779358141,0.11178869171251854,0.11178869171251854
c0.0_r1.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,4,57,0.1404604321315709,0.21011352653633342,0.1440354254977843,0.20409825511165464,0.13157581006373056,0.21999905165025332,0.12416388519719243,0.12140093602334459
c0.0_r1.0_m0.0_b512_w0.0005_v0.0005_eTrue_dFalse_n0.1_mean_4,1,191,0.06509059206877675,0.07035659590320173,0.060182970653310366,0.05411665593397417,0.0651480216810854,0.06912876025360842,0.16909267185151577,0.16550956843316555
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,1,169,0.0706351600934845,0.14791279777090413,0.14251093033468198,0.14385373557936101,0.07124339189657156,0.14787616051266234,0.10772910028631488,0.10772910028631488
c0.0_r1.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,1,47,0.14607417673474135,0.22277056588958272,0.18356788226151985,0.1646850982723535,0.13037239864217207,0.23047344001218223,0.12465503806168834,0.12189498358468215
c0.0_r1.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,0,53,0.14271193397776225,0.21843391207265112,0.11552292820500158,0.14658300374196132,0.13462741082685833,0.22294254114900774,0.12204367403542002,0.11929239639416336
