configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b256_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,3,188,0.20252487519722032,0.2593225268777023,0.2082221537819306,0.14977434430115372,0.1974645432217514,0.26041971746202697,0.08457055822119117,0.08457055822119117
c0.0_r1.0_m0.0_b256_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,2,193,0.22328306960987385,0.2915479594873699,0.19617237694480677,0.17523777993702444,0.21208298999122568,0.2732866622065574,0.0855554253446559,0.0855554253446559
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,2,176,0.2169632018189993,0.3216576773314118,0.19607448556018975,0.14733958275953427,0.20948038437887462,0.30922646359617556,0.08445667755799989,0.08445667755799989
c0.0_r1.0_m0.0_b256_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,0,200,0.2044670402680219,0.29503264768313453,0.1914579278616513,0.14903565170476166,0.19497549161555608,0.278173460195598,0.07963993664577604,0.07963993664577604
c0.0_r1.0_m0.0_b256_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,1,190,0.2049721598126457,0.27066353246055486,0.19647127197250408,0.15040468202204563,0.19459567304324205,0.27318202605854236,0.0849773013744255,0.0849773013744255
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,3,197,0.2026436500772223,0.2957934190137547,0.19211314752935454,0.16578768629053559,0.19408794306169513,0.28296184069235064,0.08383500993994375,0.08383500993994375
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,2,171,0.23546467351161526,0.25019901189614246,0.2557869249581077,0.2218434704798174,0.22735274077301856,0.24985818340357097,0.12156668919061621,0.11810028982063135
c0.0_r1.0_m0.0_b256_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,4,189,0.19175160201550237,0.2655719590031063,0.19515039088940514,0.16316900725283207,0.18791034408313065,0.2602300946039158,0.08232407394682367,0.08232407394682367
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,1,190,0.23677380762856015,0.23825306901292112,0.26385970114285756,0.2125799276428993,0.22986137065613726,0.24715499512338807,0.12142215357934436,0.1180517084920903
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,3,116,0.24251415842250193,0.26310979255198125,0.2675965415983044,0.22650512921142626,0.23589409038546857,0.26686910961111215,0.12204551943848531,0.11857074365377426
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,0,133,0.23527019596084278,0.2636236756942426,0.2519861287980444,0.23939739963595413,0.23492300785006778,0.2686888133683736,0.11735394721324245,0.1139440096898377
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,1,193,0.1957847270617234,0.30865022643523854,0.1817562390368743,0.14584078102638093,0.19484235933247693,0.28884062761726625,0.08553403465042511,0.08553403465042511
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,4,200,0.18918945817545968,0.28794273445577157,0.16985395188590677,0.13722310538549118,0.18984989871700914,0.2970436437668237,0.08125549415605764,0.08125549415605764
c0.0_r1.0_m0.0_b512_w0.0_v0.0_eFalse_dFalse_n0.1_mean_4,0,196,0.19357890786168663,0.2955795152127278,0.1887352421508367,0.17233068866033965,0.18990471789239466,0.2921466123507717,0.07874541575498879,0.07874541575498879
c0.0_r1.0_m0.0_b256_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,4,171,0.23420905335159434,0.2660096037798663,0.2478642488964372,0.2263476416646634,0.23389710613928147,0.26341051709693564,0.11990731362943848,0.11648696081017454
