configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,reconstruction_loss
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,1,130,0.15686441775645957,0.2019064923069381,0.18813745209544214,0.16405336219484404,0.15362747597179027,0.20919725783228707,0.12969779212966562,0.12697029700895152
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,2,64,0.17356468797212243,0.2284234569690912,0.0703206024442485,0.1721280326562048,0.16057384862421367,0.22953424257004634,0.13068267650008203,0.12790239033947387
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,3,83,0.1619156132026976,0.2275467364276555,0.11653577773117231,0.18566142856175485,0.1424939624946817,0.2333434524039762,0.13142737775246302,0.12878519229536256
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,3,58,0.15699755003953872,0.18629533653861746,0.10313118413094897,0.20694178548638953,0.15016734183019415,0.18843408003057557,0.14417342252219717,0.141411760515819
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,0,20,0.16907343124589377,0.220734138507876,0.10645427033408127,0.19764431225824025,0.16459000583043443,0.2225880488334115,0.14052585134501258,0.13756305346339942
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,4,193,0.09820267922009764,0.1288559043485546,0.11897392581736678,0.1137135466941536,0.09602296438929209,0.12876927072505687,0.151981993723015,0.1489506803196172
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,3,193,0.0915552015953715,0.12514944967939762,0.09893099112164823,0.10441339012102717,0.08718533018606793,0.11879002001267056,0.15986563796848058,0.1568926476899286
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,4,20,0.17470283847060294,0.21802085187527367,0.09705017131853998,0.20926100994490088,0.1753502268275368,0.22792461429235195,0.1416940272889038,0.1388129175314804
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,1,193,0.1076276617310239,0.12430135225608525,0.10359714712172598,0.1180048417913703,0.10268349419863383,0.11691049760967127,0.15552766982366642,0.15233774844457706
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,0,200,0.17073366912899834,0.24437542081672686,0.09399073924464285,0.16680381133386876,0.16545667088891042,0.2473570496624673,0.12718414462074637,0.12435453257014355
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,1,11,0.18159961282148707,0.21972768085472816,0.10867314171873363,0.1800455230219383,0.17172302472286097,0.2235021904651584,0.142028307912002,0.13903378543267647
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.25_mean_4,2,11,0.1966996852032771,0.23927459772666357,0.11333016118958043,0.14838556731474442,0.19501595338786443,0.24552508494261516,0.14411190869341295,0.14097811997259657
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,0,3,0.1336732961314578,0.14578023861227604,0.07930964198901364,0.16570184020144163,0.13580732831610876,0.14507559925997598,0.1614413710741202,0.15879938029328983
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.55_mean_4,2,198,0.11162685109724435,0.14673396137618683,0.13227540715912683,0.10239373296232532,0.10774643661102587,0.14809978072797367,0.14982624611601233,0.14651587863559523
c0.0_r1.0_m0.0_b512_w0.0005_v0.0_eTrue_dFalse_n0.0_mean_4,4,184,0.1433501858054652,0.19439325990878398,0.11238518302341083,0.1479367728659089,0.1405726809192651,0.19465141185834683,0.1274916574647526,0.1248708513490359
