aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2
max,1,300,Euclidean,0.3023323542867194,0.16559642955264284,0.11280816961485876,0.09140485244855046
max,1,300,Cosine,0.20618468253295288,0.15859676880351778,0.10760875244957956,0.04251212331121457
max,1,300,Manhattan,0.29388807970376746,0.2083836407453442,0.14208352232134552,0.08637020339196799
var,2,150,Euclidean,0.09540524148777088,0.07037282806266443,0.047081009620678974,0.009102160103339751
var,2,150,Cosine,0.406131306221158,0.105921794232892,0.07146764954356663,0.16494263789290398
var,2,150,Manhattan,0.07699191107169752,0.06631149160120237,0.04461544665034052,0.005927754370472216
mean,2,150,Euclidean,0.3007726743429577,0.16543173705983466,0.11270891495531599,0.09046420163141489
mean,2,150,Cosine,0.20508061271072703,0.1584722858603826,0.10755149014599717,0.042058057709807084
mean,2,150,Manhattan,0.2926578728335924,0.2079982322885631,0.14181725260968747,0.0856486305314832
min,2,150,Euclidean,0.30826118114390116,0.1693757276828973,0.11540596945404562,0.09502495580023296
min,2,150,Cosine,0.21148953653958413,0.1626364818477445,0.11035638864980696,0.04472782406572806
min,2,150,Manhattan,0.29934712456841167,0.21279401265261247,0.1450332503678169,0.08960870098737617
median,2,150,Euclidean,0.3007726743429577,0.16543173705983466,0.11270891495531599,0.09046420163141489
median,2,150,Cosine,0.20508061271072703,0.1584722858603826,0.10755149014599717,0.042058057709807084
median,2,150,Manhattan,0.2926578728335924,0.2079982322885631,0.14181725260968747,0.0856486305314832
std,2,150,Euclidean,0.17199260482280287,0.08132684079142556,0.05466020907041462,0.02958145611373275
std,2,150,Cosine,0.39895228367989566,0.08969370865181436,0.06060021869535915,0.15916292465340398
std,2,150,Manhattan,0.15404713707395884,0.10970320774126781,0.07396714840481353,0.023730520440683023
max,2,150,Euclidean,0.29417028148649627,0.16059478234657062,0.1094516442532055,0.08653615450984431
max,2,150,Cosine,0.1994912213990957,0.15371058837014717,0.10440969842277782,0.039796747415302924
max,2,150,Manhattan,0.2863409450618884,0.20310306125616978,0.1386441650955628,0.08199113681893533
product,2,150,Euclidean,0.3921513666338502,0.2390577547850872,0.16336314870428062,0.07277524090022292
product,2,150,Cosine,0.2944312886445707,0.23362715426005543,0.1593414262493455,0.08668978373290259
product,2,150,Manhattan,0.3343890335391375,0.2519828632789002,0.1718102928544066,-0.34467241147903893
var,3,100,Euclidean,0.1015383863175398,0.06821297605561787,0.04580594792601852,0.0103100438959699
var,3,100,Cosine,0.40832715816637827,0.10546390646676482,0.07129204514591403,0.1667310680962305
var,3,100,Manhattan,0.08595336987738562,0.07109676328977471,0.04768088863545007,0.007387981793278708
mean,3,100,Euclidean,0.29915728769644323,0.16512174060357845,0.11245096629105868,0.08949508278189267
mean,3,100,Cosine,0.2039463213541978,0.1584191660319582,0.10755053577427082,0.04159410199390967
mean,3,100,Manhattan,0.2913172273932305,0.20701642874461712,0.14111865250598257,0.0848657269760793
min,3,100,Euclidean,0.3124082438707484,0.1720952059918532,0.11739583450353298,0.097598910838405
min,3,100,Cosine,0.21543693590161073,0.1657269530785104,0.11256194170945458,0.04641307335067468
min,3,100,Manhattan,0.3027521280102602,0.21520063082068216,0.1465162765922856,0.09165885101474092
median,3,100,Euclidean,0.3008957737329167,0.16501136963853313,0.11238729168352835,0.09053826665033049
median,3,100,Cosine,0.20510563932477738,0.1583528195066535,0.10740451690013576,0.042068323282825615
median,3,100,Manhattan,0.29296743166815037,0.20811136016570667,0.14189520318044066,0.0858299160182322
std,3,100,Euclidean,0.1950598501921491,0.08792686909746486,0.05922065701870914,0.03804834515698363
std,3,100,Cosine,0.3892827209417228,0.09605317939047009,0.0652709139242278,0.15154103682379128
std,3,100,Manhattan,0.17250397136974005,0.11651458819187593,0.07863402683690025,0.029757620138332053
max,3,100,Euclidean,0.2866678225686544,0.15658361189394807,0.10669923619434624,0.08217844049625356
max,3,100,Cosine,0.1935829775849379,0.14894343423880335,0.10127076981473757,0.037474369210650615
max,3,100,Manhattan,0.2788422923829602,0.19849018204906813,0.1354206730443762,0.0777530240213844
product,3,100,Euclidean,0.2856178991754709,0.09892686438881393,0.06697923931443518,-0.0574039774653623
product,3,100,Cosine,0.29603075549857155,0.11920114015607917,0.08040820387622737,0.08763420820105505
product,3,100,Manhattan,0.2578456898931106,0.13664063917892533,0.09234262231451967,-0.31430800731608954
var,4,75,Euclidean,0.10433220327938722,0.06679554020707387,0.044713213531685385,0.010885208641131294
var,4,75,Cosine,0.4060149471899969,0.10087198022477781,0.06813021161644083,0.164848137341696
var,4,75,Manhattan,0.08910029363210885,0.07149004727503727,0.048079816017073916,0.007938862325327922
mean,4,75,Euclidean,0.29818419752386605,0.16538659194614838,0.1126736032014402,0.08891381565295198
mean,4,75,Cosine,0.2032950535021478,0.15881914648653794,0.1078673871874266,0.04132887877844127
mean,4,75,Manhattan,0.29071904510330104,0.2068692112661017,0.14103517862972495,0.08451756318577508
min,4,75,Euclidean,0.31569179785641877,0.17361525150189383,0.11824000450657415,0.09966131123381794
min,4,75,Cosine,0.2186995385058649,0.16768847096855866,0.1138226667599931,0.04782948814267829
