regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.004256416605453469,0.11905888705623996,0.9829811070937456,0.1569490148325463,0.760970143335102,0.37137374009871094
linear regression,shuffled,0.005960442261023793,0.14079043204592043,0.9761063888530156,0.2878239517334565,1.057002446804998,-0.15481132802981823
lasso regression (beta = 0.001),correct,0.00455334845385036,0.1227097964566882,0.9817921823969995,0.1534090218865575,0.7514812818412668,0.3856070693318123
lasso regression (beta = 0.005),correct,0.005847403151232624,0.13866352982574157,0.9766142892580235,0.15004724731512153,0.7419365439559262,0.3994356019552153
lasso regression (beta = 0.002),correct,0.00493536938480726,0.12760525932213146,0.9802633651787112,0.1518144625430237,0.7471258009158012,0.3920688934271536
lasso regression (beta = 0.01),correct,0.0069429879710473374,0.15093382957702856,0.9722323989798237,0.15047464468508864,0.7419899956353063,0.3979940025767398
lasso regression (beta = 0.02),correct,0.008558448400363128,0.16752439545886988,0.9657680929481127,0.15112653036674015,0.7427298037445609,0.3957555163941431
lasso regression (beta = 0.05),correct,0.012072673593755592,0.1994553398493262,0.951725860376774,0.15481038733024116,0.7505677507983625,0.3816230953758021
lasso regression (beta = 0.1),correct,0.01702884290888963,0.23868244877912081,0.9319276002538934,0.15976354866971818,0.7628922931005815,0.3616090863341248
lasso regression (beta = 0.2),correct,0.027453905240904065,0.3078501928621588,0.8902634407636827,0.1648626256479935,0.7771384680862212,0.34115786340630516
lasso regression (beta = 0.5),correct,0.063293295297021,0.48232447503091175,0.7468820186859362,0.1713679305090283,0.8022880738819655,0.3148328060442057
lasso regression (beta = 1.0),correct,0.1294042675267974,0.7077428865047457,0.4818378121267265,0.20280958544292133,0.886546341381327,0.1888043146885375
lasso regression (beta = 2.0),correct,0.24328445993704334,0.9819118264555489,0.02668996113690683,0.2574669935103314,1.009670272636421,-0.029979172809747157
lasso regression (beta = 5.0),correct,0.24943182515249374,0.9943454490930392,0.002280809383675697,0.25852262271394755,1.0118524396850828,-0.03421214075582746
lasso regression (beta = 10.0),correct,0.24943182515249374,0.9943454490930392,0.002280809383675697,0.25852262271394755,1.0118524396850828,-0.03421214075582746
random forest regression,correct,0.0006240310720920918,0.021636546289917995,0.9975013705609501,0.20182624401794572,0.8719885253154287,0.19305319181577674
random forest regression,shuffled,0.0007358136044829232,0.028364458046629747,0.9970525282768824,0.28008418143222125,1.0474434785993558,-0.12174205340038796
