dim,metric_stress,nonmetric_stress_primary,nonmetric_stress_secondary,nonmetric_stress_tertiary
1,0.558572108833226,0.556304856440045,0.556305234163623,0.527439026066941
2,0.336577161566124,0.302273909256422,0.302291400424673,0.283957021512516
3,0.244846056248385,0.223378268746912,0.223412840151795,0.211085394137157
4,0.188072293133918,0.173333402273325,0.173350012277494,0.163554702503565
5,0.151600659715284,0.140682076443135,0.140729935464355,0.132476784495983
6,0.12711283994036,0.118810599792253,0.118822246327101,0.111887252428849
7,0.110164330646766,0.103807360878645,0.103810343743516,0.0976676406754731
8,0.097528581823617,0.0931549594366832,0.0931608385369298,0.0869511500961044
9,0.0870912856737203,0.0835464041740675,0.0835652113810561,0.0782963885249375
10,0.0784450282032026,0.0756450040544931,0.0756585958444955,0.0711577020710202
