configuration,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.125_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,123.2,0.2999166221871506,0.41177289886962487,0.33177047874152743,0.35180867387146086,0.29778180687142275,0.4087881231668158,3.3512671381147188,0.41819973199380434,1.620970449375653,1.0224449044803614,1.3298569513504623,0.6020258891177388,0.5566524344594347,0.6145390862032084,0.7818442043579016
c1.0_r0.0_m2.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,67.2,0.3377609093927042,0.4426330675220182,0.3771372620284371,0.37142603277018593,0.3381898041791729,0.43590906231888515,4.406941584413169,0.4770767963284429,1.7606015043802974,1.0719709877988355,1.425299358052797,0.6491898019446539,0.49990070223511635,0.5753745932673822,0.7586630258653008
c1.0_r0.0_m0.5_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,108.6,0.3285507658405507,0.44221947471650447,0.3738666456074595,0.36505612973551943,0.32775823719069136,0.4389792798385227,3.591298840650574,0.4317527346063206,1.6438049776818198,1.0482430831180243,1.3545625621258721,0.615558166073517,0.5471233422475448,0.6115322285027778,0.7784887508872103
c1.0_r0.0_m0.25_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,106.6,0.3031517366659737,0.42517963345307025,0.34266618141493976,0.3578396166895551,0.30179665885918194,0.424268571471578,3.4881794099596677,0.46409407952893333,1.7009766506410866,1.0466646926493919,1.3823637873867498,0.6350044415755198,0.5111171988388398,0.5937982307602148,0.769686606955626
c1.0_r0.0_m0.0625_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,103.0,0.2831260308539478,0.40528402347299713,0.30226236080626656,0.35244044002062064,0.28313334007733254,0.4041936914670017,3.2805060160810826,0.45128818017243616,1.6083195933176782,1.0112357125600342,1.317165021067418,0.6299200143512026,0.5207792719822961,0.6058897558644216,0.7802455289382426
c1.0_r0.0_m1.0_b256_w0.0005_v0.0_eTrue_dFalse_n0.1_mean_4,111.8,0.33487507137419453,0.4482464041666012,0.37346072266591424,0.354731081872767,0.33508599467758265,0.4458249084912188,3.832550375553037,0.46635449697565046,1.6494748274163382,1.0392034897198932,1.3520029190686393,0.641813514812194,0.5157384974565205,0.6111356576288378,0.777998618221283
