configuration,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,mapping_loss,berlin_loss,sketchy_loss,classification_loss,mapping_weighted_med,mapping_weighted_r2,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m1.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.3506935359972273,0.45674440867030164,0.3829619299349957,0.3516125360427737,0.3480990227393379,0.45608582161937694,4.235468058541564,0.4841917063364165,1.9054443066042133,1.0045568647496523,1.4638664243914064,0.6506082635224621,0.5006422583065617,0.521670489412937,0.7519624587923777
c1.0_r0.0_m0.5_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.33396402888802557,0.45956964116132565,0.36189231039741393,0.344490844670246,0.3314311219415218,0.45413568946432914,3.9605625986255584,0.4777850921084963,1.9212810363674593,0.9961706114815885,1.4674785754293693,0.6518795442718689,0.501809605188982,0.5165627429558606,0.7515305233888938
c1.0_r0.0_m0.125_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.2884575872257289,0.4246453778529927,0.33247790714769304,0.320857152553567,0.28182759952838765,0.42101348941431016,3.685708318296026,0.44626075540333954,1.8779746343668546,0.9748329074943165,1.434970085689572,0.6270889050510859,0.5411980612293237,0.5278331167680571,0.7577105032051196
c1.0_r0.0_m0.25_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.3019324015791842,0.4362303503999613,0.35547663957146086,0.34705561237583116,0.29957178346960633,0.43607873512932843,3.8141425174937873,0.4555075046103222,1.9179811783587994,0.9977765765132963,1.4663241287276882,0.6310495716052745,0.5274395609138396,0.5177567210242885,0.7508767084279021
c1.0_r0.0_m2.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,0.35423302742128626,0.4605131424620465,0.40361179121533974,0.3645373831687012,0.351080663792926,0.4541993945775259,4.700250976471431,0.48552230642084543,1.8916881087737611,0.9900133483581854,1.449988032486009,0.6545951336052316,0.4973469901234293,0.5276816756832795,0.7554421553811089
