regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.5191604240230621,0.6755048081903258,0.4770936823996611,1.3580168433970932,1.097476880284029,-0.3724905722772092
lasso regression (beta = 0.005),correct,0.5402062009334452,0.6938192312322385,0.4559023609846642,1.2016932897894712,1.0419883057027177,-0.21322219823721697
lasso regression (beta = 0.002),correct,0.530172561266637,0.6850454836526818,0.46601560123564223,1.2657920466869184,1.0655421156904754,-0.2786096693193673
lasso regression (beta = 0.01),correct,0.5539458325507207,0.7054784901934777,0.44205109895283917,1.139902382112405,1.018870094680782,-0.14985057087462839
lasso regression (beta = 0.001),correct,0.525684094311355,0.6811259363704509,0.4705295809512533,1.2992440340320797,1.0774496935854319,-0.31265872002565087
lasso regression (beta = 0.02),correct,0.5760519108087043,0.7235860866035484,0.41983542613419506,1.0759520033740348,0.994214184041039,-0.08412979570950097
lasso regression (beta = 0.1),correct,0.672995575375869,0.7963884072200155,0.32314910037371253,0.9715968801088292,0.9578331921255016,0.023275685070724972
lasso regression (beta = 0.2),correct,0.7302887769054646,0.8364177466237829,0.2646628330103885,0.9515661300801745,0.9551896866520131,0.043509587857284926
lasso regression (beta = 0.05),correct,0.6220903328977054,0.75944300101834,0.37400174823148225,1.0110660482004012,0.9703836130240957,-0.016888658735406625
linear regression,shuffled,0.6057068762240013,0.7346577984143031,0.3932567939625364,1.5322518522882131,1.1898273015384382,-0.5462553755792994
lasso regression (beta = 0.5),correct,0.8322781549685276,0.901759856867519,0.1621259273280572,0.9493636132428371,0.9633482377386924,0.047381446971640595
lasso regression (beta = 1.0),correct,0.9261609870087937,0.9570533227207237,0.07094094084791616,0.9878231301326548,0.988527509264068,0.010543116439863193
lasso regression (beta = 5.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
lasso regression (beta = 2.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
lasso regression (beta = 10.0),correct,0.9974093919993584,0.9946285773065243,0.0025918300328866273,1.0388591200093908,1.014921671242767,-0.038877450493291776
random forest regression,correct,0.007618525159496777,0.053776572361966896,0.9923144555304878,0.9451697199913246,0.9326909588254854,0.051682014237536184
random forest regression,shuffled,0.009512081052143826,0.06503303981950766,0.9904397086702815,1.242071536899242,1.091065914889542,-0.24682910877742165
