regressor,targets,train_mse,train_med,train_r2,test_mse,test_med,test_r2
linear regression,correct,0.0041896919463679455,0.11826742551180808,0.9830079410402233,0.15320114115492628,0.7571832140522615,0.37296194107937397
linear regression,shuffled,0.006020242516147491,0.1414898647002317,0.9758540899254676,0.2924440093792202,1.0650965618543098,-0.17342893255329134
lasso regression (beta = 0.1),correct,0.016693958490723942,0.23692358809199363,0.932171389697479,0.14768055769381017,0.7351406059391717,0.39712284567140815
lasso regression (beta = 0.2),correct,0.02650673710000219,0.3033256148617324,0.8922427910184729,0.15475020447876997,0.7541475815960546,0.3675647096663093
lasso regression (beta = 0.5),correct,0.06216921876312574,0.4793559105662388,0.7468308883914849,0.16924487769696533,0.7997473177108588,0.3078156634093396
lasso regression (beta = 1.0),correct,0.13044326389426536,0.710092006202518,0.4684068961017267,0.1935085252228655,0.8674015682251492,0.21202891641180835
lasso regression (beta = 2.0),correct,0.22964892299653075,0.9536907977424122,0.0727722796047219,0.2455482539036406,0.986012761593626,0.011047504236010336
lasso regression (beta = 5.0),correct,0.2493523479998396,0.9946285773065243,0.0025918300328866273,0.2597147800023477,1.014921671242767,-0.038877450493291776
lasso regression (beta = 10.0),correct,0.2493523479998396,0.9946285773065243,0.0025918300328866273,0.2597147800023477,1.014921671242767,-0.038877450493291776
lasso regression (beta = 0.005),correct,0.005744623632950552,0.1376729747928867,0.9767060228143423,0.1421850506001549,0.7251954467731541,0.41990493764560355
lasso regression (beta = 0.002),correct,0.004864656554441908,0.1268726806665882,0.9802748787502761,0.14544870491546769,0.735385754813541,0.40618440188665444
lasso regression (beta = 0.001),correct,0.00448746470930407,0.12199337574824108,0.9818024399049492,0.1480328311567639,0.743047472154178,0.39505672833499517
lasso regression (beta = 0.02),correct,0.008407315657578962,0.16641479778199153,0.9658831133868896,0.14491668342327688,0.7295969011548045,0.4087659304533561
lasso regression (beta = 0.01),correct,0.006822721434822953,0.14990674400797155,0.9723251711994317,0.14242063842926966,0.7242054705659744,0.41924462703289905
lasso regression (beta = 0.05),correct,0.011887537038370255,0.19845314483053897,0.951725724119979,0.14683537440790673,0.7338894249740602,0.400732227824642
random forest regression,correct,0.0005912672766484432,0.02075270715093427,0.9976096210218646,0.20428772803336795,0.8826974124015158,0.17345684448531193
random forest regression,shuffled,0.0008062460561157075,0.02916020099090656,0.9967556204776324,0.28253975224428257,1.052019697651197,-0.13772872055588614
